香子 /nr 234	  。/w], [香子/nrjb, 轻/a,
芝田 /nr 100	 的/ude1, 芝田/nrjb, 。/w]
绘里 /nr 65	 的/ude1, 绘里/nrjb, 跑到/v
丸本 /nr 36	 , 叫/vi, 丸本/nrjb, 久/a,
高见 /nr 33	 如今已是/l, 高见/nrjb, 不动产/
加藤 /nr 29	 的/ude1, 加藤/nrjb, ，/w]
洋子 /nr 17	 名叫/v, 江崎洋子/nrj, 的/ude
牧村小姐 /nr 14	 是/vshi, 牧村小姐/nrj, 的/ude
健三 /nr 10	  [名叫/v, 健三/nrjb, 。/w]
班比 /nr 8	 是/vshi, 班比/nr, 夜总会/ni
俊介 /nr 6	 叫/vi, 高见俊介/nrj, 。/w],
名古屋 /nr 5	 f, 、/w, 名古屋/nrjb, 、/w,
江崎洋子 /nr 5	 , 名叫/v, 江崎洋子/nrj, 的/ude
那张 /nr 4	 v, 在/p, 那张/nr, 苍白/a, 
门链 /nr 4	  [解开/v, 门链/nr, ，/w], 
江崎 /nr 3	  [之前/f, 江崎/nr, 洋子/nrj
小田小姐 /nr 2	  ，/w], [小田小姐/nrj, 在/p, 
名刑警 /nr 2	 p, 两/m, 名刑警/nrj, 脸上/s,
高见先生 /nr 2	 ……/w], [高见先生/nrj, 吧/y, 
维兹 /nr 2	 , '/nx, 维兹/nrf, '/nx,
丸本先生 /nr 2	 , 就是/v, 丸本先生/nrj, 。/w],
高见俊介 /nr 2	 , 叫/vi, 高见俊介/nrj, 。/w],
高见便 /nr 2	  ，/w], [高见便/nr, 将/d, 目
关口 /nr 1	 v, 玄/a, 关口/nrjb, 。/w]
江崎小姐 /nr 1	 w, "/w, 江崎小姐/nrj, ，/w],
昭一 /nr 1	 , 长子/n, 昭一/nrjb, 。/w]
那可 /nr 1	  ，/w], [那可/nr, 就/d, 完
天见了 /nr 1	 v, 改/v, 天见了/nrj, 。/w],
一场密 /nr 1	 是/vshi, 一场密/nrj, 室/n, 
连看 /nr 1	 , 根本/a, 连看/nr, 都/d, 不
那便 /nr 1	  ，/w], [那便/nr, 只/d, 会
才对 /nr 1	 的/ude1, 才对/nr, 啊/y, ？
那名 /nr 1	  ，/w], [那名/nr, 小姐/n, 
大道理 /nr 1	 v, 讲/v, 大道理/nrj, 。/w],
与绘里 /nr 1	  [这话/r, 与绘里/nrj, 平日/t,
时用 /nr 1	  自杀/vi, 时用/nr, 的/ude1
一场派 /nr 1	 的/ude1, 一场派/nrj, 对/p, 
风中 /nr 1	 n, 在/p, 风中/nr, 扬起/v, 
江崎洋子准 /nr 1	  ，/w], [江崎洋子准/nrj, 时/qt,
加藤一 /nr 1	  了/ule, 加藤一/nrj, 眼/n, 
那也 /nr 1	  ，/w], [那也/nr, 就/d, 谈
关西 /nr 1	 x, 在/p, 关西/nrjb, 的/ud
门后 /nr 1	 v, 上/f, 门后/nr, 就/d, 会
都是 /nr 1	  这/rzv, 都是/nr, 很久以前/n
任君 /nr 1	 , 就是/v, 任君/nr, 自/p, 选
包站 /nr 1	 着/uzhe, 包站/nr, 起身/vi,
原正夫 /nr 1	 t, 西/f, 原正夫/nrj, 的/ude
可香子 /nr 1	  ，/w], [可香子/nrj, 却/d, 
都快 /nr 1	 的/ude1, 都快/nr, 流泪/vi,
才行 /nr 1	  用心/ad, 才行/nr, 的/ude1
福哇 /nr 1	 , 来自/v, 福哇/nr, txt/nx
那就约 /nr 1	  ，/w], [那就约/nr, 好/a, 六
那条 /nr 1	 , 和/cc, 那条/nr, 项链/n, 
有刑警 /nr 1	  ，/w], [有刑警/nrj, 你/rr,
方还 /nr 1	 v, 对/p, 方还/nr, 没到/v, 
卡拉扬 /nr 1	 的/ude1, 卡拉扬/nrf, 的/ude
来求我 /nr 1	 n, 跑/v, 来求我/nr, 和/cc, 
单从 /nr 1	  。/w], [单从/nr, 外形上/nz
高见和 /nr 1	  。/w], [高见和/nr, 西原/ns,
那件 /nr 1	 的/ude1, 那件/nr, 案子/n, 
一口刚 /nr 1	  了/ule, 一口刚/nrj, 端来/nz
回谢吧 /nr 1	 的/ude1, 回谢吧/nr, 。/w], 
那只 /nr 1	  ，/w], [那只/nr, 装/v, 了
那你 /nr 1	  ，/w], [那你/nr, 不如/v, 
连装 /nr 1	 , 我/rr, 连装/nr, 衣服/n, 
和绘里 /nr 1	 子/nrjb, 和绘里/nrj, 。/w],
那副 /nr 1	 , 昨天/t, 那副/nr, 憔悴/a, 
干刑警 /nr 1	  。/w], [干刑警/nrj, 这行/r,
那门链 /nr 1	  [所以/c, 那门链/nr, 应该/v, 
高见正 /nr 1	  。/w], [高见正/nr, 热心/a, 
和绘里一 /nr 1	 子/nrjb, 和绘里一/nrj, 同/p, 
时起 /nr 1	  什么/ry, 时起/nr, 搅/v, 到
山田先生 /nr 1	 , ["/w, 山田先生/nrj, 的/ude
方地扑 /nr 1	 z, 下/f, 方地扑/nr, 在/p, 桌
安地望 /nr 1	 n, 不/d, 安地望/nrj, 着/uzh
浅冈 /nr 1	  ，/w], [浅冈/nrjb, 绫子/n
高见爽朗 /nr 1	 ["/w], [高见爽朗/nrj, 地/ude
西原正夫 /nr 1	  。/w], [西原正夫/nrj, 社长/nn
方也 /nr 1	 v, 对/p, 方也/nr, 和/cc, 
