根岸 /nr 15	  ，/w], [根岸/nrjb, 峰/ng
弓子 /nr 12	 /w], [神崎弓子/nrj, 的/ude
抚养 /nr 9	 , 健康/a, 抚养/nrjb, 这/rz
那孩子 /nr 4	 , 难道/d, 那孩子/nr, 就是/v, 
东野圭吾 /nr 4	 介/nz], [东野圭吾/nrj, (/w, 
那一夜 /nr 3	 , [“/w, 那一夜/nrj, ，/w],
神崎由美 /nr 3	 , 叫/vi, 神崎由美/nrj, ，/w],
母亲 /nr 2	 , 年轻/a, 母亲/nrjb, 的/ud
才会 /nr 2	  ，/w], [才会/nr, “/w, 特
和中 /nr 2	 , 彦/ng, 和中/nrjb, 尾/ng
父亲 /nr 1	 是/vshi, 父亲/nrjb, 将/d,
方那 /nr 1	 v, 对/p, 方那/nr, 男人/n, 
我有了 /nr 1	 , [“/w, 我有了/nrj, 积蓄/n,
方似 /nr 1	 v, 对/p, 方似/nr, 有/vyou
朝两人 /nr 1	  回头/vi, 朝两人/nr, 点/qt, 
代以 /nr 1	 s, 章/q, 代以/nr, 含有/v, 
和弓子 /nr 1	 , 办法/n, 和弓子/nrj, 分手/vi
起弓子 /nr 1	 , 回想/v, 起弓子/nrj, ，/w],
望向峰 /nr 1	  ，/w], [望向峰/nr, 彦/ng, 
边说 /nr 1	  ，/w], [边说/nr, 的/ude1
代似未 /nr 1	 s, 章/q, 代似未/nr, 发现/v, 
代也 /nr 1	 s, 章/q, 代也/nr, 打算/v, 
那张 /nr 1	 , 刚才/t, 那张/nr, 沙发/n, 
时下 /nr 1	  ，/w], [时下/nr, 的/ude1
关键时 /nr 1	 的/ude1, 关键时/nr, ，/w], 
关系等等 /nr 1	 , 女性/n, 关系等等/nrj, 。/w],
那是正 /nr 1	 , 明白/v, 那是正/nr, 在/p, 微
余白发现 /nr 1	 , 书页/n, 余白发现/nr, 写有/v, 
令峰彦 /nr 1	 , 眼神/n, 令峰彦/nr, 心跳/vi,
延缤 /nr 1	 b, 家/q, 延缤/nr, 香火/n, 
由美 /nr 1	 叫/vi, 神崎由美/nrj, ，/w],
江户川乱步奖 /nr 1	 m, 届/q, 江户川乱步奖/nrj, ，/w],
神崎弓子 /nr 1	  ，/w], [神崎弓子/nrj, 的/ude
曾离贻 /nr 1	 d, 不/d, 曾离贻/nr, d/nx, 
日子可 /nr 1	 的/ude1, 日子可/nrj, 还/d, 
那是很 /nr 1	 , [“/w, 那是很/nr, 炽热/a, 
向章代 /nr 1	 , 再度/d, 向章代/nr, 道谢/vi,
神崎 /nr 1	  [不过/c, 神崎/nrjb, 应该/v
安心了 /nr 1	 , 感到/v, 安心了/nrj, ，/w],
代问 /nr 1	 s, 章/q, 代问/nr, 。/w], 
那一天 /nr 1	  。/w], [那一天/nr, 的/ude1
日光灯 /nr 1	 , 反射/v, 日光灯/nrj, 光/n, 
代继缤 /nr 1	 s, 章/q, 代继缤/nr, 说/v, ：
顿受 /nr 1	 , 一直/d, 顿受/nr, 影视界/n,
那是真 /nr 1	  ！/w], [那是真/nr, 的/ude1
那是你 /nr 1	  ，/w], [那是你/nr, 的/ude1
高兴得 /nr 1	  [我/rr, 高兴得/nr, 都/d, 快
何会 /nr 1	 r, 为/p, 何会/nr, 说/v, 不
那也 /nr 1	  [而/cc, 那也/nr, 是/vshi
来接我 /nr 1	 t, 会/v, 来接我/nr, ，/w], 
代迷 /nr 1	 s, 章/q, 代迷/nr, 着眼/vi,
本乡弓子 /nr 1	 是/vshi, 本乡弓子/nrj, 。/w],
那桩 /nr 1	 v, “/w, 那桩/nrj, 事件/n,
谢谢你 /nr 1	 , [“/w, 谢谢你/nr, 。/w], 
前一步 /nr 1	 , [踏/v, 前一步/nrj, 。/w],
沈思 /nr 1	 z, 于/p, 沈思/nr, 的/ude1
章代 /nr 1	  再度/d, 向章代/nr, 道谢/vi,
