父亲 /nr 408	 是/vshi, 父亲/nrjb, 。/w]
下条小姐 /nr 274	 是/vshi, 下条小姐/nrj, 吗/y, 
母亲 /nr 251	 d, 像/v, 母亲/nrjb, ，/w]
胁坂 /nr 217	 /nis], [胁坂/nrjb, 讲/v,
氏家 /nr 173	 [·/w], [氏家/nrjb, 鞠子/n
鞠子 /nr 133	 家/nrjb, 鞠子/nrjb, ，/w]
久能 /nr 71	  [这位/r, 久能/nrjb, 教授/n
北斗 /nr 66	 着/uzhe, 北斗/nrjb, 医科/n
阿丰 /nr 63	 他手/nnt, 阿丰/nr, 从/p, 刚
晶子 /nr 62	  阿部/nr, 晶子/nrjb, 同学/n
小林小姐 /nr 56	 , 听说/v, 小林小姐/nrj, 没/d, 
高城晶子 /nr 48	 t, //w, 高城晶子/nrj, ”/w, 
伊原骏 /nr 47	 , 关于/p, 伊原骏/nrj, 策/ng,
小林 /nr 45	 ……/w], [小林/nrjb, 双叶/n
伊原 /nr 35	 m, 张/q, 伊原/nrjb, 仁/ag
北海 /nr 35	 , 和/cc, 北海/nrjb, 道/qv
笠原 /nr 34	 是/vshi, 笠原/nrjb, 老师/n
于是我 /nr 33	  ，/w], [于是我/nr, 张开眼/nr
康之 /nr 33	 /w], [高城康之/nrj, 。/w],
小林双叶小姐 /nr 32	 ……/w], [小林双叶小姐/nrj, ？/w],
柠檬 /nr 30	 m, 颗/q, 柠檬/nrjb, 直接/a
阿部 /nr 29	 大学/nis, 阿部/nr, 晶子/nrj
东和 /nr 28	 的/ude1, 东和/nrjb, 大学/n
氏家先生 /nr 24	  ，/w], [氏家先生/nrj, 才/d, 
小林志保小姐 /nr 24	 是/vshi, 小林志保小姐/nrj, 的/ude
志保 /nr 23	  了/ule, 志保/nrjb, 才/d,
山步会 /nr 22	 , 名叫/v, 山步会/nr, 的/ude1
清水 /nr 22	 是/vshi, 清水/nrjb, 家/q,
细野修女 /nr 22	 , 舍监/n, 细野修女/nrj, 审阅/v,
山本 /nr 19	 是/vshi, 山本/nrjb, 。/w]
安妮 /nr 19	  红发/nz, 安妮/nrf, 遇到/v,
梅津教授 /nr 18	 , [但/c, 梅津教授/nrj, 或/c, 
阿香 /nr 16	 , 女儿/n, 阿香/nr, ，/w], 
清水宏 /nr 14	 , 名叫/v, 清水宏/nrj, 久/a, 
友广 /nr 13	 斯手/nnt, 友广/nrjb, 则/d,
清水先生 /nr 13	  [虽然/c, 清水先生/nrj, 不见得/d
藤村教授 /nr 12	  ，/w], [藤村教授/nrj, 问/v, 
田谷 /nr 12	 , 世/ng, 田谷/nrjb, 区/n,
丰先生 /nr 11	  ？/w], [丰先生/nr, 把/pba,
梅津 /nr 10	 , [“/w, 梅津/nrf, 老师/nn
石神 /nr 10	 r, 到/v, 石神/nrjb, 井/n,
那名 /nr 10	 , 回想/v, 那名/nr, 绅士/n, 
畑村先生 /nr 10	 , 前去/v, 畑村先生/nrj, 的/ude
谢谢你 /nr 9	 d, 很/d, 谢谢你/nr, 。/w], 
横井 /nr 9	 是/vshi, 横井/nrjb, 告诉/v
拉门 /nr 9	 1, 纸/n, 拉门/nrf, 。/w],
望向 /nr 9	 , 再次/d, 望向/nr, 时钟/n, 
铃江 /nr 9	 , 名叫/v, 铃江/nrjb, 的/ud
那是 /nr 8	  ，/w], [那是/nr, 在/p, 我
那本 /nr 8	  。/w], [那本/nr, 活动/vn,
和藤 /nr 8	 , 不会/v, 和藤/nrjb, 村/n,
那孩子 /nr 8	 , 看着/v, 那孩子/nr, 实在/d, 
久能教授 /nr 7	  。/w], [久能教授/nrj, 转任/v,
下条小姐将 /nr 6	 , [”/w, 下条小姐将/nrj, 两手/m,
多久 /nr 6	 , 不管/c, 多久/nrjb, ，/w]
黑手 /nr 6	 , 幕后/s, 黑手/nrf, 就/d, 
那几 /nr 5	 , 告诉/v, 那几/nr, 个/q, 男
都是 /nr 5	 [这/rzv, 都是/nr, 双叶/nz,
谷原 /nr 5	 , 送往/v, 谷原/nr, 医院/nis
谈一谈 /nr 5	  见面/vi, 谈一谈/nr, 。/w], 
广江 /nr 5	  田村/ns, 广江/nrjb, 同学/n
望月 /nr 5	 , 叫/vi, 望月/nrjb, 丰/ag
执行 /nr 5	 m, 人/n, 执行/nrjb, 。/w]
那件 /nr 4	  住进/vf, 那件/nr, 饭店/nis
土地 /nr 4	 的/ude1, 土地/nrjb, ，/w]
雪莉 /nr 4	 de1, 安妮·雪莉/nrf, 。/w],
望向我 /nr 4	 c, 又/d, 望向我/nr, 说/v, ：
畑村 /nr 4	 b, 、/w, 畑村/nrjb, 、/w,
高城康之 /nr 4	  。/w], [高城康之/nrj, 。/w],
高城晶子小姐 /nr 4	 , 就是/v, 高城晶子小姐/nrj, 。/w],
那一页 /nr 4	  ，/w], [那一页/nr, 是/vshi
那一天 /nr 4	  。/w], [那一天/nr, 是/vshi
时光 /nr 4	 的/ude1, 时光/nrjb, ，/w]
雪莱 /nr 4	 nnd, 玛丽·雪莱/nrf, <Mary
我妻子 /nr 4	 , 就是/v, 我妻子/nrj, 。/w],
下条 /nr 4	 c, 听/v, 下条/nrjb, 说/v,
双眉 /nr 3	 的/ude1, 双眉/nr, 不由自主/d
那张 /nr 3	 ……/w], [那张/nr, 对着/p, 
街道 /nr 3	  住宅区/n, 街道/nrjb, 上/f,
那所 /nr 3	 , 和/cc, 那所/nr, 大学/nis
庸平 /nr 3	  大道/ns, 庸平/nr, ，/w], 
那你 /nr 3	 , [“/w, 那你/nr, 是/vshi
下条小姐一 /nr 3	 , [”/w, 下条小姐一/nrj, 副/b, 
美丽 /nr 3	 的/ude1, 美丽/nrjb, 女子/n
铃木 /nr 3	 , [“/w, 铃木/nrjb, ？/w]
巴卡斯 /nr 3	 w, “/w, 巴卡斯/nr, ！/w], 
那是谁 /nr 3	 , 知道/v, 那是谁/nr, 。/w], 
那是一 /nr 3	  ，/w], [那是一/nr, 所/usuo
向你 /nr 3	 , 我/rr, 向你/nr, 问好/vi,
朝南 /nr 3	 i, 在/p, 朝南/nrf, 的/ude
拉高 /nr 3	 , 我/rr, 拉高/nrf, 了/ule
明知 /nr 3	 , [”/w, 明知/nrjb, 人家/n
大学朋友 /nr 2	 u, 个/q, 大学朋友/nrj, 在/p, 
大通公园 /nr 2	 , 坐在/v, 大通公园/nrj, 的/ude
放平 /nr 2	 v, 在/p, 放平/nr, 的/ude1
边说 /nr 2	 , 他/rr, 边说/nr, 边将/n, 
古斯勒 /nr 2	 的/ude1, 古斯勒/nrf, 博士/nn
都快 /nr 2	  [我/rr, 都快/nr, 被/pbei
下条小姐让 /nr 2	 [”/w], [下条小姐让/nrj, 我/rr,
马丁尼 /nr 2	 , 杯/ng, 马丁尼/nrf, 。/w],
