冬子 /nr 261	 名叫/v, 萩尾冬子/nrj, 。/w],
山森 /nr 200	 00/m], [山森/nrjb, 运动/v
由美 /nr 102	  叫/vi, 作由美/nrj, 。/w],
志津子小姐 /nr 100	  ，/w], [志津子小姐/nrj, 告诉/v,
川津 /nr 57	 , ——/w, 川津/nrjb, 雅之/n
竹本 /nr 57	 n, 者/k, 竹本/nrjb, 幸/vg
三郎 /nr 51	  金井/nr, 三郎/nrjb, 的/ud
竹本先生 /nr 50	 , [“/w, 竹本先生/nrj, 是/vsh
金井 /nr 48	 , 叫做/v, 金井/nr, 三郎/nrj
雅之 /nr 47	 津/nrjb, 雅之/nrjb, ，/w]
石仓 /nr 46	 教练/nnt, 石仓/nrjb, 。/w]
新里美由纪 /nr 38	 影师/nnt, 新里美由纪/nrj, 。/w],
志津子 /nr 33	 g, 村/n, 志津子/nrj, ”/w, 
萩尾小姐 /nr 32	 是/vshi, 萩尾小姐/nrj, 吗/y, 
古泽 /nr 28	  [名叫/v, 古泽/nrf, 靖子/nr
正彦 /nr 27	 本/nrjb, 正彦/nrjb, ”/w,
靖子 /nr 27	 古泽/nrf, 靖子/nrjb, 的/ud
川津先生 /nr 25	  ，/w], [川津先生/nrj, 自己/rr
金井先生 /nr 19	  。/w], [金井先生/nrj, 去年/t,
村山 /nr 19	 秘书/nnt, 村山/nrjb, 则子/n
新里小姐 /nr 16	 , 关于/p, 新里小姐/nrj, 的/ude
和山 /nr 16	 , 次/qv, 和山/nrjb, 森/ag
森口 /nr 15	 , 名叫/v, 森口/nrjb, 的/ud
坂上先生 /nr 15	 , 就是/v, 坂上先生/nrj, 。/w],
则子 /nr 15	 山/nrjb, 则子/nrjb, ，/w]
和川 /nr 15	  [我/rr, 和川/nrjb, 津/b,
和冬子 /nr 15	 , 我/rr, 和冬子/nrj, 去/vf,
幸代 /nr 14	 叫/vi, 川津幸代/nrj, ，/w],
小悦 /nr 12	 , [“/w, 小悦/nr, ，/w], 
卓也 /nr 12	 森/nrjb, 卓也/nrjb, 的/ud
美由纪 /nr 9	 /nnt, 新里美由纪/nrj, 。/w],
于是我 /nr 9	  。/w], [于是我/nr, 答应/v, 
幸裕先生 /nr 8	 , 关于/p, 幸裕先生/nrj, 的/ude
那件 /nr 7	 过/uguo, 那件/nr, 意外/a, 
披萨 /nr 7	  把/pba, 披萨/nrf, 放回/vf
那你 /nr 7	 , [“/w, 那你/nr, 也/d, 没
名古屋 /nr 6	 r, 在/p, 名古屋/nrjb, 车站/n
那是 /nr 6	  。/w], [那是/nr, 前两天/i,
佑介 /nr 6	 , [“/w, 佑介/nrjb, ！/w]
新里 /nr 6	 r, 姓/v, 新里/nrjb, ，/w]
和由美 /nr 6	 是/vshi, 和由美/nrj, 年龄/n,
川津雅之 /nr 5	 作家/nnt, 川津雅之/nrj, 。/w],
才会 /nr 5	  什么/ry, 才会/nr, 想去/v, 
是石 /nr 5	 a, 姓/v, 是石/nrjb, 仓/ng
开旅馆 /nr 5	 n, 离/v, 开旅馆/nrj, 不可/v,
岩石 /nr 4	 的/ude1, 岩石/nrjb, 而/cc
多久 /nr 4	 , 没花/l, 多久/nrjb, 时间/n
萩尾冬子 /nr 4	  [名叫/v, 萩尾冬子/nrj, 。/w],
相马幸彦 /nr 4	 v, ‘/w, 相马幸彦/nrj, ’/w, 
村山小姐 /nr 4	  。/w], [村山小姐/nrj, 的/ude
萩尾 /nr 4	 , [“/w, 萩尾/nrjb, 家/q,
静冈 /nr 4	 n, 在/p, 静冈/nrjb, 吧/y,
竹本正彦 /nr 4	 是/vshi, 竹本正彦/nrj, 。/w],
那也 /nr 4	  。/w], [那也/nr, 是/vshi
田宫刑警 /nr 4	  。/w], [田宫刑警/nrj, 把/pba
那群 /nr 3	 是/vshi, 那群/nr, 家伙/n, 
望向 /nr 3	  [转头/v, 望向/nr, 吧台/nz,
松本 /nr 3	 , 去/vf, 松本/nr, 不动产/n,
唯一知道 /nr 3	  。/w], [唯一知道/nrj, 的/ude
山森由美 /nr 3	  。/w], [山森由美/nrj, ——/w,
原地 /nr 3	 i, 在/p, 原地/nrjb, 。/w]
才是 /nr 3	 , 台词/n, 才是/nr, 。/w], 
母亲 /nr 3	 的/ude1, 母亲/nrjb, 和/cc
才行 /nr 3	 , 证词/n, 才行/nr, 。/w], 
才又 /nr 3	  ，/w], [才又/nr, 开口/vi,
向山森 /nr 3	 i, 走/v, 向山森/nr, 由美/nrj
满想 /nr 2	 r, 还/d, 满想/nr, 看看/v, 
才对 /nr 2	 , 暂停/v, 才对/nr, 。/w], 
那一天 /nr 2	 的/ude1, 那一天/nr], [1/m]
才问 /nr 2	 这样/rzv, 才问/nr, 的/ude1
金井三郎先生 /nr 2	 , 是从/v, 金井三郎先生/nrj, 这/rzv
白球 /nr 2	 v, 上/f, 白球/nr, 。/w], 
都内 /nr 2	 是/vshi, 都内/nr, 某个/rz,
厚木 /nr 2	 , [在/p, 厚木/nrjb, 那/rz
那在 /nr 2	 , [“/w, 那在/nr, 这/rzv,
那张 /nr 2	  。/w], [那张/nr, 没什么/vl
任谁 /nr 2	  ，/w], [任谁/nr, 看/v, 了
那孩子 /nr 2	  。/w], [那孩子/nr, 因为/c, 
满常 /nr 2	 v, 还/d, 满常/nr, 出国/vi,
父亲 /nr 2	 的/ude1, 父亲/nrjb, 可能/v
那两次 /nr 2	 , [“/w, 那两次/nr, 的/ude1
那群人 /nr 2	 的/ude1, 那群人/nr, 。/w], 
刚从 /nr 2	 , 夫人/n, 刚从/nr, 放在/v, 
那起船 /nr 2	 的/ude1, 那起船/nr, 难/a, 意
森口先生 /nr 2	  。/w], [森口先生/nrj, ，/w],
那号 /nr 2	  [就是/v, 那号/nr, 人物/n, 
向山 /nr 2	 r, 瞥/q, 向山/nr, 森/ag, 
石仓先生 /nr 2	 ……/w], [石仓先生/nrj, ，/w],
执行 /nr 2	 , 不要/d, 执行/nrjb, 而已/y
麻将之 /nr 2	  [打完/v, 麻将之/nrj, 后/f, 
美丽 /nr 2	 , 健康/a, 美丽/nrjb, 的/ud
相马 /nr 2	 , [“/w, 相马/nrjb, ？/w]
幸裕很 /nr 1	 q, 跟/p, 幸裕很/nr, 亲近/v, 
方的 /nr 1	 v, 对/p, 方的/nr, 怨念/nz,
关是 /nr 1	 有/vyou, 关是/nr, 吗/y, ？
巴士载 /nr 1	  [小型/b, 巴士载/nr, 我们/rr,
方是谁 /nr 1	 c, 对/p, 方是谁/nr, ，/w], 
连头 /nr 1	  [而且/c, 连头/nr, 也/d, 莫
横须贺 /nr 1	 n, 在/p, 横须贺/nrjb, ，/w]
金井三郎 /nr 1	 , [”/w, 金井三郎/nrj, 像是/v,
