由希子 /nr 246	  [宫前/s, 由希子/nrjb, 死/v,
御崎 /nr 188	 的/ude1, 御崎/nrjb, 藤江/n
川合 /nr 148	 , [”/w, 川合/nrjb, 将/d,
小薰 /nr 128	  ，/w], [小薰/nrj, 赶紧/d,
水村 /nr 104	  ，/w], [水村/nrjb, 绯絽/n
母亲 /nr 56	  。/w], [母亲/nrjb, 立刻/d
父亲 /nr 47	  。/w], [父亲/nrjb, 建立/v
藤江 /nr 46	 崎/nrjb, 藤江/nrjb, 。/w]
吉冈 /nr 39	 球手/nnd, 吉冈/nrf, 良/ag,
楢崎薰 /nr 36	 , 起/vf, 楢崎薰/nrj, ，/w],
沟口刑警 /nr 35	 , [”/w, 沟口刑警/nrj, 又/d, 
石部 /nr 33	 , 名叫/v, 石部/nrjb, ，/w]
筱田 /nr 32	  。/w], [筱田/nrjb, 进/vf
佐山 /nr 27	 的/ude1, 佐山/nrjb, ，/w]
宫前先生 /nr 23	 是/vshi, 宫前先生/nrj, 吗/y, 
高三 /nr 20	 的/ude1, 高三/nrjb, 二/m,
川合一正 /nr 19	  ，/w], [川合一正/nrj, 坐/v, 
近藤 /nr 18	 学生/nnt, 近藤/nrjb, 之/uz
古谷 /nr 18	 , [“/w, 古谷/nrjb, 老师/n
校长 /nr 14	 ，/w], [副校长/nrj, 们/k, 
那是 /nr 12	  。/w], [那是/nr, 一个/mq,
和川 /nr 12	 , 刚好/d, 和川/nrjb, 合并/v
水池 /nr 11	 的/ude1, 水池/nrjb, 旁/f,
副校长 /nr 11	  ，/w], [副校长/nrj, 们/k, 
齐藤 /nr 11	  ，/w], [齐藤/nr, 问道/vi,
才对 /nr 10	  ，/w], [才对/nr, 接受/v, 
那你 /nr 10	 , [“/w, 那你/nr, 去哪儿/nz
都是 /nr 7	 , 眼眶/n, 都是/nr, 红红的/z,
那副 /nr 7	 , 她/rr, 那副/nr, 沮丧/a, 
和由希子 /nr 7	 , 我/rr, 和由希子/nrj, 两/m, 
名刑警 /nr 7	 v, 几/d, 名刑警/nrj, 。/w],
余光 /nr 7	 d, 用/p, 余光/nr, 扫/v, 着
操用 /nr 6	 , 跳/vi, 操用/nr, 的/ude1
