天下一 /nr 454	 w, 以/p, 天下一/nrjb, 为/p,
大河原 /nr 83	 , 叫/vi, 大河原/nrjb, 番/qv
风间 /nr 46	 , 包括/v, 风间/nrjb, 。/w]
加田 /nr 39	 , 矢/ng, 加田/nrjb, 传/v,
山本 /nr 33	  ，/w], [山本/nrjb, （/w,
牛神 /nr 30	  [便是/v, 牛神/nr, 庄/ag, 
大黑 /nr 28	 n, 姓/v, 大黑/nrjb, 的/ud
源一郎 /nr 28	 n, 沢/w, 源一郎/nrj, ，/w],
花枝 /nr 27	 , 妻子/n, 花枝/nrjb, 。/w]
铁吉 /nr 25	 的/ude1, 铁吉/nr, 。/w], 
望向 /nr 24	 , 我/rr, 望向/nr, 部下/n, 
青野 /nr 24	  。/w], [青野/nrjb, ，/w]
邸宅 /nr 24	 w, 使/v, 邸宅/nr, 孤立/a, 
五郎 /nr 23	 毛利小/nr, 五郎/nrjb, 莫/d,
清一郎 /nr 23	  町田/nz, 清一郎/nrjb, 的/ud
二宫 /nr 22	 , 名叫/v, 二宫/nrjb, 钦/vg
次郎 /nr 21	  赤川/nr, 次郎/nrjb, 笔下/n
关人 /nr 20	 有/vyou, 关人/nr, 等/uden
那是 /nr 18	 , [“/w, 那是/nr, 怎么回事/n
贞治 /nr 18	  牛神/nr, 贞治/nrjb, 是/vs
玉子 /nr 17	 n, 村/n, 玉子/nrjb, 问话/n
真知子 /nr 17	 , 妻子/n, 真知子/nrjb, 对/p,
阿伯 /nr 17	 m, 位/q, 阿伯/nrf, 了/ule
灰田 /nr 16	 , 叫/vi, 灰田/nrjb, 次郎/n
留美 /nr 15	 名叫/v, 赤井留美/nrj, ，/w],
羊田 /nr 15	 职员/nnt, 羊田/nr, 却/d, 没
广美 /nr 14	 木/nrjb, 广美/nrjb, ，/w]
三木 /nr 14	  。/w], [三木/nrjb, 广美/n
八代 /nr 13	 老妇/n], [八代/nrjb, 新平/n
良子 /nr 13	 佣人/nnd, 良子/nrjb, 。/w]
那也 /nr 13	  ，/w], [那也/nr, 是/vshi
赤井留美 /nr 13	 , 名叫/v, 赤井留美/nrj, ，/w],
山庄 /nr 12	 的/ude1, 山庄/nrjb, 等/ud
山田 /nr 12	 , 叫/vi, 山田/nrjb, 的/ud
谦介 /nr 12	 , 丈夫/n, 谦介/nr, ，/w], 
多久 /nr 12	 v, 不/d, 多久/nrjb, 便/d,
只野 /nr 11	 , 男性/n, 只野/nrjb, 一郎/n
鱼泽 /nr 10	 , 去/vf, 鱼泽/nr, 家/q, 的
藤原 /nr 10	 n, （/w, 藤原/nrjb, 邦/ng
田家 /nr 10	 v, 蛸/x, 田家/nrjb, 去/vf
四条 /nr 10	 , ["/w, 四条/nrjb, 回答/v
