斋藤 /nr 87	 , 名叫/v, 斋藤/nrjb, 。/w]
真智子 /nr 75	 , 名叫/v, 真智子/nrj, 的/ude
雄二 /nr 64	 是/vshi, 雄二/nrjb, 从/p,
深泽 /nr 63	  [男友/n, 深泽/nrjb, 愤/vg
彩子 /nr 61	 , 沼/ng, 彩子/nrjb, ——/w
三上 /nr 59	 的/ude1, 三上/nrjb, 问道/v
映子 /nr 51	 名叫/v, 福原映子/nrj, ，/w],
古川 /nr 48	 主任/nnt, 古川/nrjb, 巡查/v
高仓 /nr 39	 , 叫做/v, 高仓/nrjb, 。/w]
福泽 /nr 36	 主任/nnt, 福泽/nrf, 巡查/vn
筱田 /nr 34	 主任/nnt, 筱田/nrjb, 巡查/v
友野 /nr 26	 , ──/w, 友野/nrjb, 和/cc
由利子 /nr 21	 新锐/n, 田代由利子/nrj, ，/w],
尚美 /nr 20	 是/vshi, 尚美/nrjb, 打来/v
金泽 /nr 19	 主任/nnt, 金泽/nrjb, 巡查/v
靖子 /nr 16	 [”/w], [靖子/nrjb, 把/pb
父亲 /nr 15	  [因为/c, 父亲/nrjb, 的/ud
母亲 /nr 15	  。/w], [母亲/nrjb, 告诉/v
福原 /nr 14	 , 名叫/v, 福原/nrjb, 真智子/
昭一 /nr 12	 原/nrjb, 昭一/nrjb, 。/w]
东野圭吾 /nr 11	 b, ]/w, 东野圭吾/nrj], [羊恩/
昌枝 /nr 11	  久/a], [昌枝/nr, ”/w, 。
望月 /nr 11	 , 名叫/v, 望月/nrjb, 。/w]
健三 /nr 10	 , 叫做/v, 健三/nrjb, 。/w]
御厨 /nr 9	  ，/w], [御厨/nrjb, 健三/n
那可 /nr 8	  ，/w], [那可/nr, 就/d, 有
金田 /nr 8	  。/w], [金田/nrjb, 、/w,
那名 /nr 8	 w, “/w, 那名/nr, 主角/nnt
山下 /nr 7	 的/ude1, 山下/nrjb, 夫妻/n
佐原先生 /nr 7	 是/vshi, 佐原先生/nrj, 的/ude
太田 /nr 6	  。/w], [太田/nrjb, 就/d,
向井 /nr 6	 , 名叫/v, 向井/nrjb, 恒/ag
那男 /nr 6	 , [“/w, 那男/nr, 的/ude1
那张 /nr 6	 , 一下/m, 那张/nr, 名单/n, 
街道 /nr 5	 的/ude1, 街道/nrjb, 》/w,
田所 /nr 5	 b, 、/w, 田所/nrjb, 两/m,
一角 /nr 5	 的/ude1, 一角/nrjb, 。/w]
美子 /nr 4	 叫/v, 畑山瑠美子/nrj, 的/ude
小林 /nr 4	 , 名叫/v, 小林/nrjb, ，/w]
友纪 /nr 4	 , 和/cc, 友纪/nr, 不见/v, 
深泽伸一 /nr 4	 [2/m], [深泽伸一/nrj, 意识到/v
本部 /nr 4	 , 警/ng, 本部/nrjb, 的/ud
才好 /nr 4	 , 证词/n, 才好/nr, ，/w], 
古川一 /nr 4	 [”/w], [古川一/nrj, 边/k, 
中野先生 /nr 4	  ，/w], [中野先生/nrj, ……/w]
周三和 /nr 3	 , 上周/t, 周三和/nr, 周五/t, 
福原映子 /nr 3	 , 名叫/v, 福原映子/nrj, ，/w],
刚从 /nr 3	 是/vshi, 刚从/nr, 红灯/n, 
那件 /nr 3	 的/ude1, 那件/nr, 茶色/n, 
斋藤刑警 /nr 3	 [”/w], [斋藤刑警/nrj, 问道/vi
西玛 /nr 3	 的/ude1, 西玛/nr, 的/ude1
深泽心 /nr 3	  ？/w], [深泽心/nrj, 想/v, 
深泽一 /nr 3	 [”/w], [深泽一/nrj, 股/q, 
那条路 /nr 3	 r, 走/v, 那条路/nr, 的/ude1
车就 /nr 3	 的/ude1, 车就/nr, 停/vi, 
荻原 /nr 3	 , 名叫/v, 荻原/nrjb, 昭一/n
东名 /nr 3	 , 驶入/v, 东名/nr, 高速/b, 
那起 /nr 3	  把/pba, 那起/nr, 事故/n, 
余光 /nr 3	 , 在用/b, 余光/nr, 寻找/v, 
东野 /nr 3	 , 小心/a, 东野/nrjb, 笔下/n
前村先生 /nr 3	 , 叫/vi, 前村先生/nrj, 吧/y, 
那本 /nr 3	 f, 卖/v, 那本/nr, 杂志/n, 
车也 /nr 3	 的/ude1, 车也/nr, 大大咧咧/z
金田刑警 /nr 3	 的/ude1, 金田刑警/nrj, 和/cc,
那是 /nr 3	  。/w], [那是/nr, 一/m, 件
田代 /nr 2	 是/vshi, 田代/nr, 占优/v, 
原付 /nr 2	 , 所谓/v, 原付/nr, 车/n, （
羊恩 /nr 2	 /nrj], [羊恩/nr, 媺/w, 译
照亮了 /nr 2	  ，/w], [照亮了/nrj, 车内/s,
那孩子 /nr 2	 , [“/w, 那孩子/nr, 从来/d, 
卡多拉斯 /nr 2	 侦探/nnd, 卡多拉斯/nrf, （/w, 
原昭一 /nr 2	 c, 荻/n, 原昭一/nr, 最后/f, 
全书中 /nr 2	 是/vshi, 全书中/nr, 唯一一/b,
和美 /nr 2	 本/nrjb, 和美/nrjb, ，/w]
那所 /nr 2	 r, 在/p, 那所/nr, 单位/n, 
朝一 /nr 2	 n, 扭/v, 朝一/nrj, 旁/f, 
和田 /nr 2	 田/nrjb, 和田/nrjb, 所/us
那只 /nr 2	 , [“/w, 那只/nr, 空罐/nz,
和高 /nr 2	  中野/ns, 和高/nrjb, 仓/ng
那就由 /nr 2	 , [“/w, 那就由/nr, 世良/nz,
明知 /nr 2	  。/w], [明知/nrjb, 自己/r
原地 /nr 2	 z, 在/p, 原地/nrjb, 呆/v,
车后 /nr 2	 , 我/rr, 车后/nr, 猛地/d, 
那女 /nr 2	  ？/w], [那女/nr, 的/ude1
河合 /nr 2	 , [“/w, 河合/nrf, 町/n, 
那你 /nr 2	 , [“/w, 那你/nr, 今天/t, 
计速器 /nr 2	  。/w], [计速器/nr, 的/ude1
真智子一 /nr 2	  ，/w], [真智子一/nrj, 脸/n, 
于是便 /nr 2	  ，/w], [于是便/nr, 好意/n, 
方是位 /nr 2	 v, 对/p, 方是位/nr, 部长/nnt
静冈 /nr 2	 , 位于/v, 静冈/nrjb, 的/ud
山本 /nr 2	 的/ude1, 山本/nrjb, 和美/n
丸山一 /nr 2	  ，/w], [丸山一/nrj, 脸/n, 
美丽 /nr 2	 1, 《/w, 美丽/nrjb, 的/ud
雅之 /nr 2	  。/w], [雅之/nrjb, 你/rr
亚马逊 /nr 1	 [日本/ns, 亚马逊/nrf, 网路/n,
片子了 /nr 1	 过/uguo, 片子了/nrj, ——/w,
松任谷由实 /nr 1	 v, 听/v, 松任谷由实/nrj, 的/ude
田所刑警 /nr 1	 的/ude1, 田所刑警/nrj, 。/w],
谢尔盖耶维奇 /nr 1	 随/v, 伊凡·谢尔盖耶维奇/nrf, )/w],
