美佐 /nr 470	 l/nx], [美佐/nrjb, 子/ng
晃彦 /nr 344	 , 叫/vi, 晃彦/nr, 。/w], 
须贝 /nr 145	 社长/nnt, 须贝/nrjb, 正清/n
父亲 /nr 134	 的/ude1, 父亲/nrjb, 兴司/n
亚耶 /nr 107	 , [∞/w, 亚耶/nrf, 子/ng,
园子 /nr 96	  [妹妹/n, 园子/nrjb, 也/d,
壮介 /nr 73	 [．/w], [壮介/nr, 被/pbei
竹勇作 /nr 66	  ?/w], [竹勇作/nrj, 问/v, 
瓜生晃彦 /nr 37	 , [“/w, 瓜生晃彦/nrj, 啊/y, 
竹美佐子 /nr 34	  。/w], [竹美佐子/nrj, 也/d, 
和仓 /nr 34	 , [“/w, 和仓/nrjb, ，/w]
竹晃彦 /nr 28	  。/w], [竹晃彦/nr, 回答/v, 
兴司 /nr 27	 亲/nrjb, 兴司/nr, 是/vshi
母亲 /nr 20	 , 他/rr, 母亲/nrjb, 。/w]
铃木 /nr 19	 v, 姓/v, 铃木/nrjb, 。/w]
竹亚耶子 /nr 19	  ?/w], [竹亚耶子/nrj, 问道/vi
早苗小姐 /nr 13	 , [“/w, 早苗小姐/nrj, 的/ude
江岛先生 /nr 11	 , 请问/v, 江岛先生/nrj, 在/p, 
那是 /nr 10	  。/w], [那是/nr, 一/m, 颗
和美 /nr 10	 叫/vi, 水本和美/nrj, 的/ude
须贝先生 /nr 10	 w, 对/p, 须贝先生/nrj, 而言/ul
那本 /nr 10	 d, 将/d, 那本/nr, 备忘录/n,
和勇作 /nr 10	 i, 个/q, 和勇作/nrj, 年纪/n,
名刑警 /nr 10	 w, 一/m, 名刑警/nrj, 发出/v,
那起 /nr 9	  调查/vn, 那起/nr, 命案/n, 
瓜生派 /nr 8	  ，/w], [瓜生派/nrj, 和/cc,
池本 /nr 8	 , 拜托/v, 池本/nr, 他们/rr,
席德 /nr 8	 , 叫/vi, 席德/nrf, 的/ude
和园子 /nr 8	 [弘昌/nz, 和园子/nrj, 也/d, 
竹园子 /nr 7	  ?/w], [竹园子/nrj, 露出/v,
尾藤先生 /nr 7	  ，/w], [尾藤先生/nrj, ，/w],
和仓勇作 /nr 7	  。/w], [和仓勇作/nrj, 看着/v,
保时捷 /nr 7	 的/ude1, 保时捷/nrf, ，/w],
边说 /nr 6	 , 子/ng, 边说/nr, “/w, 我
福井 /nr 6	 , 名叫/v, 福井/nrf, 的/ude
上原伸一 /nr 6	 院长/nnt, 上原伸一/nrj, 。/w],
绀野 /nr 6	 的/ude1, 绀野/nrjb, 警视/n
竹壮介 /nr 6	  。/w], [竹壮介/nr, 和波/nrj
高久 /nr 6	 g, 藤/n, 高久/nr, 。/w], 
才会 /nr 5	  ，/w], [才会/nr, 强行/d, 
竹尾 /nr 5	  ，/w], [竹尾/nr, 藤/n, 回
前田教授 /nr 5	 的/ude1, 前田教授/nrj, 很熟/a,
向勇作 /nr 5	  上原/ns, 向勇作/nrj, 介绍/v,
竹俊和 /nr 4	  !/w], [竹俊和/nr, 也/d, 发
那件 /nr 4	 , 和/cc, 那件/nr, 事情/n, 
和亚耶子 /nr 4	 , 子/ng, 和亚耶子/nrj, 交换/v,
多久 /nr 4	  结婚/vi, 多久/nrjb, 了/ul
片平 /nr 4	  。/w], [片平/nrjb, 对/p,
和晃彦 /nr 3	  自己/rr, 和晃彦/nrj, 的/ude
正中央 /nr 3	 国字脸/nz, 正中央/nrj, ，/w],
明先生 /nr 3	 w, 直/d, 明先生/nr, 也/d, 搜
竹中里 /nr 3	  ?/w], [竹中里/nr, 又/d], 
那支 /nr 3	 , 觉得/v, 那支/nr], [箭/n,
拉门 /nr 3	  [隔着/v, 拉门/nrf, ，/w],
边问 /nr 3	 , 晚报/n, 边问/nr, ：/w], 
竹勇 /nr 3	  。/w], [竹勇/nr, 作/v, 一
明和 /nr 3	 , [直/d, 明和/nr, 平常/a, 
少夫人 /nr 3	 , [“/w, 少夫人/nr, ……/w],
当勇作 /nr 3	  。/w], [当勇作/nrj, 带着/vn
南栋 /nr 3	 , 住在/v, 南栋/nr, 病房/n, 
相马教授 /nr 3	 学院/nis, 相马教授/nrj, 、/w, 
须贝派 /nr 3	 , 和/cc, 须贝派/nrj, 几乎/d,
长子晃彦 /nr 3	  了/ule, 长子晃彦/nrj, 。/w],
来过 /nr 3	 , 好像/v, 来过/nr, 。/w], 
带勇作 /nr 3	  [他/rr, 带勇作/nrj, 去/vf,
方式之 /nr 3	  操作/vn, 方式之/nr, 研究/vn]
升勇作 /nr 3	 ?/nr], [升勇作/nrj, 问/v, 
那名 /nr 3	  ，/w], [那名/nr, 绅士/n, 
瓜生先生 /nr 3	 是/vshi, 瓜生先生/nrj, 的/ude
和波 /nr 3	 竹壮介/nr, 和波/nrjb, 江/n,
令勇 /nr 3	 c, 却/d, 令勇/nr], [作/v,
那可 /nr 2	  ，/w], [那可/nr], [就/d,
起勇作 /nr 2	 g, 想/v, 起勇作/nrj, 教/v, 
儿子俊 /nr 2	 和/cc], [儿子俊/nrj, 和/cc,
和俊和也 /nr 2	 , 惠/vg, 和俊和也/nrj, 来/vf,
那会 /nr 2	 ?/nr], [那会/nr, 是/vshi
开勇作 /nr 2	 [他们/rr, 开勇作/nrj, 的/ude
全无 /nr 2	  陌生人/n, 全无/nr, 好感/n, 
那条 /nr 2	  是因为/c, 那条/nr, 看不见/v,
于是我 /nr 2	  。/w], [于是我/nr, 向/p, 前
那和 /nr 2	  ，/w], [那和/nr, 她/rr, 
莫扎特 /nr 2	  都将/nr, 莫扎特/nrf, 的/ude
山田花子 /nr 2	 是/vshi, 山田花子/nrj, ，/w],
双掌 /nr 2	 s, 将/d, 双掌/nr, 交叠/gm,
