雅也 /nr 1231	 n, 让/v, 雅也/nrjb, 想到/v
加藤 /nr 546	  ，/w], [加藤/nrjb, 亘/n,
赖江 /nr 366	 田/nrjb, 赖江/nr, 冷冷地/z,
青江 /nr 318	  。/w], [青江/nrjb, 真/a,
曾我 /nr 211	 v, 让/v, 曾我/nrjb, 略微/d
有子 /nr 156	 画面/n], [有子/nrjb, 拿来/v
福田 /nr 123	 , [”/w, 福田/nrjb, 绷着脸/
水原 /nr 123	  。/w], [水原/nrjb, 家/q,
父亲 /nr 117	 的/ude1, 父亲/nrjb, 幸夫/n
隆治 /nr 100	  。/w], [隆治/nr, 含/v, 着
恭子 /nr 98	  。/w], [恭子/nrjb, 曾多次/
贵子 /nr 95	 , 佐/vg, 贵子/nrjb, 是/vs
安浦 /nr 80	 q, 姓/v, 安浦/nr, 的/ude1
秋村 /nr 56	 是/vshi, 秋村/nrjb, 社长/n
千绘 /nr 52	 , 塚/nz, 千绘/nrjb, 。/w]
樱木 /nr 45	  ，/w], [樱木/nrjb, 轻轻地/
尾方 /nr 41	 1, 姓/v, 尾方/nrjb, ，/w]
西崎 /nr 40	 , 同事/n, 西崎/nrjb, 一起/s
关西 /nr 35	 d, 在/p, 关西/nrjb, 长大/v
和美 /nr 33	 也/nrjb, 和美/nrjb, 冬/tg
中川 /nr 33	  ，/w], [中川/nrjb, 和/cc
向井 /nr 30	 , [”/w, 向井/nrjb, 的/ud
母亲 /nr 29	 , 年前/t, 母亲/nrjb, 祯/ng
亚实 /nr 27	 ude1, 中野亚实/nrj, 。/w],
西宫 /nr 27	  [听说/v, 西宫/nrjb, 的/ud
淡路 /nr 24	 [阪神/ns, 淡路/nrjb, 大地震/
小川 /nr 21	  ，/w], [小川/nrjb, 板着脸/
遥香 /nr 21	 , 女儿/n, 遥香/nrjb, 吃饭/v
信二 /nr 21	 , 丈夫/n, 信二/nrjb, 打开/v
畑山彰子 /nr 21	  ，/w], [畑山彰子/nrj, 就/d, 
深泽 /nr 20	 , [姓/v, 深泽/nrjb, ，/w]
茂树 /nr 20	 田/nrjb, 茂树/nrjb, 是/vs
那是 /nr 19	 [”/w], [那是/nr, 一九八六/m
桂花 /nr 19	 道/ns], [桂花/nrjb, 堂/ng
幸夫 /nr 18	 亲/nrjb, 幸夫/nr, 关系/n, 
新海部长 /nr 17	  ，/w], [新海部长/nrj, 是/vsh
中先生 /nr 17	  [浜/nz, 中先生/nrj, ，/w],
三条 /nr 17	 京都/nsf, 三条/nrjb, 的/ud
仓田 /nr 15	  [只有/c, 仓田/nrjb, 赖江/n
菅原 /nr 14	 r, 姓/v, 菅原/nrjb, ，/w]
吉冈 /nr 14	 r, 姓/v, 吉冈/nrf, 。/w],
街道 /nr 13	 的/ude1, 街道/nrjb, 工厂/n
加藤一 /nr 13	 , [”/w, 加藤一/nrj, 边/k, 
仓泽 /nr 13	 的/ude1, 仓泽/nrjb, 。/w]
神户 /nr 13	 g, 以/p, 神户/nrjb, 和/cc
那盘 /nr 12	  。/w], [那盘/nr, 录像带/n,
美丽 /nr 12	 , 就是/v, 美丽/nrjb, 的/ud
新海女士 /nr 12	 , 想见/v, 新海女士/nrj, 。/w],
小泉 /nr 11	 是/vshi, 小泉/nrjb, ，/w]
昭和 /nr 11	 i, 在/p, 昭和/nrjb, 大道/n
中野小姐 /nr 11	  。/w], [中野小姐/nrj, 昨天/t,
阿安 /nr 11	 , 见过/v, 阿安/nr, 吗/y, ？
才会 /nr 9	  ，/w], [才会/nr, 在/p, 地
里美 /nr 9	 , 昨天/t, 里美/nrjb, 好像/v
那条 /nr 9	 , 确认/v, 那条/nr, 项链/n, 
那你 /nr 9	  ？/w], [那你/nr, 住/vi, 
我妻子 /nr 9	 被/pbei, 我妻子/nrj, 处理/vn
那对 /nr 9	 的/ude1, 那对/nr, 夫妇/n, 
奈美 /nr 9	 的/ude1, 奈美/nrjb, 惠/vg
日下部 /nr 9	 , 叫/vi, 日下部/nrjb, ，/w]
荒木 /nr 8	 是/vshi, 荒木/nrf, 老师/nn
水原先生 /nr 8	 w, “/w, 水原先生/nrj, 。/w],
山神 /nr 8	 , [“/w, 山神/nrjb, ？/w]
青江真一朗 /nr 7	  ？/w], [青江真一朗/nrj, 。/w],
久等了 /nr 7	 , 你/rr, 久等了/nrj, 。/w],
中洋一 /nr 7	  [浜/nz, 中洋一/nrj, 在/p, 
浅草 /nr 7	 , 去/vf, 浅草/nrjb, 寺/ng
刚过 /nr 7	  。/w], [刚过/nr, 中午/t, 
那也 /nr 7	  ，/w], [那也/nr, 是/vshi
仓田女士 /nr 7	 , [“/w, 仓田女士/nrj, 。/w],
