长峰 /nr 847	 , [让/v, 长峰/nrjb, 感到/v
织部 /nr 433	  了/ule, 织部/nrjb, ，/w]
阿诚 /nr 385	  。/w], [阿诚/nrj, 一肚子火/
菅野 /nr 342	 , 名叫/v, 菅野/nrjb, 快/a,
真野 /nr 299	 , 叫做/v, 真野/nrjb, 的/ud
佳子 /nr 272	 , 和/cc, 佳子/nrjb, 戴/v,
鲇村 /nr 158	 是/vshi, 鲇村/nrjb, 先生/n
和佳子 /nr 136	  ，/w], [和佳子/nrj, 又/d, 
民宿 /nr 123	 ……/w], [民宿/nrjb, 。/w]
父亲 /nr 109	  喜欢/vi, 父亲/nrjb, 的/ud
川崎 /nr 76	 , 叫做/v, 川崎/nrjb, ，/w]
隆明 /nr 64	 , [”/w, 隆明/nr, 停下/v, 
吉川 /nr 57	  了/ule, 吉川/nrjb, 武/ag
崎敦 /nr 55	 c, 伴/v, 崎敦/nr, 也/d, 的
母亲 /nr 54	  ，/w], [母亲/nrjb, 过世/v
近藤 /nr 47	 , 叫做/v, 近藤/nrjb, 的/ud
泰造 /nr 44	 亲/nrjb, 泰造/nrjb, 。/w]
长野 /nr 44	 ……/w], [长野/nrjb, 的/ud
长峰先生 /nr 42	 , 了解/v, 长峰先生/nrj, 的/ude
小田切 /nr 37	 , 和/cc, 小田切/nrjb, 和夫/n
中井 /nr 37	 的/ude1, 中井/nrjb, 指纹/n
优佳 /nr 36	 i, 做/v, 优佳/nrjb, 。/w]
那是 /nr 35	  ，/w], [那是/nr, 一个/mq,
上野 /nr 35	 是/vshi, 上野/nrjb, 。/w]
梶原 /nr 32	  。/w], [梶原/nrjb, 就坐/v
中井诚 /nr 28	 , [”/w, 中井诚/nrj, 一边/d,
佑二 /nr 25	 /w], [丹泽佑二/nrj, 就/d, 
千晶 /nr 25	  令嫒/nz, 千晶/nrjb, 小姐/n
新井 /nr 22	 1, 西/f, 新井/nrjb, 分局/n
小诸 /nr 18	 i, 在/p, 小诸/nrjb, 市/n,
幸代 /nr 17	 , 崎/ng, 幸代/nrjb, 是/vs
高崎 /nr 16	 , 位/q, 于高崎/nr, 市/n, 的
那张 /nr 14	 c, 在/p, 那张/nr, 经过/p, 
一惠 /nr 14	 , 老婆/n, 一惠/nrjb, 说道/v
卡拉 /nr 13	 f, 唱/v, 卡拉/nrf, OK/nx
那卷 /nr 13	 d, 将/d, 那卷/nr, 录像带/n,
木岛 /nr 12	 老板/nnt, 木岛/nrjb, 隆/ag
那你 /nr 10	 , [“/w, 那你/nr, 现在/t, 
阿真 /nr 10	 , [“/w, 阿真/nr, ，/w], 
阿诚一 /nr 10	 , [”/w, 阿诚一/nrj, 边/k, 
川口 /nr 9	 r, 县/n, 川口/nrjb, 市/n,
丹泽 /nr 9	 18/m], [丹泽/nrjb, 家/q,
阿诚心 /nr 9	  ，/w], [阿诚心/nrj, 想/v, 
和佳子心 /nr 9	  ，/w], [和佳子心/nrj, 想/v, 
少年法 /nr 9	 , 责怪/v, 少年法/nr, 的/ude1
昭和 /nr 9	 t, 为/p, 昭和/nrjb, 五三/m
名刑警 /nr 9	  这/rzv, 名刑警/nrj, 。/w],
高山 /nr 9	 , 叫做/v, 高山/nrjb, 的/ud
和中 /nr 7	 , 崎/ng, 和中/nrjb, 井/n,
高峰 /nr 7	 r, 字/n, 高峰/nrjb, ，/w]
松元 /nr 7	 n, 在/p, 松元/nr, 市内/s, 
那男 /nr 7	  。/w], [那男/nr, 的/ude1
和佳子将 /nr 7	  。/w], [和佳子将/nrj, 车子/n,
多久 /nr 7	 是/vshi, 多久/nrjb, 以前/f
高原 /nr 7	 峰/nrjb, 高原/nrjb, 的/ud
美和 /nr 7	 [金井/nr, 美和/nrjb, 是/vs
才会 /nr 6	 , 他/rr, 才会/nr, 食髓知味/n
和敦 /nr 6	 , 儿/ng, 和敦/nrj, 也/d, 
井上 /nr 6	 有/vyou, 井上/nrjb, 在/p,
金井 /nr 6	 是/vshi, 金井/nr, 。/w], 
谢谢你 /nr 5	  ，/w], [谢谢你/nr, 喔/o, 。
那孩子 /nr 5	 v, 对/p, 那孩子/nr, 下手/vi,
阿诚将 /nr 5	  。/w], [阿诚将/nrj, 车子/n,
才对 /nr 4	  射击/vn, 才对/nr, ，/w], 
施打 /nr 4	  。/w], [施打/nr, 的/ude1
村越优佳 /nr 4	 e, “/w, 村越优佳/nrj, 　/w, 
那件 /nr 4	 , 年前/t, 那件/nr, 案子/n, 
门就 /nr 4	  ，/w], [门就/nr, 打开/v, 
崎玉 /nr 4	 , 住在/v, 崎玉/nr, 县/n, 川
那一天 /nr 4	 的/ude1, 那一天/nr, 。/w], 
那通 /nr 4	  。/w], [那通/nr, 显示/v, 
那是绘 /nr 3	  。/w], [那是绘/nr, 摩/b, 养
饶你 /nr 3	  可不/dl, 饶你/nr, 。/w], 
森林 /nr 3	 有/vyou, 森林/nrjb, ，/w]
那副 /nr 3	 , 看着/v, 那副/nr, 表情/n, 
钟前 /nr 3	 , 十分/d, 钟前/nr, 的/ude1
树先生 /nr 3	 b, 重/a, 树先生/nrj, 的/ude
和佳子小姐 /nr 3	 , [“/w, 和佳子小姐/nrj, ，/w],
那也 /nr 3	  ，/w], [那也/nr, 是/vshi
野默 /nr 3	 , 像是/v, 野默/nr, 一样/uyy
隆明正 /nr 3	 亲/nrjb, 隆明正/nr, 在/p, 打
吉川先生 /nr 3	  ，/w], [吉川先生/nrj, ，/w],
才行 /nr 3	 , 线索/n, 才行/nr, ，/w], 
和佳子一 /nr 3	  。/w], [和佳子一/nrj, 走进/v,
执行 /nr 3	  [来/vf, 执行/nrjb, 这个/r
会一一 /nr 2	 d, 不/d, 会一一/nrj, 清查/vn
门也 /nr 2	  ，/w], [门也/nr, 应声/vi,
那会 /nr 2	  。/w], [那会/nr, 是/vshi
有少年 /nr 2	 , 了解/v, 有少年/nrj, 法/n, 
和佳子知道 /nr 2	  。/w], [和佳子知道/nrj, 有/vyo
才去 /nr 2	  [现在/t, 才去/nr, 警察局/ni
明知 /nr 2	  。/w], [明知/nrjb, 他们/r
长峰将 /nr 2	  。/w], [长峰将/nrj, 这/rzv
街道 /nr 2	 , 日光/n, 街道/nrjb, 上/f,
神社院 /nr 2	 i, 在/p, 神社院/nrj, 内/f, 
戴帽子 /nr 2	 d, 会/v, 戴帽子/nr, 。/w], 
那支 /nr 2	 的/ude1, 那支/nr, 粉红色/n,
门都 /nr 2	 的/ude1, 门都/nr, 是/vshi
阿诚知道 /nr 2	 , [”/w, 阿诚知道/nrj, 自己/rr
那本 /nr 2	 c, 将/d, 那本/nr, 杂志/n, 
