茂子 /nr 67	 t, 从/p, 茂子/nr, 旁边/f, 
岛田 /nr 47	 , [”/w, 岛田/nrjb, 会长/n
一平 /nr 47	 /n], [空山一平/nrj, 上/f, 
花田 /nr 37	 n, 贵/a, 花田/nr, 对/p, 武
泰鹏 /nr 36	 , [）/w, 泰鹏/nr, 对阵/vn,
杉平健太郎 /nr 34	 的/ude1, 杉平健太郎/nrj, ，/w],
柏崎 /nr 31	 , [“/w, 柏崎/nr, 怎么样/ry
大矢 /nr 30	 的/ude1, 大矢/nrjb, 真/a,
远藤 /nr 28	 的/ude1, 远藤/nrjb, 西装革履
古泽 /nr 24	 是/vshi, 古泽/nrf, 牧子/nz
松永 /nr 21	 b, 、/w, 松永/nrjb, 、/w,
丘镇 /nr 20	 z, 黑/a, 丘镇/nr, 算了/v, 
千春 /nr 20	 叫/vi, 井上千春/nrj, 。/w],
小山 /nr 19	 r, 、/w, 小山/nrjb, 、/w,
柏怒 /nr 18	  比赛/vn, 柏怒/nr, 获胜/vi,
大宫 /nr 17	  。/w], [大宫/nrjb, 也/d,
山下 /nr 16	 , [”/w, 山下/nrjb, 悻悻/d
文福茶 /nr 16	 是/vshi, 文福茶/nr, 釜/n, （
巢春 /nr 15	 v, “/w, 巢春/nr, 高中第/nr
惠里子 /nr 15	 的/ude1, 惠里子/nrjb, 披着/v
父亲 /nr 14	  马在/nr, 父亲/nrjb, 星一彻/
佐藤 /nr 13	 的/ude1, 佐藤/nrjb, 良/ag
母亲 /nr 13	 的/ude1, 母亲/nrjb, 洋子/n
美佐 /nr 9	 原/nrjb, 美佐/nrjb, 绘/v,
角樱 /nr 9	  ！/w], [角樱/nr, 能够/v, 
多久 /nr 9	  要不了/v, 多久/nrjb, 就/d,
杉平 /nr 9	  。/w], [杉平/nrjb, 拿着/v
本原 /nr 9	 , 和/cc, 本原/nrjb, 美佐/n
文福 /nr 8	  ，/w], [文福/nr, 指/v, 热
田所 /nr 8	  。/w], [田所/nrjb, 梅/ng
老太太 /nr 7	 的/ude1, 老太太/nrjb, 忽然/d
番野 /nr 7	 的/ude1, 番野/nr, 。/w], 
山下太太 /nr 7	 是/vshi, 山下太太/nrj, 啊/y, 
高须 /nr 7	  ，/w], [高须/nr, 一夫/n, 
牛头犬 /nr 6	 的/ude1, 牛头犬/nrj, 都/d, 
岩石 /nr 6	 r, 在/p, 岩石/nrjb, 嶙峋/z
和田 /nr 6	  。/w], [和田/nrjb, 弘美/n
空山一平 /nr 6	 理论/n], [空山一平/nrj, 上/f, 
弘美 /nr 6	 田/nrjb, 弘美/nrjb, 一手/d
杉本 /nr 6	 教师/nnt, 杉本/nrjb, ，/w]
和惠 /nr 6	  [我/rr, 和惠/nrjb, 里子/n
井上 /nr 6	 v, “/w, 井上/nrjb, 酒店/n
葛西幸子 /nr 5	  ，/w], [葛西幸子/nrj, 不禁/d,
和花 /nr 5	  [吾/rr, 和花/nrjb, 田/n,
望向 /nr 5	  [他/rr, 望向/nr, 轨道/n, 
藤本 /nr 5	 女白领/nz, 藤本/nrf, 就/d, 
桥本 /nr 5	  [同学/n, 桥本/nrjb, 送/v,
柏怒赢 /nr 5	 n, 赌/v, 柏怒赢/nr, 。/w], 
空山先生 /nr 5	 , 请问/v, 空山先生/nrj, ，/w],
土地 /nr 4	 的/ude1, 土地/nrjb, 变成/v
阿部菊 /nr 4	  ，/w], [阿部菊/nr, 惠/vg, 
向后 /nr 4	 , 不禁/d, 向后/nrjb, 直退/v
川岛文香 /nr 4	  ，/w], [川岛文香/nrj, 和/cc,
大矢先生 /nr 3	  。/w], [大矢先生/nrj, ，/w],
洋子 /nr 3	 亲/nrjb, 洋子/nrjb, 环视/v
才会 /nr 3	 老师/nnt, 才会/nr, 幸运地/l,
时光 /nr 3	 的/ude1, 时光/nrjb, 。/w]
