美子 /nr 178	 叫/v, 白木荣美子/nrj, 。/w],
久我 /nr 47	 [2/m], [久我/nrjb, 诚/dg
大月 /nr 46	  ，/w], [大月/nr, 蹙/vg, 
小峰先生 /nr 31	  。/w], [小峰先生/nrj, ──/w,
户田先生 /nr 27	 , 赞同/v, 户田先生/nrj, 吗/y, 
母亲 /nr 23	 , 听见/v, 母亲/nrjb, 的/ud
山西先生 /nr 20	 是/vshi, 山西先生/nrj, 。/w],
田上 /nr 13	  秘书官/n, 田上/nr, 的/ude1
上野 /nr 12	 , 部下/n, 上野/nrjb, 说/v,
才对 /nr 11	 葡萄酒/nf, 才对/nr, ，/w], 
课长 /nr 11	 m, 课/n, 课长/nrjb, 打来/v
原地 /nr 11	  呆立/nz, 原地/nrjb, 。/w]
那你 /nr 11	  ？/w], [那你/nr, 日子/n, 
那孩子 /nr 10	 是/vshi, 那孩子/nr, 把/pba,
树先生 /nr 9	 , 冬/tg, 树先生/nr, 。/w], 
与菜菜美 /nr 9	  ，/w], [与菜菜美/nrj, 面面相觑/
河濑先生 /nr 9	  ，/w], [河濑先生/nrj, 也/d, 
令冬树 /nr 9	  ，/w], [令冬树/nr, 几乎/d, 
那可 /nr 8	  ，/w], [那可/nr, 不行/a, 
那是 /nr 8	  。/w], [那是/nr, 六/m, 人
向后 /nr 8	 [转身/vi, 向后/nrjb, ，/w]
多久 /nr 7	 , 维持/v, 多久/nrjb, 也/d,
才会 /nr 7	  [所以/c, 才会/nr, 拖到/v, 
朝诚哉 /nr 7	 g, 树/n, 朝诚哉/nr, 迈步/vi,
朝冬树 /nr 7	 g, 哉/y, 朝冬树/nr, 递/v, 去
令诚哉 /nr 6	 , 时刻/n, 令诚哉/nr, 心生/n, 
步向 /nr 5	  一切/rz, 步向/nr, 自动化/vn
与太一 /nr 5	 , 他/rr, 与太一/nrj, 之前/f,
永野 /nr 5	 部长/nnt, 永野/nr, ，/w], 
连冬树 /nr 5	  ，/w], [连冬树/nr, 也/d, 能
冷然 /nr 5	 [户田/nz, 冷然/nr, 瞪/v, 她
执行 /nr 5	 , 完美/a, 执行/nrjb, 了/ul
山西太太 /nr 4	  ，/w], [山西太太/nrj, 吗/y, 
那会 /nr 4	 , [但/c, 那会/nr, 是/vshi
明知 /nr 4	 政府/nis, 明知/nrjb, 这种/r
美和 /nr 4	 [菜菜/nz, 美和/nrjb, 山西/n
小峰一 /nr 4	 , [”/w, 小峰一/nrj, 边/k, 
那也 /nr 4	  。/w], [那也/nr, 是/vshi
水中了 /nr 4	 v, 在/p, 水中了/nrj, ，/w],
和菜菜美小姐 /nr 4	 r, 哥/n, 和菜菜美小姐/nrj, 呀/y, 
那只 /nr 4	 , [“/w, 那只/nr, 拖鞋/n, 
白木 /nr 4	  ，/w], [白木/nr, 母女/n, 
久我先生 /nr 4	 w, 让/v, 久我先生/nrj, 当/p, 
沙克辛 /nr 4	 , 叫作/v, 沙克辛/nrf, （/w, 
和太一 /nr 4	 明日香/nz, 和太一/nrj, 去/vf,
那好 /nr 3	  ，/w], [那好/nr, ，/w], 
都是我 /nr 3	  ，/w], [都是我/nr, 不好/a, 
拉门 /nr 3	 , 格子/n, 拉门/nrf, 。/w],
那本 /nr 3	  。/w], [那本/nr, 杂志/n, 
白木小姐 /nr 3	 , 听到/v, 白木小姐/nrj, 的/ude
宝特 /nr 3	  拿着/vf, 宝特/nr, 瓶装/b, 
都是 /nr 3	  ，/w], [都是/nr, 难以想像/n
那对 /nr 3	 是/vshi, 那对/nr, 老夫妇/nz
白木荣美子 /nr 3	 , 名叫/v, 白木荣美子/nrj, 。/w],
户田一 /nr 3	  ，/w], [户田一/nrj, 边/k, 
那只手 /nr 3	 的/ude1, 那只手/nr, 。/w], 
都已 /nr 3	 , 事情/n, 都已/nr, 这样/rzv
和未央 /nr 3	 子/nrjb, 和未央/nrj, 也/d, 
拓志 /nr 3	 的/ude1, 拓志/nr, 愁眉苦脸/n
和菜菜美 /nr 3	 g, 哉/y, 和菜菜美/nrj, 之外/f,
安心了 /nr 3	 , 稍感/v, 安心了/nrj, 。/w],
水已 /nr 2	 , [“/w, 水已/nr, 淹到/v, 
那就来 /nr 2	 w, “/w, 那就来/nr, 一/m, 杯
小峰先生一 /nr 2	 v, 像/v, 小峰先生一/nrj, 样/ng,
于是诚 /nr 2	 [”/w], [于是诚/nr, 哉/y, 看
钟前 /nr 2	 , 十分/d, 钟前/nr, 的/ude1
土地 /nr 2	 的/ude1, 土地/nrjb, 上/f,
和荣美子 /nr 2	 d, 一/m, 和荣美子/nrj, 也/d, 
于是冬 /nr 2	  。/w], [于是冬/nr, 树/n, 把
那在 /nr 2	  [就算/d, 那在/nr, 以前/f, 
那张 /nr 2	 , [但/c, 那张/nr, 床上/n, 
阿哲 /nr 2	  ，/w], [阿哲/nr, 那/rzv,
壁屋子 /nr 2	 a, 隔/v, 壁屋子/nrj, 也/d, 
那和 /nr 2	 , [“/w, 那和/nr, 总理/nnt
