村桥 /nr 172	 的/ude1, 村桥/nrjb, 开口/v
麻生恭子 /nr 70	 是/vshi, 麻生恭子/nrj, 。/w],
校长 /nr 56	 [还是/c, 由校长/nrj, 决定/v,
竹井 /nr 51	 指导老师/n, 竹井/nrjb, ，/w]
藤本 /nr 48	 的/ude1, 藤本/nrf, 老师/nn
高原阳子 /nr 44	 是/vshi, 高原阳子/nrj, 。/w],
麻生 /nr 38	  ，/w], [麻生/nrjb, 老师/n
裕美子 /nr 38	 , [”/w, 裕美子/nrjb, 和/cc
加奈 /nr 38	 , 就是/v, 加奈/nrjb, 江/n,
长谷 /nr 38	 导师/nnt, 长谷/nrjb, 说/v,
北条雅美 /nr 34	 是/vshi, 北条雅美/nrj, 。/w],
松崎 /nr 33	 教务主任/n, 松崎/nrjb, 露出/v
高原 /nr 33	 ……/w], [高原/nrjb, 抽烟/v
雅美 /nr 32	 vshi, 北条雅美/nrj, 。/w],
宫坂 /nr 28	 的/ude1, 宫坂/nrjb, 身体/n
前岛 /nr 23	 是/vshi, 前岛/nrjb, 。/w]
四节 /nr 14	 , 第/mq, 四节/nrj], [·/w
川村 /nr 13	 , [“/w, 川村/nrjb, ？/w]
栗原校长 /nr 12	  。/w], [栗原校长/nrj, 背对/v,
和惠 /nr 12	 , 避免/v, 和惠/nrjb, 子/ng
本间 /nr 12	 的/ude1, 本间/nrjb, 先生/n
连络 /nr 11	 校长/nrj, 连络/nr, 的/ude1
白石 /nr 9	 v, 姓/v, 白石/nrjb, 的/ud
母亲 /nr 9	  ，/w], [母亲/nrjb, 劝/v,
父亲 /nr 8	  [她/rr, 父亲/nrjb, 从事/v
才会 /nr 7	  ，/w], [才会/nr, 借予/nz,
和藤 /nr 7	 r, 边/k, 和藤/nrjb, 本/rz
多久 /nr 6	 , 经过/p, 多久/nrjb, ，/w]
道场 /nr 6	 i, 剑/n, 道场/nrjb, 。/w]
边问 /nr 6	  ，/w], [边问/nr, 。/w], 
小丑 /nr 6	 v, 上/f, 小丑/nr, 的/ude1
那是 /nr 6	  ？/w], [那是/nr, 一/m, 年
望向 /nr 5	  [我/rr, 望向/nr, 房间/n, 
才对 /nr 5	 , 我/rr, 才对/nr, ，/w], 
明知 /nr 5	 [”/w], [明知/nrjb, 我/rr
高原小姐 /nr 5	 w, “/w, 高原小姐/nrj, 是/vsh
山下 /nr 4	 , 和/cc, 山下/nrjb, 老师/n
边说 /nr 4	  ，/w], [边说/nr, 。/w], 
五节 /nr 4	 , 第/mq, 五节/nrj], [第二/
时田 /nr 4	  。/w], [时田/nr, 又/d, 在
应讯 /nr 4	  出面/vi, 应讯/nr, 。/w], 
美丽 /nr 4	 是/vshi, 美丽/nrjb, 、/w,
