弘毅 /nr 196	 濑/nrjb, 弘毅/nrj, 低着头/v
峰子 /nr 131	 认识/v, 三井峰子/nrj, 吗/y, 
多美子 /nr 125	 , [”/w, 多美子/nrj, 说道/v,
母亲 /nr 116	 的/ude1, 母亲/nrjb, 在/p,
尚哉 /nr 104	  。/w], [尚哉/nr, 举起/v, 
岸田 /nr 103	 , [“/w, 岸田/nrjb, 先生/n
菜穗 /nr 89	  。/w], [菜穗/nrjb, ，/w]
三井女士 /nr 88	 , [“/w, 三井女士/nrj, ？/w],
清濑 /nr 78	  。/w], [清濑/nrjb, 弘毅/n
麻纪 /nr 77	 , [”/w, 麻纪/nrjb, 前/f,
玲子 /nr 68	 钞/ng], [玲子/nrjb, 正/d,
父亲 /nr 53	 的/ude1, 父亲/nrjb, 文孝/n
聪子 /nr 50	 [”/w], [聪子/nrjb, 摆好/v
铃江 /nr 49	 [”/w], [铃江/nrjb, 一边/d
文孝 /nr 43	 亲/nrjb, 文孝/nrj, 回到/v,
田仓先生 /nr 40	 , [“/w, 田仓先生/nrj, ，/w],
玄一 /nr 37	  正处于/v, 玄一/nr, 说/v, 的
志摩子 /nr 35	  ，/w], [志摩子/nrj, 就/d, 
雅代 /nr 35	 /w], [藤山雅代/nrj, 正在/d,
泰治 /nr 34	 老板/nnt, 泰治/nr, 。/w], 
三井峰子女士 /nr 31	 , 认识/v, 三井峰子女士/nrj, 吗/y, 
三井峰子 /nr 29	 , 认识/v, 三井峰子/nrj, 吗/y, 
宫本祐理 /nr 22	 , ——/w, 宫本祐理/nrj, 。/w],
田仓 /nr 14	 , [”/w, 田仓/nrjb, 在/p,
翔太 /nr 14	 着/uzhe, 翔太/nrjb, 的/ud
藤原女士 /nr 14	 , [“/w, 藤原女士/nrj, 是/vsh
来过 /nr 13	 , 从未/d, 来过/nr, 警察/nnt
那是 /nr 12	  。/w], [那是/nr, 在/p, 被
美咲 /nr 12	  昔/tg, 原美咲/nrj, 。/w],
加贺先生 /nr 12	 , [“/w, 加贺先生/nrj, 是/vsh
滨町 /nr 11	 的/ude1, 滨町/nrjb, 站/vi
静子 /nr 10	 a, 町/n, 静子/nrjb, 。/w]
松矢 /nr 10	 n, 、/w, 松矢/nrjb, 料/n,
宫本 /nr 10	 , [但/c, 宫本/nrjb, 使劲/v
甘酒横 /nr 8	 , 叫/vi, 甘酒横/nr, 丁/ng, 
伦敦 /nr 8	  了/ule, 伦敦/nrf, ，/w],
那你 /nr 7	 , [“/w, 那你/nr, 就/d, 没
加贺将 /nr 7	 [”/w], [加贺将/nrj, 手/n, 
那可 /nr 6	  ？/w], [那可/nr, 麻烦/an,
童梦 /nr 6	 n, “/w, 童梦/nr, 屋/n, ”
滨町公园 /nr 6	  。/w], [滨町公园/nrj, 在/p, 
柳泽 /nr 6	  我们/rr, 柳泽/nr, 商店/nis
浅草 /nr 5	  都营/nr, 浅草/nrjb, 线/n,
清濑先生 /nr 5	  。/w], [清濑先生/nrj, ，/w],
加贺一 /nr 5	 , [”/w, 加贺一/nrj, 脸/n, 
来买 /nr 5	 , 不是/c, 来买/nr, 仙贝/nz,
宫本小姐 /nr 5	 w, “/w, 宫本小姐/nrj, 。/w],
志摩 /nr 5	 , 去/vf, 志摩/nrf, ，/w],
中西 /nr 4	 这时/rzt, 中西/nrjb, 礼子/n
多美子心 /nr 4	  。/w], [多美子心/nrj, 下/f, 
于是我 /nr 4	  。/w], [于是我/nr, 调查/vn,
老太太 /nr 4	 , 白发/n, 老太太/nrjb, 点头/v
礼子 /nr 4	 西/nrjb, 礼子/nrjb, 从/p,
文也 /nr 4	  [彰/ag, 文也/nr, 回应/vn,
柳泽先生 /nr 4	 , [“/w, 柳泽先生/nrj, ，/w],
都是 /nr 4	  。/w], [都是/nr, 这样/rzv
小彰 /nr 4	  ，/w], [小彰/nrj, ，/w],
横滨 /nr 4	 n, 在/p, 横滨/nrjb, ，/w]
健一 /nr 4	  。/w], [健一/nrjb, 不/d,
作先生 /nr 3	 b, 要/v, 作先生/nrj, 说/v, 
加贺笑了 /nr 3	 [”/w], [加贺笑了/nrj, 。/w],
弘毅心 /nr 3	  ？/w], [弘毅心/nrj, 想/v, 
和美 /nr 3	  [答案/n, 和美/nrjb, 雪/n,
三井 /nr 3	 r, 姓/v, 三井/nrjb, 。/w]
橘先生 /nr 3	  。/w], [橘先生/nrj, 没生气/l
那孩子 /nr 3	  ，/w], [那孩子/nr, 跟/p, 她
文看 /nr 3	  [彰/ag, 文看/nr, 了/ule,
