拓实 /nr 1367	  。/w], [拓实/nr, 想/v, 对
时生 /nr 726	 , 叫/vi, 时生/nrjb, 。/w]
千鹤 /nr 401	 的/ude1, 千鹤/nrjb, 走/v,
竹美 /nr 176	  ，/w], [竹美/nr, ，/w], 
日吉 /nr 127	 r, 姓/v, 日吉/nrjb, 。/w]
宫本 /nr 118	  。/w], [宫本/nrjb, 夫妇/n
杰西 /nr 112	 w, “/w, 杰西/nrf, 。/w],
石原 /nr 102	 , [姓/v, 石原/nr, ，/w], 
丽子 /nr 66	 [那是/nr, 丽子/nrjb, 的/ud
淳子 /nr 63	 , 东条/n, 淳子/nrjb, ，/w]
高仓 /nr 60	 , 我/rr, 高仓/nrjb, 吧/y,
中西 /nr 54	 e, 揍/v, 中西/nrjb, 时/qt
父亲 /nr 53	 的/ude1, 父亲/nrjb, 便/d,
母亲 /nr 50	 , 听到/v, 母亲/nrjb, 在/p,
须美 /nr 34	  。/w], [须美/nrjb, 子/ng
哲夫 /nr 28	 , 就是/v, 哲夫/nrf, 了/ule
东条须美子 /nr 22	  [名叫/v, 东条须美子/nrj, 。/w],
名古屋 /nr 22	 d, 到/v, 名古屋/nrjb, ？/w]
养父 /nr 19	  [他/rr, 养父/nrjb, 最爱/a
浅草 /nr 18	 的/ude1, 浅草/nrjb, 寺/ng
那姑娘 /nr 18	  ？/w], [那姑娘/nr, 的/ude1
美和 /nr 13	  [竹/ng, 美和/nrjb, 杰西/n
那妞 /nr 12	  ，/w], [那妞/nr, 的/ude1
坂田 /nr 12	 w, “/w, 坂田/nrjb, ”/w,
实先生 /nr 12	 本拓/nrj, 实先生/nrj, 。/w],
高江 /nr 12	 b, 区/n, 高江/nrjb, ”/w,
生野 /nr 11	 e, “/w, 生野/nrjb, 区/n,
宫本拓 /nr 11	  ，/w], [宫本拓/nrj, 实/ad,
静冈 /nr 10	 d, 在/p, 静冈/nrjb, 的/ud
那本 /nr 9	 的/ude1, 那本/nr, 手绘/v, 
川边玲 /nr 9	 溺水者/nz, 川边玲/nrj, 二/m, 
那是 /nr 8	  ，/w], [那是/nr, 丽子/nrj
那你 /nr 8	 , [“/w, 那你/nr, 是/vshi
拉门 /nr 8	 的/ude1, 拉门/nrf, ，/w],
上前 /nr 8	 [拓实/nr, 上前/nrjb, 拍了拍/
道顿 /nr 8	 w, “/w, 道顿/nrf, 堀/ng,
那青年 /nr 7	  。/w], [那青年/nr, 称/v, 是
那可 /nr 7	 , [“/w, 那可/nr, 不行/a, 
格雷戈里 /nr 7	 , 知道/v, 格雷戈里/nrf, 综合症/n
街道 /nr 7	 , 地下/s, 街道/nrjb, 中/f,
抚养 /nr 6	 是/vshi, 抚养/nrjb, 别人/r
土地 /nr 5	  [买下/v, 土地/nrjb, 房屋/n
麻冈 /nr 5	 z, 姓/v, 麻冈/nr, 。/w], 
全知道 /nr 5	 r, 可/v, 全知道/nrj, ，/w],
那孩子 /nr 5	  ，/w], [那孩子/nr, 肯定/v, 
佐藤 /nr 5	 的/ude1, 佐藤/nrjb, 抬头/v
来过 /nr 5	 , 晚上/t, 来过/nr, 。/w], 
东条淳子 /nr 5	  [叫/vi, 东条淳子/nrj, 的/ude
艾古 /nr 5	 m, 支/q, 艾古/nr, ，/w], 
吉江 /nr 4	  [这位/r, 吉江/nr, 大婶/n, 
那也 /nr 4	  ，/w], [那也/nr, 只好/d, 
宫本先生 /nr 4	 , [“/w, 宫本先生/nrj, ，/w],
多久 /nr 4	  持续/vd, 多久/nrjb, ，/w]
德隆 /nr 4	 、/w, 阿兰·德隆/nrf, 演/v, 
金丝边 /nr 4	  [戴着/v, 金丝边/nr, 眼镜/n, 
练过 /nr 4	 是/vshi, 练过/nr, 拳击/n, 
威登 /nr 3	 shi, 路易·威登/nrf, 的/ude
和千鹤 /nr 3	 着/uzhe, 和千鹤/nrj, 在/p, 
次郎 /nr 3	 , 寅/mg, 次郎/nrjb, ，/w]
那一页 /nr 3	 2, 将/d, 那一页/nr, 撕/v, 了
宫本太太 /nr 3	  ，/w], [宫本太太/nrj, 更是/d,
令拓实 /nr 3	  ，/w], [令拓实/nr, 很/d, 在
向后 /nr 3	 , 打得/v, 向后/nrjb, 飞去/v
多惠 /nr 3	 z, ‘/w, 多惠/nrjb, 予/vg
朝竹美 /nr 3	  ，/w], [朝竹美/nr, 他们/rr,
那店 /nr 3	 , [“/w, 那店/nr, 以前/f, 
麻冈拓 /nr 3	 是/vshi, 麻冈拓/nr, 实/ad, 
木拓 /nr 3	 , [“/w, 木拓/nr, ……/w],
那对 /nr 3	 着/uzhe, 那对/nr, 母女/n, 
石原和 /nr 3	 是/vshi, 石原和/nr, 日吉/nrj
麻冈须美子 /nr 3	  ，/w], [麻冈须美子/nrj, 嫁给/v,
竹美道 /nr 3	 , [”/w, 竹美道/nr, 。/w], 
那两人 /nr 3	  。/w], [那两人/nr, 也/d, 根
坂本 /nr 3	 e, “/w, 坂本/nrjb, 清美/n
里塞 /nr 3	  运动包/n, 里塞/nrf, 了/ule
石原一 /nr 3	  。/w], [石原一/nrj, 边/k, 
才对 /nr 2	 , 公寓/n, 才对/nr, ，/w], 
那就更 /nr 2	 , [“/w, 那就更/nr, 不行/a, 
高峰 /nr 2	 , 就是/v, 高峰/nrjb, ，/w]
竹美正 /nr 2	 , 和/cc, 竹美正/nr, 相拥/nz,
才会 /nr 2	  ，/w], [才会/nr, 在/p, 至
都是我 /nr 2	 的/ude1, 都是我/nr, 的/ude1
雷门 /nr 2	 , 跑到/v, 雷门/nr, ，/w], 
小兄弟 /nr 2	 , 这位/r, 小兄弟/nrj, 的/ude
多心了 /nr 2	 , 我/rr, 多心了/nrj, 。/w],
三船敏郎 /nr 2	  ？/w], [三船敏郎/nrj, 和/cc,
拉人 /nr 2	 , 那位/r, 拉人/nrf, 的/ude
实笑了 /nr 2	 , [拓/v, 实笑了/nrj, 。/w],
石原怪 /nr 2	 [”/w], [石原怪/nr, 笑着/vi,
竹美吐 /nr 2	 [”/w], [竹美吐/nr, 了/ule,
张成 /nr 2	 , 嘴巴/n, 张成/nr, O/nx, 
费多大 /nr 2	 b, 要/v, 费多大/nrf, 功夫/n,
朝拓实 /nr 2	 , [却/d, 朝拓实/nr, 的/ude1
伊藤博文 /nr 2	 是/vshi, 伊藤博文/nrj, 啊/y, 
久等了 /nr 2	 , [“/w, 久等了/nrj, 。/w],
真想 /nr 2	 i, 没/d, 真想/nr, 把/pba,
丁目 /nr 2	 n, 九/m, 丁目/nr, 。/w], 
早濑千鹤 /nr 2	  。/w], [早濑千鹤/nrj, 在/p, 
石原裕次郎 /nr 2	 , [“/w, 石原裕次郎/nrj, 的/ude
那男 /nr 2	  ，/w], [那男/nr, 的/ude1
