仓持 /nr 709	  。/w], [仓持/nrjb, 并不/d
父亲 /nr 619	  。/w], [父亲/nrjb, 好像/v
美晴 /nr 287	 叫/vi, 关口美晴/nrj, 。/w],
母亲 /nr 168	  。/w], [母亲/nrjb, 峰子/n
由希子 /nr 154	 叫做/v, 上原由希子/nrj, 和/cc,
志摩子 /nr 90	  [所以/c, 志摩子/nrj, ，/w],
藤田 /nr 77	 , 名叫/v, 藤田/nrjb, 的/ud
田岛 /nr 71	 , [“/w, 田岛/nr, 也/d, 试
川本 /nr 49	 , 叫/vi, 川本/nrjb, 的/ud
佐仓 /nr 45	 公司/nis, 佐仓/nrjb, 洋/ag
和仓 /nr 42	 , [没/d, 和仓/nrjb, 持/v,
加藤 /nr 40	 , 名叫/v, 加藤/nrjb, 的/ud
那是 /nr 33	  。/w], [那是/nr, 一/m, 封
荣子 /nr 32	 w], [寺冈理荣子/nrj, 身材苗条/
山下 /nr 30	 , 名叫/v, 山下/nrjb, 的/ud
田岛先生 /nr 29	 是/vshi, 田岛先生/nrj, 要/v, 
奈绪子 /nr 28	 , 叫/vi, 奈绪子/nrjb, 。/w]
仓持修 /nr 28	  [与/cc, 仓持修/nrj, 开始/v,
穗积 /nr 26	 e, “/w, 穗积/nrjb, 国际/n
石原 /nr 26	 , 叫做/v, 石原/nr, ，/w], 
木原 /nr 23	 , 和/cc, 木原/nrjb, 在/p,
江尻阳子 /nr 22	 , 见到/v, 江尻阳子/nrj, 。/w],
寺冈理荣子 /nr 20	  。/w], [寺冈理荣子/nrj, 身材苗条/
阿春 /nr 20	 , 她/rr, 阿春/nr, 姨/n, 。
金子 /nr 20	  ，/w], [金子/nrjb, 用/p,
和美 /nr 19	  。/w], [和美/nrjb, 晴/vi
于是我 /nr 18	  ，/w], [于是我/nr, 毫不迟疑/d
课长 /nr 13	 的/ude1, 课长/nrjb, 坐在/v
多久 /nr 13	  了/ule, 多久/nrjb, ，/w]
宫内 /nr 12	 , 名叫/v, 宫内/nrjb, 的/ud
那一天 /nr 12	  。/w], [那一天/nr, ，/w], 
那张 /nr 11	 的/ude1, 那张/nr, 写/v, 着
田岛和 /nr 11	 v, “/w, 田岛和/nr, 幸/vg, 
山姆 /nr 11	 是/vshi, 山姆/nrf, 啦/y, 
鸟居 /nr 10	 的/ude1, 鸟居/nrjb, 上/f,
村冈公子 /nr 10	 是/vshi, 村冈公子/nrj, 。/w],
关口 /nr 10	 是/vshi, 关口/nrjb, 。/w]
才会 /nr 9	  ，/w], [才会/nr, 一旦/d, 
峰子 /nr 9	 亲/nrjb, 峰子/nrjb, 是/vs
松户 /nr 9	 , 住在/v, 松户/nr, 的/ude1
黑泽小姐 /nr 9	 , 交给/v, 黑泽小姐/nrj, ，/w],
上原由希子 /nr 9	 , 叫做/v, 上原由希子/nrj, 和/cc,
原地 /nr 9	  呆立/nz, 原地/nrjb, 。/w]
土地 /nr 8	  ，/w], [土地/nrjb, 连同/p
谢谢你 /nr 8	 , [“/w, 谢谢你/nr, 。/w], 
山下先生 /nr 8	  岂不是/d, 山下先生/nrj, 说/v, 
田岛家 /nr 8	  ，/w], [田岛家/nr, 的/ude1
本田小姐 /nr 8	 , [”/w, 本田小姐/nrj, 的/ude
叶月 /nr 7	 s/nx, 松村叶月/nrj, ”/w, 
和香 /nr 7	 , [能/v, 和香/nrjb, 苗两人/
才行 /nr 7	 r, 说/v, 才行/nr, 。/w], 
库里 /nr 7	 , 保险/n, 库里/nrf, ，/w],
时光 /nr 6	 小学/nis, 时光/nrjb, 。/w]
明知 /nr 6	 什么/ryv, 明知/nrjb, 会/v,
那是我 /nr 6	  ，/w], [那是我/nr, 最后/f, 
班导 /nr 5	  ，/w], [班导/nr, 要/v, 我
幸先生 /nr 5	 , 和/cc, 幸先生/nrj, ，/w],
那你 /nr 5	 , [“/w, 那你/nr, 刚才/t, 
练马 /nr 5	  了/ule, 练马/nr, 。/w], 
藤田先生 /nr 5	 是/vshi, 藤田先生/nrj, 说/v, 
才对 /nr 4	 v, 人/n, 才对/nr, 。/w], 
明智光秀 /nr 4	  [不过/c, 明智光秀/nrf, （/w, 
江尻 /nr 4	 r, 姓/v, 江尻/nrjb, 。/w]
花你 /nr 4	  [不会/v, 花你/nr, 太多/ad,
中奖了 /nr 4	  ，/w], [中奖了/nrj, 耶/b, 
一角 /nr 4	 /ulian, 一角/nrjb, 也/d,
上原小姐 /nr 4	 , [“/w, 上原小姐/nrj, 。/w],
执行 /nr 4	 c, 在/p, 执行/nrjb, 杀人/v
美丽 /nr 4	 江那头/nr, 美丽/nrjb, 的/ud
公香 /nr 4	 是/vshi, 公香/nr, 小姐/n, 
和理荣子 /nr 4	 , 再次/d, 和理荣子/nrj, 独处/v,
和公子 /nr 4	 f, 才/d, 和公子/nrj, 走/v, 
布兰比利耶 /nr 4	 , 就是/v, 布兰比利耶/nrf, 公爵夫人/
成田 /nr 4	 是/vshi, 成田/nrjb, 山/n,
小修 /nr 3	 d, 在/p, 小修/nr, 的/ude1
那可 /nr 3	  ，/w], [那可/nr, 就/d, 麻
田岛你 /nr 3	 , [“/w, 田岛你/nr, 是/vshi
那并 /nr 3	  。/w], [那并/nr, 不是/c, 
正中央 /nr 3	 的/ude1, 正中央/nrj, 。/w],
边看 /nr 3	  。/w], [边看/nr, 电视/n, 
方怕你 /nr 3	 v, 对/p, 方怕你/nr, 。/w], 
披萨 /nr 3	 f, 送/v, 披萨/nrf, 。/w],
才好 /nr 3	 , 解释/v, 才好/nr, 的/ude1
织田信长 /nr 3	  [侍奉/v, 织田信长/nrj, ，/w],
向后 /nr 3	  [我/rr, 向后/nrjb, 飞也似地
保谷 /nr 3	 , [在/p, 保谷/nr, 车站/n, 
那也 /nr 3	  。/w], [那也/nr, 难怪/d, 
管钱 /nr 3	  ，/w], [管钱/nr, 的/ude1
那一页 /nr 3	  [而且/c, 那一页/nr, 是/vshi
仓持先生 /nr 3	  ，/w], [仓持先生/nrj, ，/w],
那件 /nr 3	 , [“/w, 那件/nr, 打工/vi,
钱买 /nr 3	 的/ude1, 钱买/nr, 高级/a, 
铃木 /nr 3	 , 叫做/v, 铃木/nrjb, 的/ud
才说 /nr 3	  你好/vl, 才说/nr, 的/ude1
任谁 /nr 3	  。/w], [任谁/nr, 都/d, 看
来是 /nr 3	  我们/rr, 来是/nr, 想要/v, 
上前 /nr 3	  [亲戚/n, 上前/nrjb, 迎接/v
关口美晴 /nr 3	  [叫/vi, 关口美晴/nrj, 。/w],
可可 /nr 3	 g, 热/a, 可可/nrf, 。/w],
向你 /nr 3	 1, 人/n, 向你/nr, 推销/v, 
