实穗 /nr 105	 井/nrjb, 实穗/nrjb, 发现/v
栗林 /nr 79	 v, “/w, 栗林/nrjb, ”/w,
静子 /nr 78	 西/nrjb, 静子/nrjb, 才/d,
野田 /nr 77	 [”/w], [野田/nrjb, 瞪大/n
要子 /nr 71	  ）/w], [要子/nrjb, 退/v,
茂秋 /nr 67	 [”/w], [茂秋/nr, 依言/nz,
福富 /nr 63	 , [“/w, 福富/nrjb, ，/w]
伸太郎 /nr 53	 , [”/w, 伸太郎/nrjb, 点头/v
健太 /nr 51	 v, 给/p, 健太/nrjb, 留下/v
宫岸 /nr 50	 v, “/w, 宫岸/nrjb, ”/w,
孝三 /nr 48	  ，/w], [孝三/nr, 这个/rz,
育美 /nr 37	 口/nrjb, 育美/nrjb, 那/rz
政子 /nr 35	 富/nrjb, 政子/nrjb, 的/ud
玲子 /nr 33	 岸/nrjb, 玲子/nrjb, 出现/v
母亲 /nr 28	 的/ude1, 母亲/nrjb, ，/w]
史朗 /nr 22	 /w], [儿子史朗/nrj, 也/d, 
栗林先生 /nr 22	 w, “/w, 栗林先生/nrj, 那边/rz
田中 /nr 17	 是/vshi, 田中/nrjb, 弘美/n
鸟饲文惠 /nr 17	 是/vshi, 鸟饲文惠/nrj, 告诉/v,
桥本 /nr 17	  [不知/v, 桥本/nrjb, 君/ng
淳子 /nr 16	  町田/nz, 淳子/nrjb, 、/w,
信彦 /nr 16	 ude1, 儿子信彦/nrj, 在/p, 
课长 /nr 16	 m, 课/n, 课长/nrjb, 等/ud
辰哉 /nr 15	 r, 神/n, 辰哉/nrjb, ，/w]
弘美 /nr 15	 中/nrjb, 弘美/nrjb, ，/w]
由香 /nr 15	  [昨晚/t, 由香/nrjb, 里/f,
路家 /nr 15	 i, 小/a, 路家/nr, 的/ude1
父亲 /nr 13	 的/ude1, 父亲/nrjb, ——/w
天下一 /nr 13	  ，/w], [天下一/nrjb, 相关/v
洋一 /nr 13	 方/nrjb, 洋一/nrjb, 。/w]
山下 /nr 12	  。/w], [山下/nrjb, 符合/v
古川 /nr 12	 b, 、/w, 古川/nrjb, 芳/ag
富家 /nr 12	 v, 福/n, 富家/nrjb, 附近/f
贞男 /nr 11	 , [”/w, 贞男/nr, 穿/v, 上
真锅 /nr 11	 , [“/w, 真锅/nrjb, 教授/n
山田 /nr 11	 i, 以/p, 山田/nrjb, 弥生/n
弥生 /nr 10	  ，/w], [弥生/nrjb, 已/d,
史明 /nr 10	 , [”/w, 史明/nr, 下班/vi,
孝子 /nr 10	 , [”/w, 孝子/nrjb, 夸张/v
栗林太太 /nr 9	 , [”/w, 栗林太太/nrj, 虽/c, 
川岛 /nr 8	  。/w], [川岛/nrjb, 编辑/n
本部 /nr 8	 警察/nnt, 本部/nrjb, ，/w]
望向 /nr 7	  ，/w], [望向/nr, 町田/nz,
那孩子 /nr 7	 , 和/cc, 那孩子/nr, 一起/s, 
东野圭吾 /nr 7	 百度/ntc, 东野圭吾/nrj, 吧/y],
高屋 /nr 6	 g, 部/q, 高屋/nr, 敷/v, 秀
小山田仁美 /nr 6	  。/w], [小山田仁美/nrj, ？/w],
