厚子 /nr 126	  ，/w], [厚子/nrjb, 还/d,
弘美 /nr 121	 [永井/nr, 弘美/nrjb, 原来/d
信二 /nr 108	 原/nrjb, 信二/nrjb, 的/ud
达也 /nr 97	 [1/m], [达也/nrjb, 死/v,
安藤 /nr 97	  。/w], [安藤/nrjb, 和夫/n
孝志 /nr 92	  [就是/v, 孝志/nr, 周三/t, 
洋子 /nr 84	 伯/nrjb, 洋子/nrjb, 的/ud
黑田 /nr 73	  。/w], [黑田/nrjb, 是/vs
田宫 /nr 66	  ，/w], [田宫/nrjb, 警/ng
由纪子 /nr 66	 藤/nrjb, 由纪子/nrjb, 还有/v
由希子 /nr 66	 名叫/v, 中町由希子/nrj, 的/ude
森田 /nr 65	 , 名叫/v, 森田/nrjb, 的/ud
创介 /nr 58	 [”/w], [创介/nrjb, 说/v,
拓也 /nr 50	  ）/w], [拓也/nrjb, 抓起/v
荻原 /nr 49	 是/vshi, 荻原/nrjb, ”/w,
高间 /nr 47	 的/ude1, 高间/nrjb, 用/p,
隆夫 /nr 46	 j, 、/w, 隆夫/nrjb, ，/w]
丽子 /nr 45	 原/nrjb, 丽子/nrjb, 终于/d
岸田 /nr 44	  [来到/v, 岸田/nrjb, 家/q,
雅美 /nr 43	 教师/nnt, 雅美/nrf, 。/w],
番场 /nr 42	  [名叫/v, 番场/nrjb, 。/w]
母亲 /nr 42	 也/nrjb, 母亲/nrjb, 面前/f
正树 /nr 40	 ude1, 儿子正树/nrj, 、/w, 
洋一 /nr 39	  田村/ns, 洋一/nrjb, 被/pb
高野 /nr 33	  [自称/v, 高野/nr, 和/cc, 
望月 /nr 31	 , [“/w, 望月/nrjb, 应该/v
父亲 /nr 27	 , 年前/t, 父亲/nrjb, 再婚/v
佐野 /nr 27	 的/ude1, 佐野/nrjb, 叫/vi
藤尾 /nr 25	 , 叫/vi, 藤尾/nrjb, 的/ud
中町 /nr 21	 e, “/w, 中町/nrjb, ”/w,
田家 /nr 19	 , 森/ag, 田家/nrjb, 去/vf
笠井 /nr 18	 是/vshi, 笠井/nrjb, 同学/n
中西 /nr 17	 , 叫/vi, 中西/nrjb, ，/w]
阿达 /nr 16	 是/vshi, 阿达/nrf, 死/v, 
胡子刑警 /nr 13	  。/w], [胡子刑警/nrj, 有些/rz
广美 /nr 12	 , 叫/vi, 广美/nrjb, 。/w]
那张 /nr 11	 达也/nrj, 那张/nr, 就/d, 像
阿良 /nr 11	 , 今天/t, 阿良/nrf, 你/rr,
井本 /nr 10	 主任/nnt, 井本/nrjb, 。/w]
时枝太太 /nr 10	 [”/w], [时枝太太/nrj, 楸/n, 
那可 /nr 9	  ，/w], [那可/nr, 就/d, 麻
那是 /nr 9	 [”/w], [那是/nr, 一/m, 只
那你 /nr 9	 , [“/w, 那你/nr, 就/d, 等
良子 /nr 9	 亲/nrjb, 良子/nrjb, 望着/v
美代子 /nr 9	 井/nrjb, 美代子/nrjb, 。/w]
和夫 /nr 8	 藤/nrjb, 和夫/nrjb, ，/w]
原地 /nr 8	  ，/w], [原地/nrjb, 站/vi
那卷 /nr 8	 , [从/p, 那卷/nr, 录像带/n,
那户 /nr 7	  [而/cc, 那户/nr, 亲戚家/n,
江理子 /nr 7	 , 名叫/v, 江理子/nr, ，/w], 
木岛 /nr 7	  ，/w], [木岛/nrjb, 礼子/n
那本 /nr 6	 r, 从/p, 那本/nr, 成绩/n, 
启三 /nr 6	 n, 对/p, 启三/nr, 的/ude1
礼子 /nr 6	 名叫/v, 木岛礼子/nrj, 。/w],
时光 /nr 6	 [那/rzv, 时光/nrjb, 或许/d
永井 /nr 6	  ，/w], [永井/nr, 弘美/nrj
那女 /nr 5	 , [“/w, 那女/nr, 的/ude1
那副 /nr 5	 , 他/rr, 那副/nr, 若无其事/v
高野刑警 /nr 5	  。/w], [高野刑警/nrj, 用/p, 
那名 /nr 5	  了/ule, 那名/nr, 备考/n, 
名刑警 /nr 5	 , [两/m, 名刑警/nrj, 满意/v,
小逸 /nr 4	 r, “/w, 小逸/nr, ”/w, ，
那条 /nr 4	  。/w], [那条/nr, 胳臂/n, 
高间刑警 /nr 4	  。/w], [高间刑警/nrj, 重复/vd
那件 /nr 3	  了/ule, 那件/nr, 惟有/v, 
中西幸雄 /nr 3	 [7/m], [中西幸雄/nrj, 对/p, 
佐伯洋子 /nr 3	 的/ude1, 佐伯洋子/nrj, 。/w],
真想 /nr 3	  忍不住/v, 真想/nr, 说/v, 他
那男 /nr 3	  [今晚/t, 那男/nr, 的/ude1
和藤 /nr 3	  [我/rr, 和藤/nrjb, 尾/ng
那也 /nr 3	  ，/w], [那也/nr, 无所谓/vl
望向 /nr 3	  ，/w], [望向/nr, 这边/rzs
那孩子 /nr 3	 , [“/w, 那孩子/nr, 是/vshi
中町由希子 /nr 3	 , 名叫/v, 中町由希子/nrj, 的/ude
索尼 /nr 3	 是/vshi, 索尼/nrf, 大楼/n,
多久 /nr 3	 , 坚持/v, 多久/nrjb, ，/w]
包来 /nr 3	 的/ude1, 包来/nr, ，/w], 
本部 /nr 3	  [搜查/v, 本部/nrjb, 便/d,
月光 /nr 3	 的/ude1, 月光/nrf, ，/w],
来过 /nr 3	 , 屋里/s, 来过/nr, 。/w], 
才行 /nr 3	  一阵/mq, 才行/nr, 。/w], 
薄上 /nr 3	 , 住址/n, 薄上/nr, 就/d, 只
和正树 /nr 3	 那口子/rr, 和正树/nrj, 都/d, 
道顿 /nr 3	 是/vshi, 道顿/nrf, 掘/v, 
桥下 /nr 3	 , 望着/v, 桥下/nrjb, 。/w]
和达也 /nr 3	  [我/rr, 和达也/nrj, 从/p, 
加藤 /nr 2	  ，/w], [加藤/nrjb, 老师/n
那群 /nr 2	 v, 在/p, 那群/nr, 凑热闹/vi
和高 /nr 2	  [我/rr, 和高/nrjb, 野/b,
鲁米诺 /nr 2	 , 叫做/v, 鲁米诺/nrf, 反应/vn
有洋子 /nr 2	 , 存在/v, 有洋子/nrj, 开始/v,
谢谢你 /nr 2	  ，/w], [谢谢你/nr, 。/w], 
都挺晚 /nr 2	  回家/vi, 都挺晚/nr, 的/ude1
朋子 /nr 2	 的/ude1, 朋子/nrjb, 一个/m
明知 /nr 2	  ，/w], [明知/nrjb, 已是/d
朝了一 /nr 2	 n, 扭/v, 朝了一/nrj, 旁/f, 
河合雅美 /nr 2	 , 名叫/v, 河合雅美/nrj, 的/ude
才对 /nr 2	 , 满足/v, 才对/nr, 。/w], 
与达也 /nr 2	 , 我/rr, 与达也/nrj, 的/ude
北海 /nr 2	 , 报考/v, 北海/nrjb, 道/qv
