俊介 /nr 546	 木/nrjb, 俊介/nrjb, 的/ud
藤间 /nr 395	 是/vshi, 藤间/nrjb, ，/w]
美菜子 /nr 298	  我们/rr, 美菜子/nrjb, 和/cc
关谷 /nr 168	 [”/w], [关谷/nr, 拿起/v, 
津久 /nr 136	 是/vshi, 津久/nrjb, 见/v,
并木先生 /nr 114	 , 既然/c, 并木先生/nrj, 也/d, 
英里子 /nr 106	 /w], [高阶英里子/nrj, （/w, 
章太 /nr 64	 , 和/cc, 章太/nr, 平日/t, 
君子 /nr 59	 , [“/w, 君子/nrjb, ，/w]
藤间先生 /nr 51	 是/vshi, 藤间先生/nrj, 的/ude
高阶小姐 /nr 41	 v, 将/d, 高阶小姐/nrj, 当做/v,
关谷靖子 /nr 36	 , [”/w, 关谷靖子/nrj, 说/v, 
坂崎先生 /nr 36	 是/vshi, 坂崎先生/nrj, ，/w],
高阶 /nr 28	 是/vshi, 高阶/nrjb, 呀/y,
关谷先生 /nr 26	 , [“/w, 关谷先生/nrj, 他们/rr
和藤 /nr 20	 , 客厅/n, 和藤/nrjb, 间/f,
拓也 /nr 19	 [大儿子/n, 拓也/nrjb, 则/d,
靖子 /nr 18	 是/vshi, 靖子/nrjb, 他们/r
坂崎君子 /nr 17	  。/w], [坂崎君子/nrj, 从/p, 
并木 /nr 17	  。/w], [并木/nrjb, 俊介/n
东野圭吾 /nr 15	 , ——/w, 东野圭吾/nrj, 的/ude
直人 /nr 15	 , [”/w, 直人/nrjb, 不耐烦/
日月光 /nr 14	 , [※/w, 日月光/nrj, 华/b, 
母亲 /nr 11	  有的/rz, 母亲/nrjb, 为了/p
才行 /nr 9	 , 环境/n, 才行/nr, 。/w], 
才对 /nr 8	  起床/vi, 才对/nr, ，/w], 
卡拉 /nr 8	  [就是/v, 卡拉/nrf, OK/nx
那是 /nr 7	  ，/w], [那是/nr, 一/m, 间
父亲 /nr 6	 的/ude1, 父亲/nrjb, 就是/v
那你 /nr 6	 , [“/w, 那你/nr, 是/vshi
和美 /nr 6	 , [”/w, 和美/nrjb, 菜子/n
那也 /nr 5	  ，/w], [那也/nr, 没关系/vl
西玛 /nr 5	 的/ude1, 西玛/nr, （/w, 注
高阶英里子 /nr 5	  。/w], [高阶英里子/nrj, （/w, 
上前 /nr 4	 b, 走/v, 上前/nrjb, 开口/v
张开嘴 /nr 3	 地/ude2, 张开嘴/nr, ，/w], 
谈合坂 /nr 2	 , 去/vf, 谈合坂/nr, 休息/v, 
都是 /nr 2	 d, 也/d, 都是/nr, 这样/rzv
关谷晴 /nr 2	  。/w], [关谷晴/nr, 树/n, 和
多久 /nr 2	 [想睡/nz, 多久/nrjb, 就/d,
高阶英里子小姐 /nr 2	  [就是/v, 高阶英里子小姐/nrj, 。/w],
连章太 /nr 2	  ，/w], [连章太/nr, 也/d, 别
披萨 /nr 2	 是/vshi, 披萨/nrf, 和/cc,
谢谢你 /nr 2	  。/w], [谢谢你/nr, 专程/d, 
关谷来 /nr 2	 , [”/w, 关谷来/nr, 回/v, 看
森林 /nr 2	 的/ude1, 森林/nrjb, 中/f,
钟后 /nr 2	 , 十分/d, 钟后/nr, 就/d, 能
大家一 /nr 2	 , 因为/c, 大家一/nrj, 时/qt,
原地 /nr 2	  [回到/v, 原地/nrjb, 后/f,
关谷靖子一 /nr 2	 , [”/w, 关谷靖子一/nrj, 边/k, 
那可 /nr 2	  ，/w], [那可/nr, 不太好/v,
布里 /nr 2	 , 塑胶/n, 布里/nrf, 的/ude
向后 /nr 2	  [身子/n, 向后/nrjb, 仰/v,
关谷一 /nr 2	  。/w], [关谷一/nrj, 边/k, 
天亮了 /nr 2	 n, 就/d, 天亮了/nrj, 。/w],
才又 /nr 2	  ，/w], [才又/nr, 抓起/v, 
执行 /nr 2	 , 来/vf, 执行/nrjb, 。/w]
上前一步 /nr 2	 介/nrjb, 上前一步/nrj, ，/w],
白晰 /nr 2	 , 脸色/n, 白晰/nr, 到/v, 几
真亏你 /nr 2	  ，/w], [真亏你/nr, 能/v, 找
一角 /nr 2	  [客厅/n, 一角/nrjb, 是/vs
下一步 /nr 2	 的/ude1, 下一步/nrj, 。/w],
起刚刚 /nr 1	 n, 举/v, 起刚刚/nrj, 的/ude
关谷先 /nr 1	 , [”/w, 关谷先/nr, 说/v, 了
那群 /nr 1	  ，/w], [那群/nr, 入学考试/n
方的 /nr 1	 r, 对/p, 方的/nr, 脸/n, 问
坂崎洋太郎先生 /nr 1	  ，/w], [坂崎洋太郎先生/nrj, 。/w],
方是谁 /nr 1	 v, 对/p, 方是谁/nr, 。/w], 
儿子拓也 /nr 1	 的/ude1, 儿子拓也/nrj, 也/d, 
都是利 /nr 1	 t, 不/d, 都是利/nr, 用/p, 什
才来 /nr 1	  ，/w], [才来/nr, 就要/d, 
才头 /nr 1	  我们/rr, 才头/nr, 一/m, 次
和君子 /nr 1	  [你/rr, 和君子/nrj, 说/v, 
章太才 /nr 1	 这时/rzt, 章太才/nr, 问起/v, 
明刚刚 /nr 1	 j, 说/v, 明刚刚/nrj, 的/ude
枝一 /nr 1	 , [一/m, 枝一/nrj, 脸/n, 
谢谢才 /nr 1	 , 声/qv, 谢谢才/nr, 对/p, 。
照刚刚 /nr 1	  ，/w], [照刚刚/nrj, 说/v, 
连刚刚 /nr 1	 , [就/d, 连刚刚/nrj, ，/w],
