雪穗 /nr 667	  西本/ns, 雪穗/nrjb, 。/w]
笹垣 /nr 603	  。/w], [笹垣/nrjb, 没有/v
桐原 /nr 601	 [被害人/n, 桐原/nrjb, 洋介/n
友彦 /nr 599	 村/nrjb, 友彦/nrjb, 扫/v,
今枝 /nr 416	  ，/w], [今枝/nrjb, 直/d,
一成 /nr 376	 /w], [筱冢一成/nrj, 来到/v,
江利子 /nr 265	 岛/nrjb, 江利子/nrjb, 多年/m
筱冢 /nr 222	  ，/w], [筱冢/nrjb, 同学/n
松浦 /nr 143	 r, 姓/v, 松浦/nrjb, ，/w]
奈美江 /nr 141	 口/nrjb, 奈美江/nrjb, 走近/v
秋吉 /nr 133	 w, “/w, 秋吉/nrjb, ，/w]
雄一 /nr 132	 /w], [秋吉雄一/nrj, 右手/n,
母亲 /nr 130	  [他/rr, 母亲/nrjb, 花/n,
千都 /nr 127	 [三泽/nz, 千都/nrjb, 留/v,
唐泽雪穗 /nr 124	 , 找到/v, 唐泽雪穗/nrj, 的/ude
美佳 /nr 123	 冢/nrjb, 美佳/nrjb, 转/v,
康晴 /nr 119	 , 堂兄/n, 康晴/nrjb, 强烈/a
古贺 /nr 90	 刑警/nnt, 古贺/nrjb, 进来/v
弥生子 /nr 87	 , 妻子/n, 弥生子/nrjb, 确认/v
高宫 /nr 86	 的/ude1, 高宫/nrjb, 赖子/n
绘里 /nr 69	 原/nrjb, 绘里/nrjb, 问/v,
亮司 /nr 64	 , [“/w, 亮司/nrjb, ”/w,
弘惠 /nr 64	 , [”/w, 弘惠/nr, 皱着眉头/v
父亲 /nr 62	 的/ude1, 父亲/nrjb, 昨天/t
寺崎 /nr 59	  了/ule, 寺崎/nrjb, 忠/vg
文代 /nr 57	 名叫/v, 西本文代/nrj, 的/ude
今枝先生 /nr 49	 , [“/w, 今枝先生/nrj, 的/ude
洋介 /nr 47	 原/nrjb, 洋介/nrjb, 是/vs
桐原亮司 /nr 41	  。/w], [桐原亮司/nrj, （/w, 
夕子 /nr 41	 e, “/w, 夕子/nrjb, ”/w,
田川 /nr 41	 , [但/c, 田川/nr, 不想/v, 
筱冢先生 /nr 39	 是/vshi, 筱冢先生/nrj, 的/ude
夏美 /nr 38	 , 叫/vi, 夏美/nrjb, 来/vf
唐泽 /nr 37	  ，/w], [唐泽/nrjb, 尽可能/
牟田 /nr 37	  。/w], [牟田/nrjb, 俊/nz
那是 /nr 34	  。/w], [那是/nr, 一/m, 名
高宫诚 /nr 34	  ，/w], [高宫诚/nrj, 站/vi,
村下 /nr 33	 , [姓/v, 村下/nrjb, 。/w]
元冈 /nr 33	  ，/w], [元冈/nrjb, 家/q,
西本文代 /nr 31	 , 名叫/v, 西本文代/nrj, 的/ude
花冈 /nr 30	 , 看到/v, 花冈/nrjb, 夕子/n
成田 /nr 30	 q, 姓/v, 成田/nrjb, 的/ud
礼子 /nr 29	 , 叫/vi, 礼子/nrjb, （/w,
桐原先生 /nr 28	 , 听说/v, 桐原先生/nrj, 是/vsh
金城 /nr 28	 q, 姓/v, 金城/nrjb, 。/w]
美浓部 /nr 28	 究生/nnt, 美浓部/nrjb, 叫/vi
中冢 /nr 27	 组长/nnt, 中冢/nrjb, ，/w]
都子 /nr 25	  藤村/ns, 都子/nrjb, 吗/y,
高宫先生 /nr 25	  ，/w], [高宫先生/nrj, 好像/v,
仓桥 /nr 24	  。/w], [仓桥/nrjb, 香/a,
唐泽礼子 /nr 24	  ，/w], [唐泽礼子/nrj, 随即/d,
布施 /nr 23	 a, 铁/n, 布施/nrjb, 站/vi
唐泽小姐 /nr 23	  [难道/d, 唐泽小姐/nrj, 家里/s,
园村 /nr 20	  。/w], [园村/nrjb, 友彦/n
朱美 /nr 20	 野/nrjb, 朱美/nrjb, 一同/d
滨本 /nr 19	 r, 姓/v, 滨本/nrjb, 。/w]
吉田 /nr 19	 i, “/w, 吉田/nr, 公寓/n, 
大江 /nr 19	 e, “/w, 大江/nrjb, 三/m,
秋吉雄一 /nr 19	  。/w], [秋吉雄一/nrj, 右手/n,
笹垣先生 /nr 18	 , [“/w, 笹垣先生/nrj, ……/w]
妙子 /nr 18	 , [”/w, 妙子/nrjb, 一/m,
西本太太 /nr 18	 , 请教/v, 西本太太/nrj, ，/w],
川岛 /nr 17	 是/vshi, 川岛/nrjb, 江利子/
藤井 /nr 16	 是/vshi, 藤井/nrjb, ，/w]
唐泽雪穗小姐 /nr 16	 ……/w], [唐泽雪穗小姐/nrj, ？/w],
拉门 /nr 15	  和式/nz, 拉门/nrf, ，/w],
马里奥 /nr 15	 , 超级/b, 马里奥/nrf, ”/w, 
和子 /nr 14	 b, 田/n, 和子/nrjb, 来/vf
关西 /nr 14	 没什么/vl, 关西/nrjb, 口音/n
和唐 /nr 14	 j, 都/d, 和唐/nrjb, 泽/ag
永明大学 /nr 14	 , 来自/v, 永明大学/nrj, 的/ude
生野 /nr 12	 阪市/nsf, 生野/nrjb, 区/n,
中道 /nr 11	  ，/w], [中道/nrjb, 正/d,
一角 /nr 11	 , 教室/n, 一角/nrjb, 看/v,
山野 /nr 10	 的/ude1, 山野/nrjb, 歉然/n
那件 /nr 10	  ，/w], [那件/nr, 意外/a, 
无限 /nr 10	 购/vn], [无限/nrjb, 企划/v
西口 /nr 10	  。/w], [西口/nrjb, 奈美江/
那孩子 /nr 9	  ，/w], [那孩子/nr, 有点/d, 
名古屋 /nr 9	 r, 在/p, 名古屋/nrjb, 的/ud
熊泽 /nr 9	 , [姓/v, 熊泽/nrjb, 。/w]
道广 /nr 9	 , 菊池/n, 道广/nrjb, ，/w]
垣内 /nr 9	 , [姓/v, 垣内/nrjb, 。/w]
菅原 /nr 9	 的/ude1, 菅原/nrjb, 绘里/n
栗原 /nr 9	  。/w], [栗原/nrjb, 典子/n
都是 /nr 9	 的/ude1, 都是/nr, 没有/v, 
明知 /nr 9	 , 可能/v, 明知/nrjb, 该户/r
欧巴桑 /nr 9	 的/ude1, 欧巴桑/nrf, 对/p, 
滨本夏美 /nr 8	 着/uzhe, 滨本夏美/nrj, 。/w],
和雪穗 /nr 7	 子/nrjb, 和雪穗/nrj, ，/w],
小亮 /nr 7	 , [“/w, 小亮/nr, ，/w], 
文彦 /nr 7	  [菊池/n, 文彦/nrjb, 正坐/v
门后 /nr 7	  。/w], [门后/nr, 站/vi, 
高三 /nr 7	  一个/mq, 高三/nrjb, 男生/n
才对 /nr 6	 , 资料/n, 才对/nr, 。/w], 
那好 /nr 6	 , [“/w, 那好/nr, ，/w], 
才会 /nr 6	  ，/w], [才会/nr, 被/pbei
卡德 /nr 6	 v, 理/n, 卡德/nrf, 的/ude
真壁 /nr 6	  那个/rz, 真壁/nr, 。/w], 
昭和 /nr 6	 银行/nis, 昭和/nrjb, 分行/n
