松宫 /nr 375	 [那是/nr, 松宫/nrjb, 为/p,
八重子 /nr 280	 , 妻子/n, 八重子/nrj, 的/ude
母亲 /nr 129	 的/ude1, 母亲/nrjb, 、/w,
前原 /nr 88	  ，/w], [前原/nrjb, 家/q,
隆正 /nr 75	  ，/w], [隆正/nr, 突然/ad,
父亲 /nr 47	  [上面/f, 父亲/nrjb, 的/ud
小林 /nr 42	 主任/nnt, 小林/nrjb, ，/w]
春日井 /nr 32	 e, “/w, 春日井/nrjb, 优菜/n
老太太 /nr 27	 的/ude1, 老太太/nrjb, 得了/v
一郎 /nr 25	 v, 章/q, 一郎/nrjb, 正在/d
优菜 /nr 18	 叫/v, 春日井优菜/nrj, 。/w],
金森 /nr 14	 v, “/w, 金森/nrf, ”/w, 
登纪子 /nr 13	 金森/nrf, 登纪子/nrjb, ，/w]
原昭夫 /nr 12	 w, 前/f, 原昭夫/nr, 如此/rzv
那是 /nr 12	  。/w], [那是/nr, 松宫/nrj
奈津子 /nr 10	 , 叫/vi, 奈津子/nrjb, 。/w]
阿恭 /nr 9	  ，/w], [阿恭/nr, ，/w], 
练马署 /nr 9	 是/vshi, 练马署/nr, 的/ude1
拉门 /nr 9	 的/ude1, 拉门/nrf, 刚/d, 
那张 /nr 8	  自己/rr, 那张/nr, 筋疲力尽/a
那孩子 /nr 7	 , [“/w, 那孩子/nr, 真的/d, 
山本 /nr 7	 的/ude1, 山本/nrjb, 站/vi
田岛 /nr 6	 z, 姓/v, 田岛/nr, 。/w], 
石垣 /nr 6	 q, 长/a, 石垣/nr, 就/d, 把
田中 /nr 5	 , 那么/c, 田中/nrjb, 家/q,
那你 /nr 5	 , [“/w, 那你/nr, 快点/d, 
贺来 /nr 5	 1, 加/v, 贺来/nr, 说/v, ，
我妻子 /nr 5	 w, 据/p, 我妻子/nrj, 说/v, 
巴士路 /nr 5	 , 住在/v, 巴士路/nr, 的/ude1
隆正那 /nr 4	  了/ule, 隆正那/nr, 瘦骨嶙峋/v
恭一郎 /nr 4	 [加贺/ns, 恭一郎/nrjb, 是/vs
小优菜 /nr 4	 , 多次/m, 小优菜/nrj, 的/ude
那副 /nr 4	 , 就是/v, 那副/nr, 样子/n, 
令昭夫 /nr 4	 , 都会/n, 令昭夫/nr, 觉得/v, 
原地 /nr 4	 i, 在/p, 原地/nrjb, ，/w]
田岛女士 /nr 4	  ，/w], [田岛女士/nrj, ，/w],
那也 /nr 4	  ，/w], [那也/nr, 没关系/vl
夫知道 /nr 4	  [昭/ag, 夫知道/nrj, 自己/rr
八重子一 /nr 3	  ，/w], [八重子一/nrj, 声/qv,
上前 /nr 3	 宫/nrjb, 上前/nrjb, 帮/v,
都只会 /nr 3	 [他们/rr, 都只会/nr, 说/v, “
那只 /nr 3	 i, 说/v, 那只/nr, 运动鞋/n,
阿直 /nr 3	 , [“/w, 阿直/nr, ，/w], 
向昭夫 /nr 3	 n, 望/v, 向昭夫/nr, ，/w], 
街道 /nr 3	  了/ule, 街道/nrjb, 内/f,
叮铃 /nr 3	 q, “/w, 叮铃/nr, ”/w, 的
田岛春美 /nr 3	 , 叫/vi, 田岛春美/nrj, 。/w],
和春美 /nr 3	 , [”/w, 和春美/nrj, 二/m, 
拉得 /nr 3	 被/pbei, 拉得/nrf, 严严实实/
高崎 /nr 3	 v, 在/p, 高崎/nr, 。/w], 
望向 /nr 2	 , 表情/n, 望向/nr, 松宫/nrj
才对 /nr 2	 , 发现/v, 才对/nr, ，/w], 
前原先生 /nr 2	  。/w], [前原先生/nrj, ，/w],
少年时 /nr 2	 , 和/cc, 少年时/nr, 的/ude1
马署 /nr 2	 /vshi, 练马署/nr, 的/ude1
连看 /nr 2	  [甚至/d, 连看/nr, 都/d, 不
