树理 /nr 404	 q, “/w, 树理/nrjb, ”/w,
葛城 /nr 245	 , [“/w, 葛城/nrjb, ，/w]
千春 /nr 67	 是/vshi, 千春/nrjb, 吧/y,
葛城先生 /nr 58	 , [“/w, 葛城先生/nrj, 提到/v,
横须贺 /nr 30	 f, 从/p, 横须贺/nrjb, 路下/s
由纪 /nr 26	 , 叫做/v, 由纪/nrjb, 的/ud
汤口 /nr 25	  ，/w], [汤口/nrjb, 也/d,
杉本 /nr 24	 r, 跟/p, 杉本/nrjb, 说/v,
佐久间 /nr 19	 , [“/w, 佐久间/nrjb, 吗/y,
箱崎 /nr 18	 , [从/p, 箱崎/nrjb, 上/f,
向岛 /nr 15	 , [往/p, 向岛/nrjb, 交流道/
父亲 /nr 12	 , 我/rr, 父亲/nrjb, 联络/v
真木 /nr 10	  。/w], [真木/nrjb, 是/vs
山本 /nr 10	 , 叫做/v, 山本/nrjb, 的/ud
欧吉桑 /nr 9	 的/ude1, 欧吉桑/nr, ，/w], 
母亲 /nr 9	 的/ude1, 母亲/nrjb, 应该/v
那你 /nr 9	  ！/w], [那你/nr, 去找/v, 
赛博 /nr 8	 i, “/w, 赛博/nrf, 企划/v,
和树 /nr 8	  [我/rr, 和树/nrjb, 理/n,
中村 /nr 7	 店长/nnt, 中村/nrjb, 。/w]
钟后 /nr 7	 , 十分/d, 钟后/nr, 到/v, 。
江角真纪子 /nr 6	 w, “/w, 江角真纪子/nrj, 。/w],
王八机 /nr 6	 , 没有/v, 王八机/nr, 。/w], 
淳子 /nr 5	 i, 给/p, 淳子/nrjb, ，/w]
佐久间先生 /nr 5	 [把/pba, 佐久间先生/nrj, 换下来/c
胜俊 /nr 5	 城/nrjb, 胜俊/nrj, ，/w],
目黑 /nr 4	 r, 往/p, 目黑/nrjb, 方向/n
才说 /nr 4	 [”/w], [才说/nr, 到/v, 这
佐久间骏 /nr 4	 的/ude1, 佐久间骏/nrj, 介/vg,
那也 /nr 4	  ，/w], [那也/nr, 不/d, 太
车也 /nr 4	 的/ude1, 车也/nr, 紧追/nz,
执行 /nr 4	 , 下达/v, 执行/nrjb, 的/ud
才对 /nr 3	  处理/vn, 才对/nr, ，/w], 
高三 /nr 3	 , [“/w, 高三/nrjb, 时/qt
向谁 /nr 3	  [该/rz, 向谁/nr, 说/v, ，
宝拉 /nr 3	 v, 町/n, 宝拉/nrf, 饭店/ni
葛城树理小姐 /nr 3	 d, 让/v, 葛城树理小姐/nrj, 那样/rz
三浦 /nr 3	 是/vshi, 三浦/nrjb, 半岛/n
上野 /nr 3	  ？/w], [上野/nrjb, 淳子/n
那是 /nr 3	  章/q], [那是/nr, 一/m, 栋
田所 /nr 3	 的/ude1, 田所/nrjb, ，/w]
才是 /nr 3	 q, 事/n, 才是/nr, 。/w], 
崎太太 /nr 3	  。/w], [崎太太/nrj, 做/v, 
沙比娜 /nr 3	 w, ‘/w, 沙比娜/nrf, ’/w, 
美丽 /nr 3	  她/rr, 那美丽/nr, 的/ude1
边说 /nr 2	 , 我/rr, 边说/nr, 。/w], 
轩尼诗 /nr 2	 着/uzhe, 轩尼诗/nrf, ON/nx
丹尼斯 /nr 2	 的/ude1, 丹尼斯/nrf, 餐厅/ni
那也太 /nr 2	  ，/w], [那也太/nr, 离谱/a, 
那一天 /nr 2	 , [“/w, 那一天/nr, 晚上/t, 
车先生 /nr 2	  [疯/vi, 车先生/nr, 们/k, ，
钱藏 /nr 2	  把/pba, 钱藏/nr, 在/p, 由
松本 /nr 2	 , 叫/vi, 松本/nr, 的/ude1
那会 /nr 2	  ，/w], [那会/nr, 是/vshi
新太太 /nr 2	  [担心/v, 新太太/nrj, 的/ude
森林 /nr 2	 q, 小/a, 森林/nrjb, 。/w]
清洲 /nr 2	 w, 在/p, 清洲/nr, 桥面/n, 
都只 /nr 2	 的/ude1, 都只/nr, 算是/v, 
刚染 /nr 2	 , 她/rr, 刚染/nr, 的/ude1
优格 /nr 2	 , 买了/v, 优格/nr, 冰淇淋/nf
才行 /nr 2	 , 女儿/n, 才行/nr, 。/w], 
真想 /nr 2	 [”/w], [真想/nr, 揍/v, 她
余光 /nr 2	 , 眼角/n, 余光/nr, 好像/v, 
昭和 /nr 2	 的/ude1, 昭和/nrjb, 日本/n
那美丽 /nr 2	 , 她/rr, 那美丽/nr, 的/ude1
明讲 /nr 2	 a, 就/d, 明讲/nr, ，/w], 
车才 /nr 2	 的/ude1, 车才/nr, 对/p, 啊
全看 /nr 2	  ，/w], [全看/nr, 说/v, 出
马上可 /nr 2	 1, 话/n, 马上可/nrj, 以/p, 
都还 /nr 2	 , 刚刚/d, 都还/nr, 忘记/v, 
大锅子 /nr 2	 的/ude1, 大锅子/nrj, 截至/v,
下一步 /nr 2	 p, 走/v, 下一步/nrj, 所/usu
常去 /nr 2	 v, “/w, 常去/nr, 的/ude1
才会 /nr 2	 , 职业/n, 才会/nr, 有/vyou
起刚刚 /nr 1	 c, 比/p, 起刚刚/nrj, 的/ude
江角真纪子可 /nr 1	 是/vshi, 江角真纪子可/nrj, 以/p, 
高三生 /nr 1	 , [“/w, 高三生/nr, 有/vyou
长女书树理小姐 /nr 1	 的/ude1, 长女书树理小姐/nrj, ，/w],
松本哲也先生 /nr 1	  。/w], [松本哲也先生/nrj, 启/v, 
方的 /nr 1	 e, 对/p, 方的/nr, 电话号码/n
须知知道 /nr 1	 d, 必/d, 须知知道/nrj, 契约/n,
钱又 /nr 1	 1, 大/a, 钱又/nr, 惹事/vi,
连车 /nr 1	  [或者/c, 连车/nr, 一起/s, 
方来 /nr 1	 d, 对/p, 方来/nr, 说/v, 也
何跟 /nr 1	 v, 如/v, 何跟/nr, 夫人/n, 
连头 /nr 1	  [但是/c, 连头/nr, 动/v, 一
完后 /nr 1	 , [按/p, 完后/nr, 将/d, 手
都照你 /nr 1	 , 全部/m, 都照你/nr, 所说/c, 
才来 /nr 1	 , 下午/t, 才来/nr, 的/ude1
任谁 /nr 1	 i, 个/q, 任谁/nr, 都/d, 可
卡斯特 /nr 1	  抽着/nz, 卡斯特/nrf, 淡/a, 
克夫 /nr 1	 , [大/a, 克夫/nrf, 能屈能伸/
半夜了 /nr 1	  。/w], [半夜了/nrj, ，/w],
名古屋 /nr 1	 是/vshi, 名古屋/nrjb, 。/w]
那可 /nr 1	  ，/w], [那可/nr, 就/d, 有
杉本智也 /nr 1	 p, 跟/p, 杉本智也/nrj, 说话/vi
才快 /nr 1	  ？/w], [才快/nr, 满/a, 二
浅草 /nr 1	  开往/vf, 浅草/nrjb, 。/w]
富家 /nr 1	 的/ude1, 富家/nrjb, 千金/n
车向 /nr 1	 的/ude1, 车向/nr, 左转/nz,
