翔子 /nr 286	 [”/w], [翔子/nrjb, 低声/d
紫藤 /nr 188	 的/ude1, 紫藤/nrjb, 巡查/v
小夜子 /nr 164	 [”/w], [小夜子/nrjb, 在/p,
日浦 /nr 82	 z, 、/w, 日浦/nrjb, ，/w]
根岸 /nr 72	 的/ude1, 根岸/nrjb, 警官/n
山科 /nr 71	 的/ude1, 山科/nrjb, 警/ng
安生 /nr 47	  ，/w], [安生/nrjb, 。/w]
佐仓翔子 /nr 33	 A/nx], [佐仓翔子/nrj], [SYO
佐仓 /nr 30	 , [“/w, 佐仓/nrjb, ，/w]
安生拓 /nr 25	  。/w], [安生拓/nrj, 马/n],
美绘子 /nr 25	 木/nrjb, 美绘子/nrjb, ……/w
村山 /nr 24	 , 自称/v, 村山/nrjb, 的/ud
友实 /nr 20	 , [“/w, 友实/nrjb, 子/ng
高圆寺 /nr 19	 d, 在/p, 高圆寺/nr, 租/v, 了
中斋 /nr 17	 是/vshi, 中斋/nrjb, 接/v,
金井 /nr 16	 的/ude1, 金井/nr, 刑事/b, 
惠美子 /nr 15	 , 妻子/n, 惠美子/nrjb, 的/ud
铃木 /nr 12	 的/ude1, 铃木/nrjb, 警视/n
小笠原 /nr 12	  阵子/qt, 小笠原/nrjb, 自杀/v
中斋教授 /nr 12	 的/ude1, 中斋教授/nrj, 说/v, 
街道 /nr 11	 1, 旧/a, 街道/nrjb, 以及/c
小笠原彰 /nr 11	 , 叫/vi, 小笠原彰/nrj, ，/w],
母亲 /nr 10	 , 她/rr, 母亲/nrjb, 的/ud
绀野 /nr 9	 的/ude1, 绀野/nrjb, 警视/n
岩石 /nr 9	 , 黑色/n, 岩石/nrjb, 般/uy
紫藤等 /nr 9	 , 回到/v, 紫藤等/nrj, 人/n, 
紫藤心 /nr 9	  ？/w], [紫藤心/nrj, 想/v, 
加藤 /nr 8	 长/nrjb, 加藤/nrjb, 、/w,
紫藤一 /nr 8	 [”/w], [紫藤一/nrj, 边/k, 
中原 /nr 7	 p, 找/v, 中原/nrjb, 友实/n
课长 /nr 7	 m, 课/n, 课长/nrjb, 加藤/n
向后 /nr 6	 , 身体/n, 向后/nrjb, 弯曲/a
才对 /nr 5	 , 目的/n, 才对/nr, 。/w], 
小山 /nr 5	 的/ude1, 小山/nrjb, 町/n,
本部 /nr 5	 , 搜查/v, 本部/nrjb, 。/w]
名刑警 /nr 5	 , [两/m, 名刑警/nrj, 带着/vn
马也 /nr 4	 , [拓/v, 马也/nr, 同意/v, 
友实子 /nr 4	  ，/w], [友实子/nrj, 好像/v,
加斯佩 /nr 4	 , 知道/v, 加斯佩/nrf, 半岛/n,
多久 /nr 4	  [不用/d, 多久/nrjb, 就/d,
那是 /nr 4	  。/w], [那是/nr, 上个月/t,
横滨 /nr 4	 d, 从/p, 横滨/nrjb, 切到/v
高山刑警 /nr 4	 的/ude1, 高山刑警/nrj, 则/d, 
原地 /nr 4	 y, 在/p, 原地/nrjb, 旋转/v
田代 /nr 4	  。/w], [田代/nr, 刑事/nr,
那你 /nr 4	 , [“/w, 那你/nr, 就/d, 干
那一页 /nr 3	 的/ude1, 那一页/nr, 放入/v, 
披萨 /nr 3	  冷冻/vn, 披萨/nrf, 。/w],
圣劳伦斯 /nr 3	 有/vyou, 圣劳伦斯/nrf, 河/n, 
厚木 /nr 3	 , 去/vf, 厚木/nrjb, ，/w]
王子署 /nr 3	 p, 八/m, 王子署/nr, 搜查/v, 
武藏野 /nr 3	 A/nx], [武藏野/nr, 市/n, 吉
父亲 /nr 3	 , 他/rr, 父亲/nrjb, 当/p,
都内 /nr 3	  了/ule, 都内/nr, ，/w], 
静冈 /nr 3	  [进入/v, 静冈/nrjb, 县/n,
深刑警 /nr 3	 , 资/ng, 深刑警/nrj, 说道/v,
芦田先生 /nr 3	  。/w], [芦田先生/nrj, 相当/d,
紫藤一行 /nr 3	  。/w], [紫藤一行/nrj, 人/n, 
马说 /nr 3	 w, 拓/v, 马说/nr, ：/w, “
双眉 /nr 2	 着/uzhe, 双眉/nr, ，/w], 
上田先生 /nr 2	 , 来看/u, 上田先生/nrj, 的/ude
民宿 /nr 2	  ，/w], [民宿/nrjb, 或/c,
安全链 /nr 2	 , 隔着/v, 安全链/nr, 探出/v, 
美子 /nr 2	  妻子/n, 惠美子/nrjb, 的/ud
关仙堂 /nr 2	 有/vyou, 关仙堂/nr, 的/ude1
才会 /nr 2	 , 明天/t, 才会/nr, 出席/v, 
那件 /nr 2	 j, 马/n, 那件/nr, 案子/n, 
刚过 /nr 2	 [”/w], [刚过/nr, 晚上/t, 
来杀 /nr 2	 , [“/w, 来杀/nr, 我们/rr,
金鸡蛋 /nr 2	 的/ude1, 金鸡蛋/nr, ，/w], 
那对 /nr 2	 , 与/cc, 那对/nr, 男女/n, 
森林 /nr 2	 是/vshi, 森林/nrjb, 覆盖/v
上前 /nr 2	 , 男子/n, 上前/nrjb, ，/w]
高山 /nr 2	 , 示意/v, 高山/nrjb, 打电话/
