雨宫 /nr 329	 的/ude1, 雨宫/nrjb, 京介/n
由梨 /nr 263	 v, 　/w, 由梨/nrjb, 江/n,
本多 /nr 233	 , 和/cc, 本多/nrjb, 负责/v
久我 /nr 207	 , </nx, 久我/nrjb, 和/cc
田所 /nr 174	 , 指着/v, 田所/nrjb, 说/v,
中西贵子 /nr 163	 , [”/w, 中西贵子/nrj, 很/d, 
田所义雄 /nr 160	 , [”/w, 田所义雄/nrj, 做出/v,
本多雄一 /nr 156	 的/ude1, 本多雄一/nrj, 。/w],
温子 /nr 153	 原/nrjb, 温子/nrjb, 小姐/n
京介 /nr 114	 宫/nrjb, 京介/nr, 。/w], 
贵子 /nr 105	 [”/w, 中西贵子/nrj, 很/d, 
东乡先生 /nr 66	  ，/w], [东乡先生/nrj, 还/d, 
雅美 /nr 54	 , 麻/n, 仓雅美/nrj, 。/w],
仓雅美 /nr 53	 i, 麻/n, 仓雅美/nrj, 。/w],
山庄 /nr 52	 n, ”/w, 山庄/nrjb, 的/ud
笠原 /nr 51	 是/vshi, 笠原/nrjb, 温子/n
东乡 /nr 24	 , [“/w, 东乡/nrjb, 老师/n
元村小姐 /nr 19	 , 除了/p, 元村小姐/nrj, 之外/f,
母亲 /nr 16	  [她/rr, 母亲/nrjb, 很/d,
麻仓雅 /nr 13	 , 及/cc, 麻仓雅/nr, 美的/nz,
笠原小姐 /nr 12	  ，/w], [笠原小姐/nrj, 不见得/d
幸说 /nr 12	 , 和/cc, 幸说/nr, 。/w], 
和田 /nr 12	 , 必须/d, 和田/nrjb, 所及/c
中西小姐 /nr 11	  ，/w], [中西小姐/nrj, 在/p, 
麻仓 /nr 11	 是/vshi, 麻仓/nr, 小姐/n, 
连络 /nr 11	 , 毫无/v, 连络/nr, ，/w], 
望向 /nr 10	 的/ude1, 望向/nr, 一旁/f, 
那也 /nr 8	  ，/w], [那也/nr, 是/vshi
高山 /nr 7	 i, 骤/d, 高山/nrjb, ，/w]
伦敦 /nr 7	 , 去/vf, 伦敦/nrf, 或/c, 
多久 /nr 6	 , 不了/v, 多久/nrjb, ，/w]
那是 /nr 5	  。/w], [那是/nr, 一/m, 出
那封 /nr 5	  带着/vn, 那封/nr, 通知/n, 
义雄 /nr 5	 [”/w, 田所义雄/nrj, 做出/v,
小田伸一 /nr 5	 息室/n], [小田伸一/nrj, 边/k, 
罗蜜欧 /nr 4	 c, 《/w, 罗蜜欧/nr, 与/cc, 
幸也 /nr 4	 , 和/cc, 幸也/nr, 说/v, 。
边说 /nr 4	  ，/w], [边说/nr, 。/w], 
美丽 /nr 4	 的/ude1, 美丽/nrjb, 消失/v
幸问 /nr 4	 , 和/cc, 幸问/nr, 笠原/nrj
笠原温子 /nr 4	 , 和/cc, 笠原温子/nrj, 的/ude
和温子 /nr 3	  [她/rr, 和温子/nrj, 是/vsh
都是 /nr 3	  ，/w], [都是/nr, 二十五/m,
高原 /nr 3	 , 鞍/ng, 高原/nrjb, xxxx
回房 /nr 3	 , 他/rr, 回房/nr, 的/ude1
奥赛罗 /nr 3	 e, 《/w, 奥赛罗/nrf, 》/w, 
何去 /nr 3	 r, 为/p, 何去/nr, 她/rr, 
那幕 /nr 3	 的/ude1, 那幕/nr, 场景/n, 
