野田 /nr 77	 [”/w], [野田/nrjb, 瞪大/n
斋藤 /nr 77	 , [”/w, 斋藤/nrjb, 和/cc
隆司 /nr 66	  ，/w], [隆司/nr, 作出/v, 
福富 /nr 63	 , [“/w, 福富/nrjb, ，/w]
深泽 /nr 62	  。/w], [深泽/nrjb, 瞟/v,
健太 /nr 51	 v, 给/p, 健太/nrjb, 留下/v
寒川 /nr 48	 被/pbei, 寒川/nr, 老师/nnt
真智子 /nr 45	 [田村/ns, 真智子/nrj, “/w, 
由美 /nr 39	 1, 亚/b, 由美/nrjb, ，/w]
政子 /nr 35	 富/nrjb, 政子/nrjb, 的/ud
尚美 /nr 24	 , 转/v, 向尚美/nrj, 。/w],
课长 /nr 24	 , [”/w, 课长/nrjb, 从/p,
宏子 /nr 23	 w, “/w, 宏子/nrjb, 是不是/
广冈 /nr 22	 的/ude1, 广冈/nr, 。/w], 
父亲 /nr 20	 , [”/w, 父亲/nrjb, 有/vy
母亲 /nr 20	  。/w], [母亲/nrjb, 则/d,
丹德拉 /nr 17	 , 名叫/v, 丹德拉/nr, 的/ude1
望月 /nr 17	  了/ule, 望月/nrjb, ，/w]
根岸 /nr 15	  ，/w], [根岸/nrjb, 峰/ng
铁之诗 /nr 12	 , 击/vg, 铁之诗/nr, 》/w, 的
富家 /nr 12	 v, 福/n, 富家/nrjb, 附近/f
玉冈 /nr 12	 的/ude1, 玉冈/nr, 向/p, 我
弓子 /nr 12	 /w], [神崎弓子/nrj, 的/ude
米摩 /nr 11	 亲/nrjb, 米摩/nr, 莱尔/nrf
莱尔 /nr 11	  米摩/nr, 莱尔/nrf, 。/w],
麦罗 /nr 11	 , [露/v, 麦罗/nr, 转悠/vi,
昌枝 /nr 11	  久/a], [昌枝/nr, ”/w, 。
贝特罗 /nr 9	 , 来到/v, 贝特罗/nrf, 的/ude
本部 /nr 9	 警察/nnt, 本部/nrjb, ，/w]
抚养 /nr 9	 , 健康/a, 抚养/nrjb, 这/rz
金田 /nr 8	  。/w], [金田/nrjb, 、/w,
热海圭介 /nr 8	  ，/w], [热海圭介/nrj, 兴奋/a,
才会 /nr 6	 , 她/rr, 才会/nr, 这样/rzv
里美 /nr 6	 , 女儿/n, 里美/nrjb, 陪他/n
田所 /nr 6	 v, 立/v, 田所/nrjb, 说/v,
山下 /nr 5	 的/ude1, 山下/nrjb, 夫妻/n
东野 /nr 5	  [看来/v, 东野/nrjb, 的/ud
步向 /nr 5	  ，/w], [步向/nr, 同一个/b,
那孩子 /nr 5	  ！/w], [那孩子/nr, 每天/t, 
热海先生 /nr 5	  。/w], [热海先生/nrj, ，/w],
鞠野 /nr 5	  ，/w], [鞠野/nr, 老师/nnt
藤原奈奈子 /nr 5	  。/w], [藤原奈奈子/nrj, 是/vsh
川岛先生 /nr 5	 , 讨厌/v, 川岛先生/nrj, ，/w],
才对 /nr 4	 这样/rzv, 才对/nr, 。/w], 
五郎 /nr 4	 r, 心/n, 五郎/nrjb, 慢吞吞/
深泽伸一 /nr 4	 [2/m], [深泽伸一/nrj, 意识到/v
凯迪拉克 /nr 4	  [坐在/v, 凯迪拉克/nrf, 的/ude
奈奈 /nr 4	 的/ude1, 奈奈/nr, ？/w], 
良夫 /nr 4	 , 丈夫/n, 良夫/nr, ：/w, “
赤尾 /nr 4	 v, 给/p, 赤尾/nr, 先生/n, 
隆司很 /nr 3	 ——/w], [隆司很/nr, 清楚/a, 
边说 /nr 3	 , 笔记/n, 边说/nr, 。/w], 
那可 /nr 3	  ？/w], [那可/nr, 有点/d, 
那是 /nr 3	 [2/m], [那是/nr, 一/m, 间
神崎由美 /nr 3	 , 叫/vi, 神崎由美/nrj, ，/w],
边看 /nr 3	  这/rzv, 边看/nr, 。/w], 
小堺心 /nr 3	  。/w], [小堺心/nrj, 想/v, 
深泽一 /nr 3	 [”/w], [深泽一/nrj, 股/q, 
寒川心 /nr 3	  ，/w], [寒川心/nrj, 五郎/nr
那一夜 /nr 3	 , [“/w, 那一夜/nrj, ，/w],
下一步 /nr 3	  ，/w], [下一步/nrj, 应该/v,
夏井 /nr 3	 , [“/w, 夏井/nr, 老师/nnt
东名 /nr 3	 , 驶入/v, 东名/nr, 高速/b, 
深泽心 /nr 3	  ？/w], [深泽心/nrj, 想/v, 
美代子 /nr 3	 原/nrjb, 美代子/nrjb, 强调/v
多久 /nr 3	 v, 玩/v, 多久/nrjb, 呢/y,
马克 /nr 3	 q, 用/p, 马克/nrf, 笔写/nz
松原 /nr 3	 , 同事/n, 松原/nrjb, 美代子/
金田刑警 /nr 3	 的/ude1, 金田刑警/nrj, 和/cc,
定在 /nr 3	 , 必要/a, 定在/nr, 五/m, 点
满太郎 /nr 2	  宝船/nz, 满太郎/nrj, 答道/v,
森林 /nr 2	  [周围/f, 森林/nrjb, 环抱/v
岩石 /nr 2	 i, 到/v, 岩石/nrjb, ，/w]
木坂 /nr 2	 v, 乃/v, 木坂/nr, 那里/rzs
