中野 /ns 35	 /nnt], [中野/ns], [修/v]
元木 /ns 16	 助手/nnt, 元木/ns, 。/w], 
日本 /ns 8	 [出生于/v, 日本/ns, 大阪/nsf
中山 /ns 4	 , 妹夫/n, 中山/ns, 二郎/nrj
大营 /ns 4	 j, 在/p, 大营/ns, 通商/vn,
将门 /ns 3	 , 里子/n, 将门/ns, 反锁/nz,
从江 /ns 3	 田/nrjb, 从江/ns, 里子/n, 
酒都 /ns 2	 的/ude1, 酒都/ns, 洒/vi, 
东京 /ns 2	 , 是从/v, 东京/nsf, 来/vf,
轻井泽 /ns 2	 , 设在/v, 轻井泽/ns, 的/ude1
蒙上 /ns 1	 r, 又/d, 蒙上/ns, 了/ule,
高田 /ns 1	 , 和/cc, 高田/ns, 百合子/nr
向道 /ns 1	 n, 还/d, 向道/ns, 代/q, 借
静冈县 /ns 1	 的/ude1, 静冈县/ns, 警察局/ni
太黑 /ns 1	 , 长发/n, 太黑/ns, 了/ule,
天等 /ns 1	 o, 两/m, 天等/ns, 他/rr, 
台湾 /ns 1	 w, (/w, 台湾/ns, 东/f, 贩
朝外 /ns 1	 , 书房/n, 朝外/ns, 面/nf, 
台子上 /ns 1	 , 摆在/v, 台子上/ns, 的/ude1
绷起 /ns 1	  [高明/a, 绷起/ns, 面孔/n, 
大阪府 /ns 1	  ，/w], [大阪府/ns, 立/v, 大
上站 /ns 1	 , 椅子/n, 上站/ns, 了/ule,
澄江 /ns 1	 , 妻子/n, 澄江/ns, 也/d, 加
开远 /ns 1	 , 车子/n, 开远/ns, 了/ule,
几米远 /ns 1	 有/vyou, 几米远/ns, ，/w], 
后见 /ns 1	  出来/vf, 后见/ns, 了/ule,
天都 /ns 1	 , 当时/t, 天都/ns, 黑/a, 了
长绳 /ns 1	 的/ude1, 长绳/ns, 。/w], 
吉祥寺 /ns 1	 n, 到/v, 吉祥寺/ns, 去/vf, 
上都 /ns 1	  教科书/n, 上都/ns, 有/vyou
大阪 /ns 1	  日本/ns, 大阪/nsf, ，/w],
