东京 /ns 152	  ，/w], [东京/nsf, 人/n, 
藤村 /ns 137	  ，/w], [藤村/ns, 的/ude1
旭川 /ns 48	 , 位于/v, 旭川/ns, 的/ude1
札幌 /ns 45	  ，/w], [札幌/ns, 或/c, 函
高城 /ns 45	 b, 、/w, 高城/ns, 合影/vi,
北海道 /ns 43	  ，/w], [北海道/nsf, 人/n, 
函馆 /ns 36	 n, 到/v, 函馆/ns, 山/n, 旅
日本 /ns 20	  */w], [日本/ns, 传统/n, 
大道 /ns 19	 q, 姓/v, 大道/ns, 的/ude1
不晓得 /ns 14	 , 本来/d, 不晓得/ns, 这/rzv,
尾崎 /ns 12	 e, “/w, 尾崎/ns, ”/w, 。
英国 /ns 8	 是/vshi, 英国/ns, 侦探小说/n
涩谷 /ns 7	 , 去/vf, 涩谷/ns, 。/w], 
美国 /ns 6	  [去/vf, 美国/nsf, ，/w],
田村 /ns 4	 n, 、/w, 田村/ns, 广江/nrj
真如 /ns 4	 , 妈妈/n, 真如/ns, 他/rr, 
汉堡 /ns 4	 的/ude1, 汉堡/nsf, 连锁店/n
意大利 /ns 4	 是/vshi, 意大利/nsf, 小说/n,
西方 /ns 3	 [有点像/v, 西方/ns, 人/n, 。
七灶 /ns 3	 的/ude1, 七灶/ns, 树下/s, 
不存在 /ns 3	 r, 将/d, 不存在/ns, 于/p, 这
地球 /ns 3	  一个/mq, 地球/ns, 仪/ng, 
仙台 /ns 3	 z, 在/p, 仙台/ns, ，/w], 
上完 /ns 3	 a, ：/w, 上完/ns, 课/n, 走
小南 /ns 3	 , 同学/n, 小南/ns, 及/cc, 
天都 /ns 3	 v, 几/d, 天都/ns, 没来/v, 
札幌市 /ns 3	  了/ule, 札幌市/ns, 著名/a, 
名护 /ns 2	 v, 一/m, 名护/ns, 士/ng, 
夏天 /ns 2	  ，/w], [夏天/ns, 待/vi, 
富士山 /ns 2	 w, “/w, 富士山/ns, 山腰/n, 
大石 /ns 2	 的/ude1, 大石/ns, ，/w], 
张得 /ns 2	  [嘴巴/n, 张得/ns, 大大的/nz
三明 /ns 2	 e, 热/a, 三明/ns, 治/v, 与
上都 /ns 2	 , 照片/n, 上都/ns, 只有/c, 
大通 /ns 2	 , 和/cc, 大通/ns, 公园/n, 
清水 /ns 2	 , 请问/v, 清水/ns, 先生/n, 
将门 /ns 2	 , 门锁/n, 将门/ns, 微微/d, 
绷起 /ns 2	 , 微微/d, 绷起/ns, 了/ule,
三坪 /ns 1	 m, 间/f, 三坪/ns, 大/a, 的
湘南 /ns 1	 q, 在/p, 湘南/ns, 海滩/n, 
喝口水 /ns 1	 , 赶紧/d, 喝口水/ns, 缓和/v, 
上香 /ns 1	 , [但/c, 上香/ns, 的/ude1
蒙上 /ns 1	 何时/ryt, 蒙上/ns, 了/ule,
委内瑞拉 /ns 1	 , 来自/v, 委内瑞拉/nsf, 的/ude
天顺道 /ns 1	 f, 一/m, 天顺道/ns, 来/vf, 
某村 /ns 1	 的/ude1, 某村/ns, 落/v, 。
王子 /ns 1	 德华/nrf, 王子/ns, 岛/n, 及
青森 /ns 1	 , [在/p, 青森/ns, 搭上/v, 
加州 /ns 1	 , 去/vf, 加州/ns, 玩/v, 。
向北 /ns 1	 , 继续/v, 向北/ns, 延伸/v, 
澳洲 /ns 1	 s, 或/c, 澳洲/ns, 加入/v, 
江一 /ns 1	 1, 绢/n, 江一/ns, 听/v, 脸
长江 /ns 1	 ……/w], [长江/ns, 吧/y, 。
之门 /ns 1	 v, 虎/n, 之门/ns, 的/ude1
文京区 /ns 1	 东京/nsf, 文京区/ns, 一点/m, 
爱得 /ns 1	 , [“/w, 爱得/ns, 那么/c, 
石门 /ns 1	 的/ude1, 石门/ns, ，/w], 
高田 /ns 1	 , 位于/v, 高田/ns, 马场/nis
山坡上 /ns 1	 的/ude1, 山坡上/ns, ，/w], 
上川 /ns 1	 , 开拓/v, 上川/ns, 地区/n, 
那能 /ns 1	 , [“/w, 那能/ns, 不能/v, 
圆山 /ns 1	 , [“/w, 圆山/ns, 公园/n, 
五坪 /ns 1	 n, 约/d, 五坪/ns, 大/a, ，
东北 /ns 1	 , 整个/b, 东北/ns, 地方/n, 
希腊 /ns 1	 , 出/vf, 希腊/ns, 神话/n, 
大陆 /ns 1	 , 找出/v, 大陆/ns, 。/w], 
里加 /ns 1	 , 杯/ng, 里加/ns, 些/q, 冰
位山 /ns 1	 z, 一/m, 位山/ns, 步/qv, 
太旧 /ns 1	 , 本子/n, 太旧/ns, 了/ule,
萨尔斯堡 /ns 1	 的/ude1, 萨尔斯堡/ns, 的/ude1
南美 /ns 1	 , 源自/v, 南美/ns, 吧/y, ？
