坂上 /ns 36	 是/vshi, 坂上/ns, 丰/ag, 
田村 /ns 18	 r, 姓/v, 田村/ns, 。/w], 
东京 /ns 12	 c, 从/p, 东京/nsf, 到/v, 
日本 /ns 7	 , 遍及/v, 日本/ns, 各地/rzs
不晓得 /ns 6	  [但是/c, 不晓得/ns, 在/p, 第
澳洲 /ns 6	 i, 在/p, 澳洲/ns, 呢/y, ！
汉堡 /ns 5	 , [在/p, 汉堡/nsf, 店/n, 
太高兴 /ns 4	 d, 不/d, 太高兴/ns, ，/w], 
夏天 /ns 4	 v, 到/v, 夏天/ns, 结束/v, 
美国 /ns 4	 i, 在/p, 美国/nsf, 。/w],
和春村 /ns 4	 郎/nrjb, 和春村/ns, 志津子小姐/
喀拉 /ns 2	 , 发出/v, 喀拉/ns, 喀拉/ns,
上站 /ns 2	 , 沙发/n, 上站/ns, 起来/vf,
海防 /ns 2	 , 去/vf, 海防/ns, 部/q, 问
张得 /ns 2	 d, 又/d, 张得/ns, 老大/n, 
中山 /ns 2	 , 看到/v, 中山/ns, 先生/n, 
海岛 /ns 2	 的/ude1, 海岛/ns, 。/w], 
蒙山 /ns 1	 , 承/vg, 蒙山/ns, 森/ag, 
上都 /ns 1	 , 大致/d, 上都/ns, 知道/v, 
欧洲 /ns 1	  中世纪/t, 欧洲/ns, 服装/n, 
朝右边 /ns 1	  转过身/v, 朝右边/ns, 走去/v, 
清透 /ns 1	  ，/w], [清透/ns, 的/ude1
东京湾 /ns 1	 z, 在/p, 东京湾/nsf, 漂浮/v,
不存在 /ns 1	 , 女人/n, 不存在/ns, 的话/udh
精灵 /ns 1	 v, 小/a, 精灵/ns, 一样/uyy
后山 /ns 1	 , 然/rz, 后山/ns, 森/ag, 
英国 /ns 1	 v, 个/q, 英国/ns, 妇人/n, 
上香 /ns 1	 , [当/p, 上香/ns, 仪式/n, 
银座 /ns 1	 q, 在/p, 银座/ns, 开/v, 个
神奈川县 /ns 1	 , 居于/v, 神奈川县/ns, 川崎市/nz
东北 /ns 1	 r, 在/p, 东北/ns, 的/ude1
小田 /ns 1	 的/ude1, 小田/ns, 急/v, 线
千叶 /ns 1	 , 跑到/v, 千叶/ns, 那/rzv,
吉祥寺 /ns 1	 v, 在/p, 吉祥寺/ns, 的/ude1
神奈川 /ns 1	 q, ‘/w, 神奈川/ns, 冲/v, 波
纽约 /ns 1	 , 要到/v, 纽约/nsf, 的/ude
