叶村 /ns 17	 , [“/w, 叶村/ns, 惠/vg, 
上站 /ns 4	 , 椅子/n, 上站/ns, 起来/vf,
不存在 /ns 3	 a, 就/d, 不存在/ns, 。/w], 
东京 /ns 3	 , 来/vf, 东京/nsf, 的/ude
之门 /ns 2	 , 黑暗/a, 之门/ns, 时/qt, 
惠来 /ns 2	 t, 阿/b, 惠来/ns, 的/ude1
蒙上 /ns 2	 , 像是/v, 蒙上/ns, 了/ule,
美国 /ns 2	 , [①/m, 美国/nsf, 女/b, 
从医院 /ns 2	 n, 会/v, 从医院/ns, 直接/ad,
车站东路 /ns 2	 v, 在/p, 车站东路/ns, 好像/v, 
三明 /ns 2	  了/ule, 三明/ns, 治/v, 。
上都 /ns 2	 , 封面/n, 上都/ns, 写/v, 着
那能 /ns 2	 , [但/c, 那能/ns, 叫/vi, 
天都 /ns 1	 v, 两/m, 天都/ns, 没/d, 跟
日本 /ns 1	 , [全/a, 日本/ns, 都/d, 有
太高兴 /ns 1	 v, 不/d, 太高兴/ns, ，/w], 
夏天 /ns 1	 是/vshi, 夏天/ns, 了/ule,
平街 /ns 1	 , 失去/v, 平街/ns, ．/w, 倒
白拿 /ns 1	  干活/vi, 白拿/ns, 工资/n, 
瑞典 /ns 1	 , [在/p, 瑞典/nsf, 实施/v,
琦玉县 /ns 1	 , [在/p, 琦玉县/ns, 秩/ng, 
爱得 /ns 1	 是/vshi, 爱得/ns, 惊人/a, 
前京 /ns 1	 [开枪/vi, 前京/ns, 极/d, 笑
马尾 /ns 1	  了/ule, 马尾/ns, 。/w], 
如山 /ns 1	 n, 大/a, 如山/ns, ，/w], 
社会生活 /ns 1	 的/ude1, 社会生活/ns, 更/d, 安
房地产公司 /ns 1	  那个/rz, 房地产公司/ns, 的/ude1
界首 /ns 1	  [世/ng, 界首/ns, 倒/vi, 
