日本 /ns 16	  ，/w], [日本/ns, 人/n, 用
东京 /ns 14	 d, 回/v, 东京/nsf, 。/w],
札幌 /ns 6	  ？/w], [札幌/ns, 吗/y, ？
英国 /ns 5	 p, 从/p, 英国/ns, 订购/v, 
花盆里 /ns 4	 [1/m], [花盆里/ns, 种/q, 的
大道 /ns 3	 , 天宫/n, 大道/ns, 。/w], 
北海道 /ns 3	 , [“/w, 北海道/nsf, 啊/y, 
不存在 /ns 2	  [如果/c, 不存在/ns, 这么/rz,
巴黎 /ns 2	  了/ule, 巴黎/nsf, 和/cc,
壶里 /ns 2	 n, 往/p, 壶里/ns, 看/v, 。
大理 /ns 2	 n, 往/p, 大理/ns, 石/ng, 
威尼斯 /ns 2	 m, 只/d, 威尼斯/nsf, 香槟/nf
银座 /ns 2	 , [在/p, 银座/ns, 办/v, 展
真如 /ns 2	 , 事情/n, 真如/ns, 你/rr, 
和歌山 /ns 2	 , 就是/v, 和歌山/ns, 那/rzv,
科拿 /ns 1	 [鉴证/nz, 科拿/ns, 吸管/n, 
水后 /ns 1	  [浇过/v, 水后/ns, ，/w], 
上中 /ns 1	 , 她/rr, 上中/ns, 学起/nz,
南区 /ns 1	 [搬到/vf, 南区/ns, 去/vf, 
之列 /ns 1	 , 案件/n, 之列/ns, ．/w, 警
于都 /ns 1	 , 座落/v, 于都/ns, 内/f, 的
花都 /ns 1	 z, 盆/n, 花都/ns, 有些/rz,
到水 /ns 1	 , [说/v, 到水/ns, 的/ude1
蒙上 /ns 1	 , 没有/v, 蒙上/ns, 丝毫/a, 
美国 /ns 1	 , 派到/v, 美国/nsf, 去/vf,
铺展开来 /ns 1	  脑子里/n, 铺展开来/ns, 。/w], 
周口 /ns 1	  [因为/c, 周口/ns, 教/v, 室
上都 /ns 1	 , 动机/n, 上都/ns, 下/f, 足
新开 /ns 1	 , [就/d, 新开/ns, 了/ule,
兵库县 /ns 1	  [乃是/v, 兵库县/ns, 所/usuo
天连 /ns 1	 v, 三/m, 天连/ns, 休/v, 了
茶都 /ns 1	 /ulian, 茶都/ns, 忘了/v, 
之本 /ns 1	 v, 比/p, 之本/ns, 格/b, 派
西方 /ns 1	 , [在/p, 西方/ns, 的/ude1
后间 /ns 1	  ，/w], [后间/ns, 宫也/nr,
于家务 /ns 1	  专心/ad, 于家务/ns, ，/w], 
西区 /ns 1	 p, 市/n, 西区/ns, 。/w], 
长路 /ns 1	 , 漫漫/z, 长路/ns, ”/w, 吧
东高 /ns 1	 广岛市/nz, 东高/ns, 屋/n, 町
壶盖 /ns 1	 , 打开/v, 壶盖/ns, ，/w], 
意大利 /ns 1	 n, 以/p, 意大利/nsf, 面/nf,
里加 /ns 1	 , 水壶/n, 里加/ns, 自来水/n,
从站 /ns 1	  ？/w], [从站/ns, 乘车/vi,
光生 /ns 1	 柴/nrjb, 光生/ns, 只用/v, 
法国 /ns 1	 的/ude1, 法国/nsf, 学者/nn
