春美 /ns 54	 的/ude1, 春美/ns, 将/d, 罐
中野 /ns 48	 , 名叫/v, 中野/ns, 文/ng, 
前村 /ns 35	 , 叫/vi, 前村/ns, 。/w], 
日本 /ns 19	 v, “/w, 日本/ns, 推理/vn,
山中湖 /ns 11	 , 位于/v, 山中湖/ns, 的/ude1
美国 /ns 6	  联想起/l, 美国/nsf, 悬疑/n,
白石街道 /ns 6	 , 名为/v, 白石街道/ns, 的/ude1
东京 /ns 5	 , 离开/v, 东京/nsf, 。/w],
花屋 /ns 5	 , 道/qv, 花屋/ns, 通/v, 。
田村 /ns 3	  ，/w], [田村/ns, 真智子/nr
上站 /ns 3	 , 椅子/n, 上站/ns, 起来/vf,
夏威夷 /ns 3	 , 要到/v, 夏威夷/nsf, 去/vf,
富士山 /ns 3	 , 去/vf, 富士山/ns, 的/ude1
上冲 /ns 2	 , 直往/v, 上冲/ns, ，/w], 
五湖 /ns 2	 富士/ntc, 五湖/ns, 【/w, 注
向东 /ns 2	 i, 西/f, 向东/ns, ，/w], 
河口 /ns 2	 j, 从/p, 河口/ns, 湖/n, 步
上都 /ns 2	 , 脖子/n, 上都/ns, 绑/v, 着
巴塞罗那 /ns 1	 着/uzhe, 巴塞罗那/nsf, 冲刺/vi
上香 /ns 1	 , 他/rr, 上香/ns, 的/ude1
西湖 /ns 1	 s, 、/w, 西湖/ns, 、/w, 本
檀香山 /ns 1	 d, 在/p, 檀香山/nsf, 机场/ni
小树林 /ns 1	 的/ude1, 小树林/ns, 的/ude1
新堂 /ns 1	  ，/w], [新堂/ns, 冬/tg, 
太高兴 /ns 1	 c, 不/d, 太高兴/ns, 。/w], 
夏天 /ns 1	 , 他/rr, 夏天/ns, 认识/v, 
九和 /ns 1	 , 一一/d, 九和/ns, 一一/d, 
关中 /ns 1	 有/vyou, 关中/ns, 野/b, 的
朝外 /ns 1	 , 缝隙/n, 朝外/ns, 面/nf, 
瓦胡岛 /ns 1	 i, 以/p, 瓦胡岛/nsf, 为/p, 
英国 /ns 1	  。/w], [英国/ns, 作家/nnt
大阪府 /ns 1	  ，/w], [大阪府/ns, 立/v, 大
吐舌头 /ns 1	  了/ule, 吐舌头/ns, 。/w], 
山梨 /ns 1	 , 位于/v, 山梨/ns, 县境/n, 
真如 /ns 1	  ，/w], [真如/ns, 作者/nnt
不晓得 /ns 1	 , 我/rr, 不晓得/ns, ……/w],
马山 /ns 1	 w, 白/a, 马山/ns, 庄/ag, 
西村 /ns 1	 想起/l], [西村/ns, 京/b, 太
上自 /ns 1	 , 车身/n, 上自/ns, 带/v, 的
加拿大 /ns 1	 是/vshi, 加拿大/nsf, 风格/n,
有点悬 /ns 1	 , 似乎/d, 有点悬/ns, 。/w], 
大阪 /ns 1	  日本/ns, 大阪/nsf, 市/n, 
