新店 /ns 28	 的/ude1, 新店/ns, 长/a, 。
塔子 /ns 23	  。/w], [塔子/ns, 妈妈/n, 
日本 /ns 20	 是/vshi, 日本/ns, 人/n, 发
东京 /ns 14	 , 超过/v, 东京/nsf, 和/cc,
加拿大 /ns 12	 u, 个/q, 加拿大/nsf, 的/ude
横田 /ns 11	 的/ude1, 横田/ns, 听罢/v, 
纽约 /ns 9	 , 和/cc, 纽约/nsf, 的/ude
银座 /ns 9	 v, 在/p, 银座/ns, 见过/v, 
吉祥寺 /ns 7	  。/w], [吉祥寺/ns, 店/n, 的
京都 /ns 6	 ，/w], [东京都/nsf, 内有/nz
大道 /ns 6	 , 古董/n, 大道/ns, 沿街/d, 
天桥 /ns 6	 的/ude1, 天桥/ns, 跟/p, 前
大冈 /ns 5	 v, 在/p, 大冈/ns, 川上/nr,
神奈川县 /ns 5	  ，/w], [神奈川县/ns, 警局/n, 
不存在 /ns 4	 n, 上/f, 不存在/ns, 绝对/d, 
日西 /ns 4	 , 很多/m, 日西/ns, 合璧/vi,
美国 /ns 4	 , 去/vf, 美国/nsf, 。/w],
神奈川 /ns 4	  。/w], [神奈川/ns, 也好/y, 
欧洲 /ns 3	 i, 由/p, 欧洲/ns, 金融/n, 
上站 /ns 3	 , 椅子/n, 上站/ns, 起/vf, 
上都 /ns 3	 , 杂志/n, 上都/ns, 有/vyou
德国 /ns 3	 m, 户/q, 德国/nsf, 人/n, 
加贺 /ns 3	 , 叫/vi, 加贺/ns, ，/w], 
意大利 /ns 3	 x, 属/v, 意大利/nsf, ）/w, 
和政 /ns 2	 , 次/qv, 和政/ns, 行/ng, 
大阪 /ns 2	 , 和/cc, 大阪/nsf, 。/w],
等上 /ns 2	  。/w], [等上/ns, 一个/mq,
石川 /ns 2	 w, 小/a, 石川/ns, ？/w], 
小城 /ns 2	 , 郊区/s, 小城/ns, 市/n, 的
上地 /ns 2	 z, 乘/v, 上地/ns, 下/f, 铁
前门 /ns 2	 , 绕到/v, 前门/ns, ，/w], 
社会生活 /ns 2	 着/uzhe, 社会生活/ns, ，/w], 
向海 /ns 2	 n, 投/v, 向海/ns, 面/nf, 
神亭 /ns 1	  过户/vn, 神亭/ns, 吧/y, 。
小高 /ns 1	  了/ule, 小高/ns, 丘/ng, 
连平 /ns 1	  ，/w], [连平/ns, 日/b, 的
夏天 /ns 1	  [明天/t, 夏天/ns, 一起/s, 
蔬菜店 /ns 1	 的/ude1, 蔬菜店/ns, 里/f, 搬
瑞士 /ns 1	 是/vshi, 瑞士/nsf, 货/n, 
莫及 /ns 1	 , 悔恨/v, 莫及/ns, 的/ude1
白跑 /ns 1	  ，/w], [白跑/ns, 了/ule,
白拿 /ns 1	  [看来/v, 白拿/ns, 了/ule,
横山 /ns 1	 , 叫/vi, 横山/ns, 。/w], 
巴黎 /ns 1	 , 去/vf, 巴黎/nsf, 时候/n,
和县 /ns 1	 警署/nis, 和县/ns, 本部/nrj
东京都 /ns 1	  ，/w], [东京都/nsf, 内有/nz
秋田县 /ns 1	 , [在/p, 秋田县/ns, 的/ude1
定日 /ns 1	 n, 肯/v, 定日/ns, 日/b, 难
西南 /ns 1	  [透过/v, 西南/ns, 窗户/n, 
中藏 /ns 1	 , 罐子/n, 中藏/ns, 在/p, 天
中央大道 /ns 1	  银座/ns, 中央大道/ns, 的/ude1
新化 /ns 1	 , [重/a, 新化/ns, 了/ule,
内藏 /ns 1	  天花板/n, 内藏/ns, 东西/n, 
成都 /ns 1	  [行/ng, 成都/ns, 深深/d, 
好莱坞 /ns 1	 , 去/vf, 好莱坞/nsf, 了/ule
箱根 /ns 1	  [还是/c, 箱根/ns, 比较/d, 
下川 /ns 1	  了/ule, 下川/ns, 野/b, ，
上流社会 /ns 1	  这个/rz, 上流社会/ns, 的/ude1
英国 /ns 1	 e, 些/q, 英国/ns, 古董/n, 
后见 /ns 1	 d, 钟/n, 后见/ns, 。/w], 
不晓得 /ns 1	 v, 也/d, 不晓得/ns, ，/w], 
楼店 /ns 1	 f, 两/m, 楼店/ns, 口/n, 。
如斯 /ns 1	 原/nrjb, 如斯/ns, 低语/vn,
