千叶 /ns 58	 的/ude1, 千叶/ns, 叹/v, 了
日本 /ns 29	 , 参加/v, 日本/ns, 推理/vn,
夏威夷 /ns 28	  了/ule, 夏威夷/nsf, ……/w]
旭川 /ns 12	 r, 在/p, 旭川/ns, 车站/n, 
银河 /ns 11	 , 与/cc, 银河/ns, 年龄/n, 
元木 /ns 8	 t, 姓/v, 元木/ns, ，/w], 
中山 /ns 5	 局长/nnt, 中山/ns, 春子/n, 
铁三 /ns 5	 村/nrjb, 铁三/ns, ，/w], 
阪神 /ns 4	 的/ude1, 阪神/ns, 梅/ng, 
东京 /ns 4	 , 去/vf, 东京/nsf, ，/w],
夏天 /ns 3	 , 还有/v, 夏天/ns, 的/ude1
京都 /ns 3	 r, 在/p, 京都/nsf, 一同/d,
地球 /ns 3	 [探测/vn, 地球/ns, 相/d, 对
东京都 /ns 3	  [位于/v, 东京都/nsf, 世/ng,
大阪 /ns 3	 v, 从/p, 大阪/nsf, 的/ude
日本海 /ns 3	 a, 于/p, 日本海/ns, 海面/n, 
美国 /ns 3	  ，/w], [美国/nsf, 方面/n,
银座 /ns 3	 , 去/vf, 银座/ns, 的/ude1
欧洲 /ns 2	 a, 为/p, 欧洲/ns, 第一/mq,
河津 /ns 2	 的/ude1, 河津/ns, 川里/ns,
大理 /ns 2	  [围着/v, 大理/ns, 石/ng, 
福井县 /ns 2	 是/vshi, 福井县/ns, 的/ude1
上门来 /ns 2	 地/ude2, 上门来/ns, 。/w], 
美惠 /ns 2	 , [“/w, 美惠/ns, 子/ng, 
美得 /ns 1	  ，/w], [美得/ns, 令人窒息/n
中国 /ns 1	 的/ude1, 中国/ns, 人/n, 。
成城 /ns 1	 警视厅/nz, 成城/ns, 警局/n, 
太高兴 /ns 1	 b, 不/d, 太高兴/ns, 地/ude2
川里 /ns 1	  河津/ns, 川里/ns, 住着/v, 
后很 /ns 1	 , 看完/v, 后很/ns, 碍事/a, 
大陆 /ns 1	 v, 新/a, 大陆/ns, ，/w], 
四坪 /ns 1	 m, 间/f, 四坪/ns, 大/a, 的
涩谷 /ns 1	 q, 在/p, 涩谷/ns, 中央大道/n
如山 /ns 1	 , [积/v, 如山/ns, 的/ude1
天鹅湖 /ns 1	 i, 《/w, 天鹅湖/ns, 》/w, 里
黄门 /ns 1	 , 水户/n, 黄门/ns, （/w, *
中央大道 /ns 1	  涩谷/ns, 中央大道/ns, 游玩/v, 
德国 /ns 1	  ，/w], [德国/nsf, 德勒斯登/
天连 /ns 1	 w, 三/m, 天连/ns, 顿饭/nz,
大道 /ns 1	 , 可耻/a, 大道/ns, 。/w], 
北海道 /ns 1	 , 和/cc, 北海道/nsf, 各/rz,
将门 /ns 1	  ，/w], [将门/ns, 锁上/nz,
到流 /ns 1	  起身/vi, 到流/ns, 理/n, 台
小山村 /ns 1	 的/ude1, 小山村/ns, ，/w], 
原平 /ns 1	 , 葛/nz, 原平/ns, 均/d, 地
南阳 /ns 1	  地主队/n, 南阳/ns, 高中/nis
不晓得 /ns 1	 , [也/d, 不晓得/ns, 该/rz, 
天黑 /ns 1	  [等到/v, 天黑/ns, 之后/f, 
火奴鲁鲁 /ns 1	 r, 在/p, 火奴鲁鲁/ns, 机场/nis
法国 /ns 1	 , 吃到/v, 法国/nsf, 料理/v,
