现在 /t 128	  。/w], [现在/t, 是/vshi
今天 /t 67	 , [“/w, 今天/t, 怎么样/ry
刚才 /t 63	 w, “/w, 刚才/t, 有/vyou
最近 /t 39	  ，/w], [最近/t, 根本/a, 
朝 /t 32	  文件夹/n, 朝/tg, 我/rr,
当时 /t 27	  了/ule, 当时/t, 刚开始/nz
昨晚 /t 20	 , [就/d, 昨晚/t, ，/w], 
晚上 /t 18	  [当天/t, 晚上/t, 来/vf, 
昨天 /t 17	 , 分明/a, 昨天/t, 还有/v, 
下次 /t 14	  ，/w], [下次/t, 不/d, 带
明天 /t 13	 老板/nnt, 明天/t, 要/v, 去
今后 /t 13	  ，/w], [今后/t, 还/d, 需
从前 /t 13	 [那是/nr, 从前/t, 发生/v, 
今晚 /t 12	 , [说/v, 今晚/t, 写/v, 好
目前 /t 12	  。/w], [目前/t, 未见异常/n
上次 /t 9	 , [“/w, 上次/t, 您/rr, 
以往 /t 9	  [和/cc, 以往/t, 的/ude1
后来 /t 9	 , 那人/r, 后来/t, 怎样/ryv
星期六 /t 8	  ，/w], [星期六/t, 。/w], 
刹那间 /t 8	 [大家/rr, 刹那间/t, 都/d, 不
每天 /t 8	  女孩子/n, 每天/t, 早上/t, 
平时 /t 8	  [你/rr, 平时/t, 的/ude1
往常 /t 7	 r, 像/v, 往常/t, 一样/uyy
八月 /t 7	  [进入/v, 八月/t, 后/f, ，
深夜 /t 7	 是/vshi, 深夜/t, 十/m, 一
早上 /t 6	 , 每天/t, 早上/t, 都/d, 跑
此后 /t 6	 [3/m], [此后/t, ，/w], 
夜里 /t 5	 , 天/qt, 夜里/t, ，/w], 
七月 /t 5	  】/w], [七月/t, 一/m, 日
未来 /t 4	  。/w], [未来/t, 不/d, 可
往后 /t 4	  ，/w], [往后/t, 倒去/nz,
凌晨 /t 4	 , 读到/v, 凌晨/t, 两/m, 点
早晨 /t 4	  [直到/v, 早晨/t, ，/w], 
当初 /t 4	 , 我/rr, 当初/t, 想象/v, 
去年 /t 4	  。/w], [去年/t, 年底/f, 
星期一 /t 4	  ，/w], [星期一/t, 。/w], 
上周 /t 4	  。/w], [上周/t, 在/p, 医
现 /t 3	 , [离/v, 现/tg, 实近了/n
傍晚 /t 3	 r, 从/p, 傍晚/t, 开始/v, 
周末 /t 3	  。/w], [周末/t, 我/rr, 
中午 /t 3	 的/ude1, 中午/t, ，/w], 
下午 /t 3	 r, 在/p, 下午/t, 五/m, 点
白天 /t 3	  [和/cc, 白天/t, 给/p, 人
如今 /t 3	 , [可/v, 如今/t, 已经/d, 
眼下 /t 3	  ，/w], [眼下/t, 似乎/d, 
清 /t 3	 [仔细/ad, 清/tg, 清嗓子/n
星期四 /t 3	  ，/w], [星期四/t, (/w, 晴
年前 /t 3	  [二十/m, 年前/t, 我/rr, 
星期二 /t 3	  ，/w], [星期二/t, (/w, 阴
晚 /t 3	  [说/v, 今晚/t, 写/v, 好
六月 /t 3	  】/w], [六月/t, 十六/m, 
星期三 /t 2	  ，/w], [星期三/t, 。/w], 
刹那 /t 2	 的/ude1, 刹那/t, ，/w], 
会后 /t 2	 , 招待/v, 会后/t, 那阵子/t,
前不久 /t 2	 是/vshi, 前不久/t, 提交/v, 
五月 /t 2	 , 年/qt, 五月/t, ，/w], 
一瞬 /t 2	 , 只是/d, 一瞬/t, ，/w], 
上午 /t 2	 v, 提/v, 上午/t, 我/rr, 
往日 /t 2	 的/ude1, 往日/t, 的/ude1
酒后 /t 2	 是/vshi, 酒后/t, 胡话/n, 
生前 /t 2	 亲/nrjb, 生前/t, 常/d, 这
星期五 /t 2	  ，/w], [星期五/t, 。/w], 
童年 /t 2	 的/ude1, 童年/t, 兴趣爱好/n
周日 /t 2	 25/m], [周日/t, 上午/t, 
儿时 /t 2	  这/rzv, 儿时/t, 的/ude1
当天 /t 2	 , 一下/m, 当天/t, 被/pbei
周六 /t 2	  。/w], [周六/t, 我/rr, 
九月 /t 2	  】/w], [九月/t, 四/m, 日
那阵子 /t 2	 , 会后/t, 那阵子/t, 最/d, 吓
星期天 /t 2	 17/m], [星期天/t, 的/ude1
三月 /t 2	  】/w], [三月/t, 十/m, 日
此前 /t 2	  [因为/c, 此前/t, 吃/v, 的
晚期 /t 1	 , 癌症/n, 晚期/t, 患者/n, 
幼儿期 /t 1	 n, 在/p, 幼儿期/t, 表现/v, 
周一 /t 1	 是/vshi, 周一/t, ，/w], 
近期 /t 1	  ，/w], [近期/t, 不要/d, 
四月 /t 1	  】/w], [四月/t, 十一/m, 
一早 /t 1	 , 天/qt, 一早/t, ，/w], 
冬天 /t 1	  ，/w], [冬天/t, 能/v, 用
昏 /t 1	 n, 就/d, 昏/tg, 了/ule
现阶段 /t 1	 , [“/w, 现阶段/t, 我们/rr,
时下 /t 1	 是/vshi, 时下/t, 热门/a, 
本世纪 /t 1	 , 大概/d, 本世纪/t, 内/f, 是
一刹那 /t 1	 的/ude1, 一刹那/t, ，/w], 
半夜 /t 1	 v, 到/v, 半夜/t, 发现自己/l
日后 /t 1	 , 我/rr, 日后/t, 一定/b, 
周四 /t 1	  这/rzv, 周四/t, 怎么样/ry
明日 /t 1	 d, 听/v, 明日/t, ，/w], 
每周 /t 1	 w, “/w, 每周/t, 或/c, 隔
星期日 /t 1	  ，/w], [星期日/t, 。/w], 
每年 /t 1	  [他/rr, 每年/t, 逃/v, 的
夜 /t 1	 /vshi, 深夜/t, 十/m, 一
当晚 /t 1	  事发/vi, 当晚/t, 看到/v, 
