现在 /t 225	  。/w], [现在/t, 里面/f, 
今天 /t 114	  [他/rr, 今天/t, 本/rz, 
当时 /t 81	  ，/w], [当时/t, 什锦/n, 
刚才 /t 70	  ，/w], [刚才/t, 来/vf, 
年前 /t 56	 r, 六/m, 年前/t, 离婚/vi,
后来 /t 55	  。/w], [后来/t, ，/w], 
最近 /t 48	 , 借看/v, 最近/t, 的/ude1
晚上 /t 41	 f, 到/v, 晚上/t, 十/m, 点
昨天 /t 39	 r, 说/v, 昨天/t, 两三/m, 
去年 /t 37	 巨人队/nz, 去年/t, 虽/c, 以
明天 /t 35	  ，/w], [明天/t, 全部/m, 
早上 /t 33	 , 今天/t, 早上/t, 还/d, 没
下午 /t 32	 是/vshi, 下午/t, 两/m, 点
朝 /t 32	  ，/w], [朝/tg, 后面/f,
今年 /t 31	 , [“/w, 今年/t, 五月/t, 
上次 /t 30	 n, 比/p, 上次/t, 差/a, ，
今晚 /t 25	  ，/w], [今晚/t, 显然/ad,
目前 /t 23	 , [但/c, 目前/t, 只用/v, 
星期六 /t 22	 是/vshi, 星期六/t, ，/w], 
每天 /t 22	  。/w], [每天/t, 到/v, 文
星期五 /t 20	  [证实/v, 星期五/t, 下午/t, 
下次 /t 19	 , 想到/v, 下次/t, 不知/v, 
当天 /t 19	  遇害/vi, 当天/t, 的/ude1
此后 /t 17	 , [但/c, 此后/t, 去/vf, 
白天 /t 17	 , 昨天/t, 白天/t, 出门/vi,
昨晚 /t 16	  ，/w], [昨晚/t, 你/rr, 
星期一 /t 15	 m, 在/p, 星期一/t, 便/d, 得
晚 /t 13	 ，/w], [昨晚/t, 你/rr, 
往后 /t 12	 , 孩子/n, 往后/t, 还有/v, 
九月 /t 12	  。/w], [九月/t, 以来/f, 
傍晚 /t 11	  星期五/t, 傍晚/t, 果然/d, 
上星期 /t 11	  ，/w], [上星期/t, 五/m, 营
当初 /t 10	  。/w], [当初/t, 他/rr, 
五月 /t 9	 , 今年/t, 五月/t, 结束/v, 
四月 /t 9	 是/vshi, 四月/t, 二十二/m,
一刹那 /t 9	  那/rzv, 一刹那/t, ，/w], 
将来 /t 9	 , 提起/v, 将来/t, 这个/rz,
圣诞 /t 8	 着/uzhe, 圣诞/t, 饰品/n, 
先前 /t 8	 原/nrjb, 先前/t, 所说/c, 
八月 /t 8	 [8/m], [八月/t, 中旬/t, 
春天 /t 8	 , 今年/t, 春天/t, ，/w], 
不久前 /t 8	  。/w], [不久前/t, ，/w], 
中旬 /t 8	  [八月/t, 中旬/t, 的/ude1
星期日 /t 7	  ，/w], [星期日/t, 早上/t, 
圣诞节 /t 7	 , [在/p, 圣诞节/t, 前夕/f, 
往常 /t 7	 m, 如/v, 往常/t, ”/w, 亦
如今 /t 7	 , 餐桌/n, 如今/t, 一/m, 片
七月 /t 7	 是/vshi, 七月/t, 的/ude1
十二月 /t 7	  ，/w], [十二月/t, 份/q, 穿
中午 /t 6	 , 上到/v, 中午/t, 。/w], 
每星期 /t 6	 [4/m], [每星期/t, 二/m, 、
下星期 /t 6	  ，/w], [下星期/t, 见/v, 。
上个月 /t 6	  ，/w], [上个月/t, 才买/nr,
星期四 /t 6	 s, 在/p, 星期四/t, 早上/t, 
一早 /t 6	  ，/w], [一早/t, 就/d, 要
生前 /t 5	 介/nrjb, 生前/t, 最后/f, 
翌日 /t 5	 的/ude1, 翌日/t, 下午/t, 
半夜 /t 5	 , 小偷/n, 半夜/t, 从/p, 二
秋天 /t 5	 三/nrjb, 秋天/t, 时/qt, 
从前 /t 5	  。/w], [从前/t, 面/nf, 
当晚 /t 5	  。/w], [当晚/t, 吃过饭/l,
夏 /t 5	 /vshi, 盛夏/t, ，/w], 
明晚 /t 5	 , [“/w, 明晚/t, 要/v, 跟
来时 /t 5	 , 上次/t, 来时/t, 一样/uyy
现 /t 4	  。/w], [现/tg, 正/d, 
次日 /t 4	 r, 说/v, 次日/t, 要/v, 去
未来 /t 4	  ，/w], [未来/t, 真令人/n,
深夜 /t 4	 , 看着/v, 深夜/t, 电影/n, 
以往 /t 4	  。/w], [以往/t, 遇到/v, 
婚后 /t 4	 d, 对/p, 婚后/t, 是否/v, 
明年 /t 4	  ，/w], [明年/t, 就/d, 得
十月 /t 4	  [已经/d, 十月/t, 了/ule,
饭后 /t 4	 过/uguo, 饭后/t, 才/d, 会
平时 /t 4	  [若是/c, 平时/t, ，/w], 
夜里 /t 3	 p, 白/a, 夜里/t, 走路/vi,
一月 /t 3	  年/qt, 十一月/t, 二/m, 日
冬天 /t 3	 是/vshi, 冬天/t, ，/w], 
现阶段 /t 3	  ，/w], [现阶段/t, 还/d, 未
一大早 /t 3	 得/ude3, 一大早/t, 去/vf, 
星期二 /t 3	  。/w], [星期二/t, 晚上/t, 
夜 /t 3	  小偷/n, 半夜/t, 从/p, 二
三月 /t 3	  。/w], [三月/t, 时/qt, 
星期三 /t 2	 , 就是/v, 星期三/t, 晚上/t, 
大年夜 /t 2	  [主张/v, 大年夜/t, 开店/vi,
二月 /t 2	 ，/w], [十二月/t, 份/q, 穿
上月 /t 2	 p, 墙/n, 上月/t, 历/vg, 
今 /t 2	 r, 在/p, 今/tg, 里/f, 
除夕 /t 2	 /ulian, 除夕/t, 都/d, 开
周五 /t 2	 t, 、/w, 周五/t, 或是/c, 
去年底 /t 2	 r, 自/p, 去年底/t, 起/vf, 
平日 /t 2	  ，/w], [平日/t, 使用/v, 
翌年 /t 2	  [因为/c, 翌年/t, 他/rr, 
课后 /t 2	 的/ude1, 课后/t, ，/w], 
今日 /t 2	 w, “/w, 今日/t, 晴/vi, 
上午 /t 2	 r, 只/d, 上午/t, 有/vyou
下回 /t 2	 d, 按/p, 下回/t, 车/n, 键
年内 /t 2	 , 半/mq, 年内/t, 采取/v, 
清 /t 2	 v, 不/d, 清/tg, 的/ude
暑假 /t 2	 [5/m], [暑假/t, 快/a, 到
新年 /t 2	 , 庆祝/v, 新年/t, 了/ule,
