芙美子 /nr 90	 , [”/w, 芙美子/nrjb, 让出/v
小村 /nr 82	 , 叫/vi, 小村/nrjb, ，/w]
佐智男 /nr 52	 , 丈夫/n, 佐智男/nrjb, 就职/v
阿部 /nr 49	 , 先生/n, 阿部/nr, 佐智男/nr
公一 /nr 27	 /w], [真锅公一/nrj, 在/p, 
真锅 /nr 26	 是/vshi, 真锅/nrjb, 夫人/n
真锅公一 /nr 22	  。/w], [真锅公一/nrj, 在/p, 
武藤 /nr 15	 刑警/nnt, 武藤/nr, 在/p, 小
佐藤 /nr 14	  。/w], [佐藤/nrjb, 用手掌/
真锅先生 /nr 14	 , [“/w, 真锅先生/nrj, 没有/v,
笠井 /nr 13	 务员/nnt, 笠井/nrjb, 隆夫/n
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
伊豆 /nr 8	 w, 到/v, 伊豆/nrjb, 去/vf
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
松本 /nr 4	 是/vshi, 松本/nr, ，/w], 
和秋子 /nr 3	 , 我/rr, 和秋子/nrj, 就/d, 
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
美子 /nr 2	  [”/w, 芙美子/nrjb, 让出/v
兴信 /nr 2	 d, 请/v, 兴信/nr, 所/usuo
小村一 /nr 2	 [”/w], [小村一/nrj, 边/k, 
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
松本君 /nr 2	 , [“/w, 松本君/nr, 看见/v, 
佐藤小姐 /nr 1	 的/ude1, 佐藤小姐/nrj, 拿起/v,
来旅馆 /nr 1	 , [就/d, 来旅馆/nrj, 登记/vn
张是 /nr 1	 u, 一/m, 张是/nr, 秋子/nz,
日本美女 /nr 1	 的/ude1, 日本美女/nrj, 啊/y, 
本部 /nr 1	 , 搜查/v, 本部/nrjb, ，/w]
高尔球 /nr 1	 f, 打/v, 高尔球/nr, ——/w, 
前上了 /nr 1	 , 车站/n, 前上了/nrj, 出租车/n
小村伸 /nr 1	 [”/w], [小村伸/nrj, 手/n, 
都是 /nr 1	  ，/w], [都是/nr, 公一/nrj
车子亮 /nr 1	  ，/w], [车子亮/nrj, 得/ude
山本 /nr 1	 , 叫/vi, 山本/nrjb, 真子/n
东野圭吾 /nr 1	 
才同 /nr 1	 部长/nnt, 才同/nr, 这个/rz,
名刑警 /nr 1	 , [两/m, 名刑警/nrj, 又/d, 
那可 /nr 1	  ，/w], [那可/nr, 就/d, 麻
刚洗刷 /nr 1	 是/vshi, 刚洗刷/nr, 过/uguo
阿部家 /nr 1	 , [“/w, 阿部家/nr, 也/d, 一
井野里子 /nr 1	  ，/w], [井野里子/nrj, 到/v, 
小村刚 /nr 1	 [”/w], [小村刚/nrj, 开口/vi
都站 /nr 1	  ，/w], [都站/nr, 在/p, 走
阿部美美子 /nr 1	 , 记得/v, 阿部美美子/nrj, 来/vf,
都有 /nr 1	 n, 里/f, 都有/nr, 混有/b, 
武藤一 /nr 1	 , [”/w, 武藤一/nrj, 旁/f, 
时都跟 /nr 1	 d, 当/p, 时都跟/nr, 大家/rr,
于赤根 /nr 1	  就职/vi, 于赤根/nr, 工业/n, 
不动了 /nr 1	 d, 也/d, 不动了/nrj, 。/w],
那里好 /nr 1	  ，/w], [那里好/nrj, 像/v, 
于是我 /nr 1	  。/w], [于是我/nr, 就/d, 去
那是 /nr 1	  。/w], [那是/nr, 一/m, 张
才会卷 /nr 1	 [我们/rr, 才会卷/nr, 到/v, 这
车从 /nr 1	 n, ”/w, 车从/nr, 车库/n, 
好朋友了 /nr 1	 , 不是/c, 好朋友了/nrj, 。/w],
真锅秋子 /nr 1	 , 叫/vi, 真锅秋子/nrj, 的/ude
时竟然 /nr 1	  这些/rz, 时竟然/nr, 一点/m, 
隆夫 /nr 1	 井/nrjb, 隆夫/nrjb, 接到/v
真子 /nr 1	 本/nrjb, 真子/nrjb, ，/w]
钟后 /nr 1	 , 十分/d, 钟后/nr, 就/d, 到
铃木 /nr 1	 是/vshi, 铃木/nrjb, 。/w]
来对 /nr 1	 v, 脸/n, 来对/nr, 侦探/nnd
那也 /nr 1	 , [“/w, 那也/nr, 是/vshi
于是便 /nr 1	  。/w], [于是便/nr, 设计/vn,
曾同 /nr 1	 t, 也/d, 曾同/nr, 芙美子/nr
那天真 /nr 1	  。/w], [那天真/nr, 锅/n, 还
阿部佐 /nr 1	 w, 跟/p, 阿部佐/nr, 智/ng, 
来也很 /nr 1	 , 地方/n, 来也很/nr, 有趣/a, 
伊豆旅馆 /nr 1	 , -/nx, 伊豆旅馆/nrj, 的/ude
