汤川 /nr 362	 , 采纳/v, 汤川/nrjb, 副教授/
友永 /nr 68	 q, 姓/v, 友永/nr, 的/ude1
间宫 /nr 48	  [上司/n, 间宫/nrjb, 也/d,
幸正 /nr 48	 , [”/w, 幸正/nr, 嗓音/n, 
奈美 /nr 29	  。/w], [奈美/nrjb, 惠/vg
佑介 /nr 27	 , 叫做/v, 佑介/nrjb, 对/p,
江岛千夏 /nr 27	 , 名叫/v, 江岛千夏/nrj, ，/w],
父亲 /nr 26	 的/ude1, 父亲/nrjb, 和/cc
绀野 /nr 23	 是/vshi, 绀野/nrjb, 宗/vg
原口先生 /nr 17	  ，/w], [原口先生/nrj, 到/v, 
友永先生 /nr 13	  ，/w], [友永先生/nrj, 和/cc,
母亲 /nr 13	 的/ude1, 母亲/nrjb, 说/v,
三井 /nr 12	 , ——/w, 三井/nrjb, 礼治/n
那只 /nr 11	 着/uzhe, 那只/nr, 盒子/n, 
内海 /nr 11	 , [“/w, 内海/nrjb, ，/w]
安田 /nr 11	 q, 姓/v, 安田/nr, 的/ude1
原口 /nr 9	 , 不见/v, 原口/nr, 先生/n, 
那你 /nr 8	  ，/w], [那你/nr, 有/vyou
藤川 /nr 8	 [”/w], [藤川/nr, 继续/v, 
惠小姐 /nr 7	 美/nrjb, 惠小姐/nrj, 视作/v,
内海薰 /nr 6	  。/w], [内海薰/nrj, 想起/v,
物理学 /nr 6	 的/ude1, 物理学/nrj, 家/q, 
良子 /nr 6	 , 名叫/v, 良子/nrjb, 的/ud
友永府 /nr 5	 , 离开/v, 友永府/nr, ，/w], 
宗介 /nr 5	 , [”/w, 宗介/nr, 原本/d, 
望向 /nr 4	 着/uzhe, 望向/nr, 奈/vg, 
友永幸 /nr 4	 是/vshi, 友永幸/nr, 正/d, 先
江岛小姐 /nr 4	 , 与/cc, 江岛小姐/nrj, 有/vyo
那本 /nr 4	 的/ude1, 那本/nr, 资料/n, 
那件 /nr 3	 , [“/w, 那件/nr, 案子/n, 
那事 /nr 3	  了/ule, 那事/nr, ，/w], 
才会 /nr 3	  ，/w], [才会/nr, 越发/d, 
那又 /nr 3	 , [“/w, 那又/nr, 怎么样/ry
李普曼 /nr 3	 v, ‘/w, 李普曼/nrf, 全息图/g
马克杯 /nr 3	 着/uzhe, 马克杯/nr, 里/f, 的
汤川学 /nr 3	 的/ude1, 汤川学/nrj, 副教授/n
才对 /nr 2	  了/ule, 才对/nr, 。/w], 
都是 /nr 2	  ，/w], [都是/nr, 一/m, 脸
水会 /nr 2	  ，/w], [水会/nr, 在/p, 一
都快 /nr 2	  ，/w], [都快/nr, 十二/m, 
回望了 /nr 2	 , 薰/nz, 回望了/nrj, 答话/vi
那是 /nr 2	  ，/w], [那是/nr, 一个/mq,
汤川先生 /nr 2	  。/w], [汤川先生/nrj, ，/w],
应道 /nr 2	 , 当场/d, 应道/nr, 。/w], 
土地 /nr 2	 的/ude1, 土地/nrjb, ，/w]
那对 /nr 2	  ，/w], [那对/nr, 出去/vf,
上野 /nr 2	 r, 在/p, 上野/nrjb, 的/ud
多久 /nr 2	 , 不了/v, 多久/nrjb, ，/w]
回在 /nr 2	 r, 坐/v, 回在/nr, 轮椅/n, 
明知 /nr 2	 , 尽管/c, 明知/nrjb, 违反规定
水池 /nr 2	 e, 在/p, 水池/nrjb, 里/f,
那副 /nr 2	 的/ude1, 那副/nr, 表情/n, 
那口锅 /nr 2	 的/ude1, 那口锅/nr, ，/w], 
那张卡 /nr 2	 , 她/rr, 那张卡/nr, 的/ude1
朝主 /nr 2	 , 惠/vg, 朝主/nr, 屋/n, 走
那起 /nr 2	  了/ule, 那起/nr, 跳楼/v, 
草薙刑警 /nr 2	  ，/w], [草薙刑警/nrj, ，/w],
都内 /nr 2	 n, 在/p, 都内/nr, 聚餐/vn,
我妻子 /nr 2	  。/w], [我妻子/nrj, 离开/v,
名刑警 /nr 2	 , [几/d, 名刑警/nrj, 正在/d,
绀野先生 /nr 2	  ，/w], [绀野先生/nrj, 到/v, 
条心 /nr 2	  这/rzv, 条心/nrj, 吧/y, 
抚养 /nr 2	 尽全力/vl, 抚养/nrjb, 孩子/n
柏原 /nr 2	 q, 姓/v, 柏原/nrjb, 的/ud
友永点 /nr 2	  ，/w], [友永点/nr, 了/ule,
双眉 /nr 1	  ，/w], [双眉/nr, 紧锁/nz,
那就再 /nr 1	 w, “/w, 那就再/nr, 毫无疑问/d
幸正边 /nr 1	 , [”/w, 幸正边/nr, 轻轻/d, 
回厨房 /nr 1	 2, 走/v, 回厨房/nrj, ，/w],
连头 /nr 1	 a, 到/v, 连头/nr, 都/d, 懒
真亏 /nr 1	 , [也/d, 真亏/nr, 她/rr, 
关你 /nr 1	 有/vyou, 关你/nr, 这种/r, 
那就更 /nr 1	  ，/w], [那就更/nr, 要/v, 留
那孩子 /nr 1	  。/w], [那孩子/nr, 才/d, 是
钱邦宏 /nr 1	 , 这笔/r, 钱邦宏/nr, 得以/v, 
连一次 /nr 1	  [我/rr, 连一次/nr, 都/d, 没
友永前 /nr 1	 d, 个/q, 友永前/nr, 助理/nnt
那可 /nr 1	  ，/w], [那可/nr, 真是/d, 
过久 /nr 1	 , 告诉/v, 过久/nr, 仁子/nz,
刀来 /nr 1	  什么/ry, 刀来/nr, 捅/v, 死
赖谁 /nr 1	 r, 都/d, 赖谁/nr, 啊/y, —
儿子让 /nr 1	  了/ule, 儿子让/nrj, 自己/rr
门罗 /nr 1	 v, ‘/w, 门罗/nrf, 效应/n,
上成 /nr 1	 z, 没/d, 上成/nr, 大学/nis
挺厚 /nr 1	 , 只见/v, 挺厚/nr, 的/ude1
藤川伸一 /nr 1	  。/w], [藤川伸一/nrj, 坐在/v,
全同 /nr 1	 , 光波/n, 全同/nr, 的/ude1
江岛千夏女士 /nr 1	  [因为/c, 江岛千夏女士/nrj, 死/v, 
年约 /nr 1	 [一个/mq, 年约/nr, 二十五六/m
凡尼 /nr 1	 , 蒂/ng, 凡尼/nrf, 的/ude
才说 /nr 1	 , 我/rr, 才说/nr, 这/rzv,
上等了 /nr 1	 , 走廊/n, 上等了/nrj, 片刻/m,
一花心 /nr 1	 , 稍微/d, 一花心/nrj, ，/w],
宗君 /nr 1	 , [“/w, 宗君/nr, ，/w], 
谢谢你 /nr 1	  。/w], [谢谢你/nr, 。/w], 
藤村笑了 /nr 1	 , [”/w, 藤村笑了/nrj, 。/w],
友永便 /nr 1	  ，/w], [友永便/nr, 由/p, 一
永家 /nr 1	 , 到/v, 友永家/nr, 去一趟/v,
左右晃了晃 /nr 1	  ，/w], [左右晃了晃/nrj, 那/rzv
来诉 /nr 1	 1, 人/n, 来诉/nr, 过/uguo
