汤川 /nr 435	  了/ule, 汤川/nrjb, 这个/r
藤川 /nr 68	  ，/w], [藤川/nr, 好像/v, 
前岛 /nr 53	 , 叫/vi, 前岛/nrjb, 的/ud
松田 /nr 47	 , 叫/vi, 松田/nr, 的/ude1
田上 /nr 46	 [”/w], [田上/nr, 的/ude1
梅里 /nr 26	 , 名叫/v, 梅里/nrf, 津/b, 
粟田 /nr 25	 , [”/w, 粟田/nr, 看/v, 了
金森 /nr 25	 , [”/w, 金森/nrf, 边/k, 
长冢多惠子 /nr 23	 是/vshi, 长冢多惠子/nrj, 。/w],
横森教授 /nr 19	 , 想必/d, 横森教授/nrj, 也/d, 
间宫 /nr 17	 , 上司/n, 间宫/nrjb, 警官/n
父亲 /nr 16	  他们/rr, 父亲/nrjb, 的/ud
妙子 /nr 15	 本/nrjb, 妙子/nrjb, ，/w]
木岛 /nr 15	 w, “/w, 木岛/nrjb, 老师/n
昌代 /nr 13	 , 妻子/n, 昌代/nr, 和/cc, 
幸惠 /nr 13	 邻居/n, 竹田幸惠/nrj, 。/w],
藤本 /nr 12	 , 与/cc, 藤本/nrf, 孝/ng,
栗田 /nr 11	 , 就是/v, 栗田/nr, 在/p, 名
那是 /nr 11	  。/w], [那是/nr, 一/m, 张
街道 /nr 11	 的/ude1, 街道/nrjb, 里/f,
母亲 /nr 11	 , 女孩/n, 母亲/nrjb, 的/ud
吉冈 /nr 11	 , 叫/vi, 吉冈/nrf, 的/ude
纪之 /nr 10	 /m], [高崎纪之/nrj, 大约/d,
高崎邦夫 /nr 10	 , 名叫/v, 高崎邦夫/nrj, ，/w],
加藤 /nr 9	 , 不出/v, 加藤/nrjb, 所料/n
买马 /nr 9	 , 他/rr, 买马/nrf, 这样/rz
高崎 /nr 9	 , 死者/n, 高崎/nr, 经常/d, 
竹田幸惠 /nr 8	 , 邻居/n, 竹田幸惠/nrj, 。/w],
那孩子 /nr 8	 , [“/w, 那孩子/nr, ，/w], 
尼西娜 /nr 8	 , 叫/vi, 尼西娜/nrf, 工程/n,
时田 /nr 8	  。/w], [时田/nr, 加工/vn,
藤川雄一 /nr 8	 的/ude1, 藤川雄一/nrj, 是/vsh
上村宏 /nr 7	  。/w], [上村宏/nrj, 左手/n,
那张 /nr 7	 , [在/p, 那张/nr, 方格/n, 
桥本 /nr 7	 , 叫/vi, 桥本/nrjb, 妙子/n
那你 /nr 7	 , [“/w, 那你/nr, 在/p, 这
柿本良子 /nr 7	 , 名叫/v, 柿本良子/nrj, ，/w],
上村先生 /nr 7	 r, 说/v, 上村先生/nrj, ，/w],
山下良 /nr 7	 , 叫/vi, 山下良/nr, 介/vg, 
林田 /nr 6	 教师/nnt, 林田/nrjb, 。/w]
津子 /nr 6	 [尤其/d, 是津子/nrj, ，/w],
信彦 /nr 6	 名叫/v, 栗田信彦/nrj, 的/ude
河合亚佐 /nr 6	 招待/nnd, 河合亚佐/nrf, 美的/nz
藤川先生 /nr 6	 是/vshi, 藤川先生/nrj, 吧/y, 
和藤 /nr 6	 , 彦/ng, 和藤/nrjb, 本/rz
梅里尚彦 /nr 5	  。/w], [梅里尚彦/nrj, 目击/v,
木岛教授 /nr 5	 , 与/cc, 木岛教授/nrj, 道/qv,
多惠 /nr 5	 , 冢/ng, 多惠/nrjb, 子/ng
本部 /nr 5	 , 搜查/v, 本部/nrjb, 的/ud
刚过 /nr 5	  ，/w], [刚过/nr, 一点/m, 
文彦 /nr 5	  松山/ns, 文彦/nrjb, 的/ud
伽利略 /nr 5	 侦探/nnd, 伽利略/nrf, 》/w, 
山下 /nr 4	  ，/w], [山下/nrjb, 又/d,
都是 /nr 4	 1, 人/n, 都是/nr, 把/pba,
那件 /nr 4	 的/ude1, 那件/nr, 红色/n, 
物理学 /nr 4	 e, 看/v, 物理学/nrj, 家/q, 
良介 /nr 4	 是/vshi, 良介/nr, ……/w],
尚彦 /nr 4	  ，/w], [尚彦/nr, 就/d, 立
百合 /nr 4	 g, 下/f, 百合/nrjb, 。/w]
竹田 /nr 4	 , 邻居/n, 竹田/nr, 女士/n, 
藤本孝 /nr 4	 [1/m], [藤本孝/nrj, 夫/ng,
金森龙 /nr 3	 , 名叫/v, 金森龙/nrf, 男/b, 
麦克 /nr 3	  [但是/c, 麦克/nrf, 必须/d,
高崎纪之 /nr 3	 [2/m], [高崎纪之/nrj, 大约/d,
那一天 /nr 3	 的/ude1, 那一天/nr, 。/w], 
上前 /nr 3	 d, 跑/v, 上前/nrjb, 去/vf
内藤聪美 /nr 3	  。/w], [内藤聪美/nrj, 在/p, 
车是 /nr 3	 的/ude1, 车是/nr, ——/w, 
向井和彦 /nr 3	  。/w], [向井和彦/nrj, 把/pba
那又 /nr 3	 , [“/w, 那又/nr, 怎么样/ry
高崎先生 /nr 3	 是/vshi, 高崎先生/nrj, 推荐/v,
成田 /nr 3	 , 是从/v, 成田/nrjb, 出发/v
雄一 /nr 3	 ude1, 藤川雄一/nrj, 是/vsh
那一页 /nr 3	 的/ude1, 那一页/nr, 给/p, 草
少年真 /nr 2	  那个/rz, 少年真/nr, 的/ude1
和高 /nr 2	  你们/rr, 和高/nrjb, 崎/ng
那好 /nr 2	 , [“/w, 那好/nr, ，/w], 
粟田信彦 /nr 2	 , 就是/v, 粟田信彦/nrj, 。/w],
和聪美 /nr 2	 r, 都/d, 和聪美/nrj, 在/p, 
朝上 /nr 2	 , 眼睛/n, 朝上/nr, 看/v, 了
栗田信彦 /nr 2	 , 名叫/v, 栗田信彦/nrj, 的/ude
那只 /nr 2	 的/ude1, 那只/nr, 工作/vn,
竹田女士 /nr 2	 , [“/w, 竹田女士/nrj, ，/w],
是木 /nr 2	 y, 辆/q, 是木/nrjb, 岛/n,
横滨 /nr 2	 r, 在/p, 横滨/nrjb, 约会/v
戴帽子 /nr 2	 , 必须/d, 戴帽子/nr, 的/ude1
布拉德伯里 /nr 2	  手拿着/l, 布拉德伯里/nrf, 的/ude
田所 /nr 2	 , 粟/ng, 田所/nrjb, 说/v,
汤川一 /nr 2	  。/w], [汤川一/nrj, 把/pba
原地 /nr 2	 v, 到/v, 原地/nrjb, 的/ud
上成 /nr 2	 , 没有/v, 上成/nr, 课/n, 的
拉门 /nr 2	 的/ude1, 拉门/nrf, 关着/nz
那台 /nr 2	 的/ude1, 那台/nr, 激光/n, 
弓削一 /nr 2	 , 和/cc, 弓削一/nrj, 起/vf,
小野田广美 /nr 2	 老师/nnt, 小野田广美/nrj, 。/w],
向后 /nr 2	 边用手/nr, 向后/nrjb, 拢/v,
小豆 /nr 2	  了/ule, 小豆/nr, ，/w], 
小厨房 /nr 2	 u, 个/q, 小厨房/nrj, 。/w],
和多惠子 /nr 2	 , 断绝/v, 和多惠子/nrj, 的/ude
和木 /nr 2	 川/nrjb, 和木/nrjb, 岛/n,
