成田 /nr 218	 s, 长/a, 成田/nrjb, 问/v,
泰三 /nr 92	  。/w], [泰三/nr, 停住/nz,
小村 /nr 82	 , 叫/vi, 小村/nrjb, ，/w]
芙美子 /nr 77	 , [”/w, 芙美子/nrjb, 让出/v
藤次郎 /nr 75	 , 坐在/v, 藤次郎/nrj, 旁边/f,
利彦 /nr 65	 的/ude1, 利彦/nr, 直视/vn,
神崎 /nr 50	  [叫/vi, 神崎/nrjb, 。/w]
阿部 /nr 48	 , 先生/n, 阿部/nr, 佐智男/nr
孝三 /nr 47	 着/uzhe, 孝三/nr, 的/ude1
直子 /nr 47	  ，/w], [直子/nrjb, 是/vs
田宫 /nr 46	 , 前辈/n, 田宫/nrjb, 警官/n
佐智男 /nr 37	 , 丈夫/n, 佐智男/nrjb, 就职/v
玉枝 /nr 36	  ？/w], [玉枝/nr, ！/w], 
阳助 /nr 35	  。/w], [阳助/nr, 的/ude1
父亲 /nr 34	 , 见到/v, 父亲/nrjb, 是/vs
叶山 /nr 33	 , 叫/vi, 叶山/nr, 的/ude1
信夫 /nr 30	 木/nrjb, 信夫/nrjb, 和/cc
敦司 /nr 30	 ude1, 儿子敦司/nrj, 。/w],
的场 /nr 29	 亲/nrjb, 的场/nrjb, 阳/ag
次郎 /nr 29	  木藤/nr, 次郎/nrjb, 的/ud
上野 /nr 29	  ，/w], [上野/nrjb, 君/ng
真锅 /nr 25	 是/vshi, 真锅/nrjb, 夫人/n
藤次郎先生 /nr 24	  把/pba, 藤次郎先生/nrj, 带去/v,
百合子 /nr 23	 的/ude1, 百合子/nrjb, 一/m,
吉江 /nr 22	  [听到/v, 吉江/nr, 这样/rzv
真锅公一 /nr 22	  。/w], [真锅公一/nrj, 在/p, 
二郎 /nr 22	  中山/ns, 二郎/nrjb, 和/cc
公一 /nr 20	 /w], [真锅公一/nrj, 在/p, 
高间 /nr 18	 刑警/nnt, 高间/nrjb, 。/w]
友弘 /nr 16	 [”/w], [友弘/nr, 看/v, 了
武藤 /nr 15	 刑警/nnt, 武藤/nr, 在/p, 小
妙子 /nr 15	 , 来时/t, 妙子/nrjb, 已经/d
母亲 /nr 15	 r, 跟/p, 母亲/nrjb, 通了/p
佐藤 /nr 14	  。/w], [佐藤/nrjb, 用手掌/
真锅先生 /nr 14	 , [“/w, 真锅先生/nrj, 没有/v,
文江 /nr 13	  ，/w], [文江/nr, 。/w], 
笠井 /nr 13	 务员/nnt, 笠井/nrjb, 隆夫/n
古川 /nr 11	 , 叫/vi, 古川/nrjb, 昌子/n
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
的场妙子 /nr 8	 是/vshi, 的场妙子/nrj, 的/ude
厚子 /nr 8	 , 叫/vi, 厚子/nrjb, 的/ud
昌子 /nr 7	 川/nrjb, 昌子/nrjb, 的/ud
于是我 /nr 6	  。/w], [于是我/nr, 就/d, 想
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
中野修 /nr 5	 , 叫/vi, 中野修/nrj, 的/ude
伊豆 /nr 5	 w, 到/v, 伊豆/nrjb, 去/vf
于是便 /nr 5	  ，/w], [于是便/nr, 在/p, 外
都是 /nr 4	 的/ude1, 都是/nr, 最近/t, 
松本 /nr 4	 是/vshi, 松本/nr, ，/w], 
那是 /nr 4	  ，/w], [那是/nr, 一/m, 只
隆夫 /nr 4	 , 儿子/n, 隆夫/nrjb, 、/w,
成田先生 /nr 4	 , ——/w, 成田先生/nrj, 。/w],
和由里子 /nr 4	  那个/rz, 和由里子/nrj, 交往/vn
真纪枝 /nr 4	 , 和/cc, 真纪枝/nr, 都/d, 好
高明和 /nr 4	  。/w], [高明和/nr, 江/n, 里
青木 /nr 4	 , 弟弟/n, 青木/nrjb, 信夫/n
那可 /nr 3	 , [“/w, 那可/nr, 不行/a, 
藤次郎一 /nr 3	 , 只是/d, 藤次郎一/nrj, 个人/n,
田中 /nr 3	 2, 向/p, 田中/nrjb, 医生/n
校长 /nr 3	 的/ude1, 校长/nrjb, 。/w]
利彦和 /nr 3	  。/w], [利彦和/nr, 百合子/nr
向江里子 /nr 3	  [高明/a, 向江里子/nrj, 摊开/v,
那名 /nr 3	  ，/w], [那名/nr, 共犯/v, 
名刑警 /nr 3	 n, 两/m, 名刑警/nrj, 就/d, 
大原先生 /nr 3	  ，/w], [大原先生/nrj, 是否/v,
大原泰 /nr 3	 , 叫/vi, 大原泰/nr, 三/m, 。
山上孝 /nr 3	 [”/w], [山上孝/nrj, 三/m, 
和藤 /nr 3	 , [边/k, 和藤/nrjb, 次郎/n
次郎先生 /nr 3	 把/pba, 藤次郎先生/nrj, 带去/v,
高明大 /nr 2	 [”/w], [高明大/nrj, 幅/q, 
中山二郎 /nr 2	 , [”/w, 中山二郎/nrj, 连连/d,
与由里子 /nr 2	  泰三/nr, 与由里子/nrj, 发生争执/
高田百合子小姐 /nr 2	 是/vshi, 高田百合子小姐/nrj, 。/w],
朝江里子 /nr 2	 [凉子/nz, 朝江里子/nrj, 投以/v,
纪枝 /nr 2	 n, 真/a, 纪枝/nr, ，/w], 
卡拉 /nr 2	  以及/cc, 卡拉/nrf, OK/nx
那对 /nr 2	 w, “/w, 那对/nr, 母子/n, 
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
向由里子 /nr 2	 n, 转/v, 向由里子/nrj, ：/w, 
和叶 /nr 2	  吉江/nr, 和叶/nrjb, 山/n,
和哲子 /nr 2	 , 雄/ag, 和哲子/nrj, ；/w],
才对 /nr 2	 , 边上/f, 才对/nr, 吗/y, …
明知 /nr 2	 [”/w], [明知/nrjb, 这时候/
和江里子 /nr 2	 [凉子/nz, 和江里子/nrj, 坐在/v,
三和二郎 /nr 2	 , 孝/ng, 三和二郎/nrj, 低头/vi
和直子 /nr 2	 , 里子/n, 和直子/nrj, 的/ude
高间刑警 /nr 2	  。/w], [高间刑警/nrj, 再次/d,
兴信 /nr 2	 d, 请/v, 兴信/nr, 所/usuo
本部 /nr 2	 , 搜查/v, 本部/nrjb, 也/d,
东野圭吾 /nr 2	 /nis], [东野圭吾/nrj], [·/w
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
向高明 /nr 2	  [她/rr, 向高明/nr, 二/m, 人
祝寿会 /nr 2	 的/ude1, 祝寿会/nr, ，/w], 
那你 /nr 2	 , [“/w, 那你/nr, 说说看/nz
全贤 /nr 2	 托人/n], [全贤/nrj, 淑/ng,
伊豆旅馆 /nr 2	 , [·/w, 伊豆旅馆/nrj, 的/ude
吉江来 /nr 2	  。/w], [吉江来/nr, 送/v, 茶
弘美 /nr 2	 , 女儿/n, 弘美/nrjb, ，/w]
小村一 /nr 2	 [”/w], [小村一/nrj, 边/k, 
中野先生 /nr 2	 , [“/w, 中野先生/nrj, ，/w],
