刚志 /nr 229	  。/w], [刚志/nrjb, 决心/n
由实 /nr 228	 , [”/w, 由实/nrjb, 子/ng
寺尾 /nr 167	  。/w], [寺尾/nrjb, 祐/n,
朝美 /nr 167	 叫/vi, 中条朝美/nrj, 。/w],
武岛 /nr 77	  。/w], [武岛/nrjb, 刚志/n
实纪 /nr 72	  。/w], [实纪/nrjb, 姑娘/n
仓田 /nr 68	 v, 姓/v, 仓田/nrjb, 。/w]
绪方 /nr 51	 , 叫/vi, 绪方/nrjb, 的/ud
贵想 /nr 50	 , [直/d, 贵想/nr, 闭上眼睛/n
平野 /nr 44	 , 叫/vi, 平野/nrjb, 。/w]
父亲 /nr 39	 , 认定/v, 父亲/nrjb, 的/ud
立野 /nr 39	  ？/w], [立野/nrjb, 窥视/v
幸田 /nr 38	 鼓手/nnt, 幸田/nrjb, 容易/a
老太太 /nr 33	 的/ude1, 老太太/nrjb, ，/w]
贵君 /nr 32	 , [直/d, 贵君/nr, 也/d, 听
课长 /nr 31	 , 总务/b, 课长/nrjb, 走/v,
母亲 /nr 27	 n, 对/p, 母亲/nrjb, 讲/v,
町谷 /nr 24	 , 叫/vi, 町谷/nrjb, ，/w]
贵说 /nr 24	 v, 直/d, 贵说/nr, 点/qt, 
根津 /nr 19	 , 叫/vi, 根津/nrjb, 的/ud
野田 /nr 18	 , 叫/vi, 野田/nrjb, 的/ud
敦志 /nr 15	 斯手/nnt, 敦志/nrjb, 和/cc
那是 /nr 14	 b, 说/v, 那是/nr, 大白熊/nz
古川 /nr 12	 , 叫/vi, 古川/nrjb, 的/ud
贵看 /nr 12	 , [直/d, 贵看/nr, 了/ule,
贵也 /nr 12	 , [直/d, 贵也/nr, 排到/v, 
福本 /nr 11	 , 叫/vi, 福本/nrjb, 的/ud
京子 /nr 11	 [中条/ns, 京子/nrjb, 。/w]
都是 /nr 11	  [每天/t, 都是/nr, 早上/t, 
拉门 /nr 10	 , 打开/v, 拉门/nrf, ，/w],
卡拉 /nr 10	 。/w], [连卡拉/nr, OK/nx,
加津子 /nr 10	 亲/nrjb, 加津子/nrj, 一直/d,
贵问 /nr 10	 f, 直/d, 贵问/nr, 过/uguo
贵去 /nr 9	 , [直/d, 贵去/nr, 了/ule,
健一 /nr 9	 他手/nnt, 健一/nrjb, 的/ud
贵还 /nr 9	 , [直/d, 贵还/nr, 小记/n, 
白石由实子 /nr 9	  ，/w], [白石由实子/nrj, 。/w],
和健一 /nr 6	 志/nrjb, 和健一/nrj, 来到/v,
向后 /nr 6	  [身体/n, 向后/nrjb, 仰/v,
真想 /nr 6	  ，/w], [真想/nr, 参加/v, 
贵又 /nr 6	 , [直/d, 贵又/nr, 有些/rz,
安藤 /nr 6	  [叫/vi, 安藤/nrjb, 。/w]
贵从 /nr 6	 , [直/d, 贵从/nr, 学校/nis
街道 /nr 6	 的/ude1, 街道/nrjb, ，/w]
贵跟 /nr 6	 , [直/d, 贵跟/nr, 在/p, 后
贵刚 /nr 5	 c, 直/d, 贵刚/nr, 上/f, 小
时光 /nr 5	 , 幸福/a, 时光/nrjb, 。/w]
原想 /nr 5	  [他/rr, 原想/nr, 也许/d, 
和由实子 /nr 5	 n, 只/d, 和由实子/nrj, 对视/vi
校长 /nr 5	 , 和/cc, 校长/nrjb, 也/d,
贵一 /nr 5	 , [直/d, 贵一/nr, 说/v, ，
贵并 /nr 5	 , [直/d, 贵并/nr, 没有/v, 
绪方先生 /nr 4	  ，/w], [绪方先生/nrj, ，/w],
列侬 /nr 4	 shi, 约翰·列侬/nrf, （/w, 
刚说 /nr 4	  。/w], [刚说/nr, 现在/t, 
贵正在 /nr 4	 , [直/d, 贵正在/nr, 家里/s, 
贵只 /nr 4	 , [直/d, 贵只/nr, 问/v, 了
白石 /nr 4	 v, “/w, 白石/nrjb, ”/w,
水池 /nr 4	 i, 在/p, 水池/nrjb, 边/k,
贵有 /nr 4	 c, 直/d, 贵有/nr, 更深/d, 
那可 /nr 3	  ，/w], [那可/nr, 做/v, 得
那好 /nr 3	 , [“/w, 那好/nr, ，/w], 
那件 /nr 3	  了/ule, 那件/nr, 蠢事/n, 
中条朝美 /nr 3	 , 叫/vi, 中条朝美/nrj, 。/w],
那条大 /nr 3	  。/w], [那条大/nr, 狗/n, 在
贵都 /nr 3	 p, 直/d, 贵都/nr, 是/vshi
关西 /nr 3	  夹杂着/v, 关西/nrjb, 口音/n
贵用 /nr 3	 v, 直/d, 贵用/nr, 。/w], 
那也 /nr 3	  ，/w], [那也/nr, 举办/v, 
贵清楚 /nr 3	 , [直/d, 贵清楚/nr, 地/ude2
那孩子 /nr 3	  [只要/c, 那孩子/nr, 能够/v, 
那一天 /nr 3	 , [“/w, 那一天/nr, 到来/vi,
多久 /nr 3	 , 不了/v, 多久/nrjb, 就/d,
连想 /nr 3	  。/w], [连想/nr, 起来/vf,
大学节 /nr 3	 , 秋天/t, 大学节/nrj, 上照/v,
葛西 /nr 3	 , 叫作/v, 葛西/nrjb, 阳光/n
武岛刚志 /nr 3	  把/pba, 武岛刚志/nrj, 说/v, 
贵就 /nr 3	 f, 直/d, 贵就/nr, 没有/v, 
根津先生 /nr 2	  ，/w], [根津先生/nrj, ，/w],
土地 /nr 2	 的/ude1, 土地/nrjb, 用作/v
贵微微 /nr 2	 , [直/d, 贵微微/nr, 露出/v, 
贵也很 /nr 2	 , [直/d, 贵也很/nr, 小心/a, 
贵高中 /nr 2	 , [直/d, 贵高中/nr, 一/m, 年
连卡拉 /nr 2	  。/w], [连卡拉/nr, OK/nx,
那条 /nr 2	  [要是/c, 那条/nr, 爱犬/n, 
贵也没 /nr 2	 , [直/d, 贵也没/nr, 打算/v, 
连直 /nr 2	  ，/w], [连直/nr, 贵/a, 都
纪去 /nr 2	 , 着实/d, 纪去/nr, 买/v, 东
梦里 /nr 2	 c, 在/p, 梦里/nr, 。/w], 
都有 /nr 2	  ，/w], [都有/nr, 一/m, 种
都是直 /nr 2	 , 部分/n, 都是直/nr, 贵/a, 吗
贵吐 /nr 2	 w, 直/d, 贵吐/nr, 了/ule,
都说 /nr 2	  。/w], [都说/nr, 想听/v, 
贵对 /nr 2	 , [直/d, 贵对/nr, 大学/nis
大胡子 /nr 2	 被/pbei, 大胡子/nrj, 店长/nn
广岛 /nr 2	 , 我/rr, 广岛/nrjb, 风味/n
贵连 /nr 2	 , [直/d, 贵连/nr, “/w, 有
那事 /nr 2	 , [“/w, 那事/nr, 啊/y, ！
都是你 /nr 2	  。/w], [都是你/nr, ！/w], 
全完了 /nr 2	 e, 就/d, 全完了/nrj, ，/w],
