田沼先生 /nr 12	  ，/w], [田沼先生/nrj, 你/rr,
广美 /nr 11	 [木屿/nr, 广美/nrjb, 购物/v
和子 /nr 8	  坂上/ns, 和子/nrjb, 闲聊/v
加贺刑警 /nr 6	 , [”/w, 加贺刑警/nrj, 于是/cc
芦田 /nr 6	 的/ude1, 芦田/nr, 工业/n, 
田沼洋次 /nr 4	  。/w], [田沼洋次/nrj, 快回到/l
曾和太太 /nr 2	 , 妇女/n, 曾和太太/nrj, 交谈/vi
才对 /nr 2	 , 脖子/n, 才对/nr, ，/w], 
真热 /nr 2	 t, 还/d, 真热/nr, 呢/y, 。
父亲 /nr 2	  [这种/r, 父亲/nrjb, ，/w]
中井 /nr 2	  。/w], [中井/nrjb, 利子/n
向洋次 /nr 2	 , [便/d, 向洋次/nrj, 要/v, 
相本 /nr 2	 , 红色/n, 相本/nr, 。/w], 
谢谢你 /nr 2	 , 天/qt, 谢谢你/nr, 。/w], 
板桥 /nr 2	 s, 在/p, 板桥/nrjb, ，/w]
曾说 /nr 1	  ，/w], [曾说/nr, 办完/nz,
塞得 /nr 1	 , 柜/ng, 塞得/nrf, 满满的/z
大宫 /nr 1	 , 前往/v, 大宫/nrjb, 的/ud
才带我 /nr 1	  [你/rr, 才带我/nr, 来/vf, 
厚浴布 /nr 1	 r, 用/p, 厚浴布/nr, 稍微/d, 
都曾 /nr 1	  ，/w], [都曾/nr, 看到/v, 
经美 /nr 1	 , [”/w, 经美/nr, 枝子/n, 
木屿 /nr 1	  。/w], [木屿/nr, 广美/nrj
相本中 /nr 1	 r, 在/p, 相本中/nr, 挑出/vf,
向美枝子 /nr 1	 挥挥手/nz, 向美枝子/nrj, 告别/vi
有裕太一 /nr 1	 c, 只/d, 有裕太一/nrj, 个/q, 
加贺笑了笑 /nr 1	 , [”/w, 加贺笑了笑/nrj, 回答/v,
琦玉 /nr 1	 是/vshi, 琦玉/nr, 老家/n, 
住太太 /nr 1	 b, 掐/v, 住太太/nrj, 脖子/n,
间刑警 /nr 1	 之/uzhi, 间刑警/nrj, 连/uli
东野圭吾 /nr 1	 n, ：/w, 东野圭吾/nrj], [翻译/
正中央 /nr 1	 , 镜台/n, 正中央/nrj, 的/ude
满裕太 /nr 1	 v, 装/v, 满裕太/nrj, 照片/n,
儿子裕太 /nr 1	 的/ude1, 儿子裕太/nrj, 也/d, 
独栋 /nr 1	 是/vshi, 独栋/nr, 独院/n, 
坂上太太 /nr 1	  ，/w], [坂上太太/nrj, 。/w],
枝子了 /nr 1	 c, 美/b, 枝子了/nrj, 。/w],
和田 /nr 1	 d, 常/d, 和田/nrjb, 沼/ng
有裕太 /nr 1	 d, 只/d, 有裕太/nrj, 的/ude
与裕太 /nr 1	 , 枝子/n, 与裕太/nrj, 的/ude
沼美枝子 /nr 1	 d, 田/n, 沼美枝子/nrj, ，/w],
曾几次 /nr 1	  ，/w], [曾几次/nr, 打算/v, 
那就再 /nr 1	 v, “/w, 那就再/nr], [啰/n,
包还没 /nr 1	 i, 一/m, 包还没/nr, 拆开/v, 
住美枝子 /nr 1	 d, 压/v, 住美枝子/nrj, ，/w],
那你 /nr 1	  ，/w], [那你/nr, 看看/v, 
于是洋 /nr 1	  。/w], [于是洋/nr, 次/qv, 
宫竹 /nr 1	 , 到达/v, 宫竹/nr, 芦田/nr,
向洋 /nr 1	  [然后/c, 向洋/nr, 次/qv, 
开美枝子 /nr 1	 v, 离/v, 开美枝子/nrj, 的/ude
沼先生 /nr 1	 ，/w], [田沼先生/nrj, 你/rr,
道理了 /nr 1	 的/ude1, 道理了/nrj, 。/w],
藏裕太 /nr 1	 i, 收/v, 藏裕太/nrj, 衣服/n,
加贺伸 /nr 1	  ，/w], [加贺伸/nrj, 手/n, 
土地 /nr 1	 的/ude1, 土地/nrjb, ，/w]
刚买 /nr 1	  [最近/t, 刚买/nr, 的/ude1
向你 /nr 1	 是/vshi, 向你/nr, 的/ude1
时流 /nr 1	  外出/vi, 时流/nr, 太多/ad,
无限 /nr 1	  。/w], [无限/nrjb, 的/ud
关的人 /nr 1	 有/vyou, 关的人/nr, ，/w], 
天洋次 /nr 1	  这/rzv, 天洋次/nrj, 从/p, 
与美枝子 /nr 1	 , 次/qv, 与美枝子/nrj, 非常/d,
母亲 /nr 1	 的/ude1, 母亲/nrjb, 连夜赶来
方看 /nr 1	 p, 对/p, 方看/nr, 。/w], 
布都 /nr 1	 的/ude1, 布都/nr, 沾湿/nz,
明讲 /nr 1	 , 没有/v, 明讲/nr, ，/w], 
金孙 /nr 1	 , 痛失/v, 金孙/nr, 。/w], 
和美 /nr 1	  。/w], [和美/nrjb, 枝子/n
加贺先生 /nr 1	  ，/w], [加贺先生/nrj, ，/w],
