美月 /nr 848	 经理/nnt, 美月/nrjb, 久别重逢
早田 /nr 311	 , 传给/v, 早田/nrjb, 的/ud
香里 /nr 275	 , [“/w, 香里/nrjb, 。/w]
须贝 /nr 187	 , [”/w, 须贝/nrjb, 一手/d
户仓 /nr 132	 , 名叫/v, 户仓/nrjb, 明/ag
日浦 /nr 127	 , [“/w, 日浦/nrjb, 也/d,
嵯峨 /nr 123	 /nnt], [嵯峨/nrjb, 正道/n
母亲 /nr 91	 , 和/cc, 母亲/nrjb, 比/p,
佐伯 /nr 73	 着/uzhe, 佐伯/nrjb, 香里/n
父亲 /nr 65	 , 我/rr, 父亲/nrjb, 的/ud
睦美 /nr 62	 /w], [末永睦美/nrj, 选手/n,
相川 /nr 54	 , 和/cc, 相川/nrjb, 小姐/n
和美 /nr 46	 , 朗/ag, 和美/nrjb, 月/n,
立石卓 /nr 45	 , [“/w, 立石卓/nrj, 才/d, 
西胁 /nr 44	 , 卫/ng, 西胁/nrjb, 与/cc
泰子 /nr 33	 , 妻子/n, 泰子/nrjb, 及/cc
和理沙子 /nr 33	 d, 没/d, 和理沙子/nrj, 谈/v, 
安西 /nr 30	 , [”/w, 安西/nrjb, 在/p,
望月 /nr 29	 , [姓/v, 望月/nrjb, 。/w]
中原 /nr 29	 f, 问/v, 中原/nrjb, 先生/n
老太太 /nr 28	 的/ude1, 老太太/nrjb, 的/ud
高仓 /nr 27	 , [“/w, 高仓/nrjb, 今晚/t
立石 /nr 24	 , 自称/v, 立石/nrjb, ，/w]
真希子 /nr 24	 uzhe, 野末真希子/nrj, 。/w],
野末 /nr 22	  。/w], [野末/nrjb, 真希子/
那是 /nr 21	 , 和/cc, 那是/nr, 属于/v, 
神崎充 /nr 21	 , [“/w, 神崎充/nrj, 。/w],
松崎 /nr 20	 的/ude1, 松崎/nrjb, 板/ng
那孩子 /nr 20	 , 采访/v, 那孩子/nr, 吗/y, ？
和中 /nr 20	 , 朗/ag, 和中/nrjb, 尾/ng
律子 /nr 17	 着/uzhe, 律子/nrjb, ，/w]
有坂 /nr 17	 , ——/w, 有坂/nrjb, 文/ng
宏美 /nr 16	 , [”/w, 宏美/nrjb, 开始/v
户仓泰子 /nr 15	 , 送给/v, 户仓泰子/nrj, 和/cc,
末永睦美 /nr 15	  ，/w], [末永睦美/nrj, 选手/n,
神崎 /nr 15	 , [“/w, 神崎/nrjb, ？/w]
嵯峨先生 /nr 15	 是/vshi, 嵯峨先生/nrj, 吗/y, 
令哲朗 /nr 14	 i, 更/d, 令哲朗/nr, 不安/an,
和香 /nr 13	 n, ’/w, 和香/nrjb, 里/f,
门松 /nr 12	 是/vshi, 门松/nrjb, 铁工厂/
和哲朗 /nr 12	  [她/rr, 和哲朗/nrj, 都/d, 
当哲朗 /nr 11	  [但是/c, 当哲朗/nrj, 进入/v,
明知 /nr 11	 , 像是/v, 明知/nrjb, 哪里/r
向后 /nr 11	 d, 球/n, 向后/nrjb, 传给/v
才会 /nr 10	 , 他/rr, 才会/nr, 担任/v, 
三浦 /nr 10	 , [“/w, 三浦/nrjb, 海岸/n
梅比 /nr 10	 , 知道/v, 梅比/nr, 乌斯/ns,
田仓 /nr 10	  。/w], [田仓/nrjb, 昌子/n
马克杯 /nr 10	  [拿出/v, 马克杯/nr, 放在/v, 
向理沙子 /nr 9	 n, 凑/v, 向理沙子/nrj, 。/w],
应道 /nr 9	 , 朗/ag, 应道/nr, 。/w], 
明雄 /nr 9	 /vyou, 关明雄/nr, 先生/n, 
三海 /nr 9	 v, ‘/w, 三海/nrjb, 屋/n,
昌子 /nr 9	 仓/nrjb, 昌子/nrjb, 观察/v
悠里 /nr 9	 , 叫/vi, 悠里/nrjb, 。/w]
板桥 /nr 9	  [住在/v, 板桥/nrjb, 区/n,
西胁先生 /nr 8	  ，/w], [西胁先生/nrj, 好像/v,
静冈 /nr 8	 是/vshi, 静冈/nrjb, 县/n,
那名 /nr 8	  了/ule, 那名/nr, 酒保/nz,
曼尼 /nr 7	 叫/v, 约翰·曼尼/nrf, （/w, 
于是我 /nr 7	  。/w], [于是我/nr, 就/d, 明
那一天 /nr 7	  ，/w], [那一天/nr, 也/d, 下
上前 /nr 7	 r, 追/v, 上前/nrjb, 去/vf
那一晚 /nr 7	 [自己/rr, 那一晚/nr, 究竟/d, 
末永 /nr 7	  ，/w], [末永/nrjb, 吗/y,
那是我 /nr 6	 , [“/w, 那是我/nr, 最早/d, 
来过 /nr 6	 , 昨天/t, 来过/nr, 的话/udh
嵯峨将 /nr 6	 , [”/w, 嵯峨将/nrj, 照片/n,
才对 /nr 5	 m, 个/q, 才对/nr, 。/w], 
原地 /nr 5	 , 伫立/v, 原地/nrjb, ，/w]
中尾一 /nr 5	  ，/w], [中尾一/nrj, 个人/n,
哲朗 /nr 5	 /w], [西胁哲朗/nrj, 有/vyo
当西 /nr 4	  ，/w], [当西/nrf, 胁/vg,
那件 /nr 4	 , 和/cc, 那件/nr, 命案/n, 
立石卓先生 /nr 4	 的/ude1, 立石卓先生/nrj, ，/w],
那张 /nr 4	  ；/w], [那张/nr, 从中/d, 
那和 /nr 4	  。/w], [那和/nr, 她/rr, 
成人礼 /nr 4	 月/nrjb, 成人礼/nr, 的/ude1
拉门 /nr 4	 p, 纸/n, 拉门/nrf, 隔间/n,
望月刑警 /nr 4	 , 那位/r, 望月刑警/nrj, 会/v, 
佐伯先生 /nr 4	 , [“/w, 佐伯先生/nrj, ，/w],
那本 /nr 4	  ？/w], [那本/nr, 记事本/n,
那也 /nr 4	 , [“/w, 那也/nr, 是/vshi
望向 /nr 4	  ，/w], [望向/nr, 双人床/n,
开哲朗 /nr 4	 b, 甩/v, 开哲朗/nrj, 的/ude
于是哲 /nr 4	  ，/w], [于是哲/nr, 朗/ag, 
才好 /nr 4	  反应/vn, 才好/nr, 。/w], 
任谁 /nr 3	  ，/w], [任谁/nr, 在/p, 那
和高 /nr 3	  凤眼/nz, 和高/nrjb, 挺/d,
边说 /nr 3	  咖啡/nf, 边说/nr, 。/w], 
和理沙子一 /nr 3	 , 朗/ag, 和理沙子一/nrj, 眼/n, 
谢谢你 /nr 3	 , [“/w, 谢谢你/nr, 。/w], 
平口 /nr 3	  了/ule, 平口/nr, 内裤/n, 
正中央 /nr 3	 , 沙发/n, 正中央/nrj, 坐下/vi
那是理 /nr 3	  ，/w], [那是理/nr, 沙子/n, 
佐伯香里小姐 /nr 3	  [请问/v, 佐伯香里小姐/nrj, 回家/vi
西胁哲朗 /nr 3	  ，/w], [西胁哲朗/nrj, 有/vyo
卫和 /nr 3	 , 分/qt, 卫和/nr, 球队/nis
安地 /nr 3	 n, 不/d, 安地/nr, 问道/vi,
美丽 /nr 3	 d, 很/d, 美丽/nrjb, 吧/y,
