阿惠 /nr 105	 的/ude1, 阿惠/nr, 与/cc, 
堂元 /nr 102	 , [【/w, 堂元/nrjb, 笔记/n
京极 /nr 101	 , 和/cc, 京极/nrjb, 的/ud
直子 /nr 70	 , 叫/vi, 直子/nrjb, 。/w]
阿纯 /nr 67	 , [“/w, 阿纯/nrj, ，/w],
母亲 /nr 55	  。/w], [母亲/nrjb, 被迫/d
嵯峨 /nr 51	 r, 姓/v, 嵯峨/nrjb, ，/w]
成濑纯一 /nr 50	 , 叫/vi, 成濑纯一/nrj, ，/w],
父亲 /nr 42	 是/vshi, 父亲/nrjb, ，/w]
若生 /nr 33	 助手/nnt, 若生/nrjb, 和/cc
橘小姐 /nr 33	 是/vshi, 橘小姐/nrj, ——/w,
葛西 /nr 31	  [同事/n, 葛西/nrjb, 三郎/n
关谷 /nr 23	 n, ：/w, 关谷/nr, 时/qt, 
橘直子 /nr 21	 , [“/w, 橘直子/nrj, ，/w],
京极瞬介 /nr 20	 , 叫/vi, 京极瞬介/nrj, ，/w],
番场 /nr 16	 老板/nnt, 番场/nrjb, 哲夫/n
时雄 /nr 14	 , 关于/p, 时雄/nr, 的/ude1
东和 /nr 11	  ，/w], [东和/nrjb, 大学/n
成濑 /nr 10	  。/w], [成濑/nrjb, 在/p,
芝田 /nr 10	 , [”/w, 芝田/nrjb, 对/p,
纯一 /nr 10	 的/ude1, 纯一/nrjb, 目光/n
那是 /nr 9	  ？/w], [那是/nr, 从前/t, 
惠日记 /nr 8	  叶村/ns, 惠日记/nrj], [1/m
仓田 /nr 7	 的/ude1, 仓田/nrjb, 。/w]
时光 /nr 7	 的/ude1, 时光/nrjb, 。/w]
街道 /nr 6	 的/ude1, 街道/nrjb, 就/d,
嵯峨先生 /nr 6	 r, 比/p, 嵯峨先生/nrj, 小/a, 
纪夫 /nr 5	 , 悠/ag, 纪夫/nr, 说/v, ，
蒲生 /nr 5	 q, 姓/v, 蒲生/nr, 的/ude1
嵯峨道彦 /nr 5	 e, “/w, 嵯峨道彦/nrj, ”/w, 
堂元教授 /nr 4	  ，/w], [堂元教授/nrj, 的/ude
多久 /nr 4	  持续/vd, 多久/nrjb, ，/w]
和直子 /nr 4	  [我/rr, 和直子/nrj, 坐在/v,
东野圭吾 /nr 4	  ，/w], [东野圭吾/nrj, 称之为/v
真想 /nr 4	  。/w], [真想/nr, 怒吼/vi,
仓田谦 /nr 3	 , [【/w, 仓田谦/nrj, 三笔/nz
刚想 /nr 3	  [我/rr, 刚想/nr, 打招呼/vi
臼井悠 /nr 3	  ，/w], [臼井悠/nrj, 纪夫/nr
完生 /nr 3	 , 已经/d, 完生/nr, 复原/vi,
那男 /nr 3	 是/vshi, 那男/nr, 的/ude1
那张 /nr 3	 , 他/rr, 那张/nr, 呆滞/a, 
一角 /nr 3	  [视线/n, 一角/nrjb, 有/vy
比 /nr 2	 hi, 杰奎琳·比/nrf, 赛特/nz
边说 /nr 2	 k, 写/v, 边说/nr, 。/w], 
来过 /nr 2	 , 从来/d, 来过/nr, 。/w], 
铃木 /nr 2	 , 和/cc, 铃木/nrjb, 。/w]
那一夜 /nr 2	  。/w], [那一夜/nrj, ，/w],
那条狗 /nr 2	  了/ule, 那条狗/nr, ，/w], 
谢谢你 /nr 2	  ，/w], [谢谢你/nr, 救/v, 了
佐藤 /nr 2	 ……/w], [佐藤/nrjb, ，/w]
亚马 /nr 2	  [——/w, 亚马/nrf, 狲/x, 
迈克尔 /nr 2	 是/vshi, 迈克尔/nrf, 的/ude
那孩子 /nr 2	  ，/w], [那孩子/nr, 的/ude1
小心了 /nr 2	 , 相当/d, 小心了/nrj, ，/w],
边在 /nr 2	 v, —/w, 边在/nr, 脑子里/n,
张开嘴 /nr 2	 , 竭力/d, 张开嘴/nr, ，/w], 
才是 /nr 2	 , 你/rr, 才是/nr, 。/w], 
放平 /nr 2	 , 她/rr, 放平/nr, 。/w], 
戴圆 /nr 2	 [一个/mq, 戴圆/nr, 眼镜/n, 
边问 /nr 2	 , 资料/n, 边问/nr, 。/w], 
练琴 /nr 2	 哪里/rys, 练琴/nr, ？/w], 
全换 /nr 2	 a, 脑/n, 全换/nr, 了/ule,
嵯峨一 /nr 2	  。/w], [嵯峨一/nrj, 脸/n, 
都还 /nr 2	  ，/w], [都还/nr, 在/p, ，
小得 /nr 2	 , 一度/d, 小得/nr, 听不见/v,
山本 /nr 2	 v, 姓/v, 山本/nrjb, 和/cc
成濑纯一了 /nr 2	 的/ude1, 成濑纯一了/nrj, 。/w],
牧田 /nr 2	 , [“/w, 牧田/nrjb, 老师/n
安心了 /nr 2	 r, 就/d, 安心了/nrj, 。/w],
全无 /nr 2	  [我/rr, 全无/nr, 恐惧/an,
一口凉 /nr 2	  [倒吸/v, 一口凉/nrj, 气/n, 
喻快 /nr 2	 z, 不/d, 喻快/nr, 的/ude1
那也 /nr 2	 , [“/w, 那也/nr, 要以/c, 
京极亮子 /nr 2	 , [对/p, 京极亮子/nrj, 和/cc,
三郎 /nr 2	 西/nrjb, 三郎/nrjb, 来/vf
年就 /nr 1	 , 半/mq, 年就/nr, 放弃/v, 
迎接恋人 /nr 1	 , 次/qv, 迎接恋人/nrj, 来/vf,
封上口 /nr 1	 [仔细/ad, 封上口/nr, ，/w], 
望向那 /nr 1	 [转身/vi, 望向那/nr, 幢/q, 白
门后 /nr 1	 i, 在/p, 门后/nr, ，/w], 
车间 /nr 1	  那个/rz, 车间/nr, 也/d, 待
边和 /nr 1	 r, —/w, 边和/nr, 众人/n, 
高中时 /nr 1	 t, 、/w, 高中时/nr, 都/d, 做
么干 /nr 1	 什么/ryv, 么干/nr, 傻事/n, 
车别 /nr 1	 的/ude1, 车别/nr, 了/ule,
连你 /nr 1	  [现在/t, 连你/nr, 的/ude1
那味道 /nr 1	  ，/w], [那味道/nr, 简直/d, 
关你 /nr 1	 有/vyou, 关你/nr, 手术/n, 
才来 /nr 1	  ，/w], [才来/nr, 问/v, 的
那一种 /nr 1	 , 属于/v, 那一种/nr, 。/w], 
影子了 /nr 1	 的/ude1, 影子了/nrj, 。/w],
真能 /nr 1	  ，/w], [真能/nr, 这么/rz,
都是命 /nr 1	 , [“/w, 都是命/nr, 啊/y, 。
都和 /nr 1	  ，/w], [都和/nr, 以前/f, 
高浑征 /nr 1	  [想起/v, 高浑征/nr, 子/ng, 
藤田 /nr 1	 , [“/w, 藤田/nrjb, ，/w]
那群 /nr 1	 是/vshi, 那群/nr, 浑蛋/n, 
成跟 /nr 1	 i, 说/v, 成跟/nr, 那种/r, 
钟后 /nr 1	  [十分/d, 钟后/nr, 店长/nnt
谢谢来 /nr 1	 , [“/w, 谢谢来/nr, 电话/n, 
