青野 /nr 60	 , 叫/vi, 青野/nrjb, 。/w]
父亲 /nr 51	 , 我/rr, 父亲/nrjb, 。/w]
天下一 /nr 50	 侦探/nnd, 天下一/nrjb, 先生/n
金子 /nr 49	 , [”/w, 金子/nrjb, 似乎/d
大河原 /nr 48	 , 叫/vi, 大河原/nrjb, ，/w]
水岛 /nr 46	 [1/m], [水岛/nr, 邸/nz, 
白石 /nr 44	 是/vshi, 白石/nrjb, 啊/y,
春树 /nr 37	  ，/w], [春树/nrjb, 少爷/n
土井 /nr 35	  。/w], [土井/nr, 直美/nz,
秋雄 /nr 34	 r, 、/w, 秋雄/nr, 和/cc, 
田俊介 /nr 30	 w, 火/n, 田俊介/nrj, 是/vsh
雄一 /nr 21	 n, 岛/n, 雄一/nrjb, 郎/ng
小绿 /nr 20	 是/vshi, 小绿/nr, ，/w], 
水岛雄一郎 /nr 20	  ，/w], [水岛雄一郎/nrj, 不/d, 
水岛先生 /nr 18	  ，/w], [水岛先生/nrj, 是/vsh
天下一先生 /nr 17	  ，/w], [天下一先生/nrj, ，/w],
俊介 /nr 16	 , 火/n, 田俊介/nrj, 是/vsh
宇户川 /nr 15	 , 名字/n, 宇户川/nr, 某某/r, 
金子先生 /nr 11	 , [“/w, 金子先生/nrj, 和/cc,
拉图斯 /nr 11	 , 彼/rz, 拉图斯/nrf, 。/w],
夏子 /nr 9	 是/vshi, 夏子/nr, 、/w, 秋
土井直美 /nr 8	 , [”/w, 土井直美/nrj, 就/d, 
月村女士 /nr 8	 博士/nnt, 月村女士/nrj, 。/w],
木部先生 /nr 6	  ，/w], [木部先生/nrj, 。/w],
土井小姐 /nr 5	 , 和/cc, 土井小姐/nrj, 。/w],
母亲 /nr 5	  。/w], [母亲/nrjb, 都/d,
金子和 /nr 5	 n, 、/w, 金子和/nr, 土井/nr,
文田 /nr 4	 的/ude1, 文田/nr, 打来/v, 
都是 /nr 4	  开枪/vi, 都是/nr, 雄一/nrj
成火田 /nr 4	  [化装/v, 成火田/nr, 的/ude1
一角 /nr 4	 的/ude1, 一角/nrjb, 有/vy
那也 /nr 4	 , [“/w, 那也/nr, 是/vshi
上前 /nr 3	 , 书架/n, 上前/nrjb, 查看/v
那张 /nr 3	 , 拿起/v, 那张/nr, 白/a, 纸
田俊介先生 /nr 3	 w, 火/n, 田俊介先生/nrj, 。/w],
闻言 /nr 3	  [她/rr, 闻言/nr, 耸了耸肩/i
那本 /nr 3	 , 打开/v, 那本/nr, 笔记/n, 
那你 /nr 3	  。/w], [那你/nr, 说/v, 我
管家一 /nr 3	 , [”/w, 管家一/nrj, 边/k, 
罗特列克 /nr 3	 的/ude1, 罗特列克/nrf, (/w, 
三条 /nr 3	 , 晾着/v, 三条/nrjb, 毛巾/n
黑本先生 /nr 2	 v, 请/v, 黑本先生/nrj, 确认/v,
水曜 /nr 2	 p, “/w, 水曜/nr, 日/b, ”
路市 /nr 2	 n, 礼/n, 路市/nr, 风致/n, 
一本书 /nr 2	 是/vshi, 一本书/nrj, 。/w],
小绿一 /nr 2	 , 和/cc, 小绿一/nrj, 起/vf,
波洛 /nr 2	  ，/w], [波洛/nrf, (/w, 
向警部 /nr 2	 [年轻人/n, 向警部/nr, 鞠/vg, 
那是 /nr 2	 , [“/w, 那是/nr, 勿忘我/i,
向来很 /nr 2	 , 报纸/n, 向来很/nr, 仔细/ad,
和木 /nr 2	 馆长/nnt, 和木/nrjb, 部/q,
原地 /nr 2	 , 回到/v, 原地/nrjb, 了/ul
那是我 /nr 2	  ，/w], [那是我/nr, 做/v, 的
本部 /nr 2	 , 警/ng, 本部/nrjb, 来/vf
盛有 /nr 2	 着/uzhe, 盛有/nr, 白兰地/nf
金子和彦 /nr 2	  。/w], [金子和彦/nrj, 自称/v,
苍井雄 /nr 2	  。/w], [苍井雄/nr, 、/w, 楠
昭和 /nr 2	 a, 在/p, 昭和/nrjb, 初期/f
小山 /nr 2	 m, 座/q, 小山/nrjb, 。/w]
江户时代 /nr 2	 是/vshi, 江户时代/nrj, 。/w],
曾有 /nr 2	 , [也/d, 曾有/nr, 在/p, 头
滨尾四郎 /nr 2	 g, 、/w, 滨尾四郎/nrj, 、/w, 
都是你 /nr 2	  。/w], [都是你/nr, ，/w], 
双眉 /nr 1	 , 小姐/n, 双眉/nr, 倒/vi, 
山庄 /nr 1	 [暴风雪/n, 山庄/nrjb, 、/w,
开拓 /nr 1	 , 叫/vi, 开拓/nrj, 者/k, 
富家 /nr 1	 w, 船/n, 富家/nrjb, 的/ud
爱伦 /nr 1	 d, 为/p, 爱伦/nrf, ？/w],
安地摇 /nr 1	 n, 不/d, 安地摇/nr, 了/ule,
才对 /nr 1	 , 他/rr, 才对/nr, ，/w], 
真能 /nr 1	 r, 还/d, 真能/nr, 吓唬人/vn
都是水 /nr 1	 , 虽然/c, 都是水/nr, 岛/n, 的
曾用 /nr 1	 f, 就/d, 曾用/nr, 从/p, 原
张放 /nr 1	 z, 一/m, 张放/nr, 了/ule,
原想 /nr 1	 , 大概/d, 原想/nr, 跟进/v, 
田先生 /nr 1	  把火/nz, 田先生/nr, 捆绑/v, 
冰盘 /nr 1	 , 放在/v, 冰盘/nr, 最/d, 易
满洋葵 /nr 1	 v, 种/q, 满洋葵/nr, 的/ude1
那可 /nr 1	  ，/w], [那可/nr, 真是/d, 
土井和 /nr 1	 n, 、/w, 土井和/nr, 市长/nnt
钟前 /nr 1	 , 十分/d, 钟前/nr, ，/w], 
那条长 /nr 1	 的/ude1, 那条长/nr, 板凳/n, 
来让我 /nr 1	 , 作品/n, 来让我/nr, 看/v, ，
于门 /nr 1	 n, 在/p, 于门/nr, 的/ude1
希金斯 /nr 1	  ？/w], [希金斯/nrf, 、/w, 
扶住 /nr 1	 前/nrjb, 扶住/nr, 。/w], 
全是 /nr 1	 , ——/w, 全是/nr, 这样/rzv
都是当 /nr 1	 的/ude1, 都是当/nr, 水/n, 岛
大河原先生 /nr 1	  ，/w], [大河原先生/nrj, ……/w]
卡拉 /nr 1	 i, 、/w, 卡拉/nrf, OK/nx
才修 /nr 1	 , 最近/t, 才修/nr, 过/uguo
金子一 /nr 1	 , [”/w, 金子一/nr, 把/pba,
都是我 /nr 1	 , [“/w, 都是我/nr, ，/w], 
薄荷味 /nr 1	 [带着/vn, 薄荷味/nr, 的/ude1
金曜 /nr 1	 b, 、/w, 金曜/nr, 日/b, 、
水岛雄一郎知道了 /nr 1	 , [“/w, 水岛雄一郎知道了/nrj, 其中/rz
田俊介将 /nr 1	 w, 火/n, 田俊介将/nrj, 手中/s,
拉门 /nr 1	 [伸手/vi, 拉门/nrf, 之前/f,
土曜 /nr 1	 b, 、/w, 土曜/nr, 日/b, 、
那具 /nr 1	 的/ude1, 那具/nr, 。/w], 
