由香 /nr 242	 , 女儿/n, 由香/nrjb, 。/w]
曜子 /nr 123	 , 妹妹/n, 曜子/nrjb, 。/w]
加奈 /nr 122	 , 女儿/n, 加奈/nrjb, 江/n,
苍介 /nr 117	 原/nrjb, 苍介/nr, 就/d, 站
健彦 /nr 90	 原/nrjb, 健彦/nr, ，/w], 
真穗 /nr 84	  ，/w], [真穗/nrjb, 女士/n
本间 /nr 83	 是/vshi, 本间/nrjb, 夫人/n
二郎 /nr 70	  。/w], [二郎/nrjb, ！/w]
纪代美 /nr 60	 是/vshi, 纪代美/nrjb, ，/w]
一原 /nr 56	 , 请到/v, 一原/nrjb, 亭/ng
小林 /nr 40	 , [姓/v, 小林/nrjb, 。/w]
桐生小姐 /nr 39	 , [“/w, 桐生小姐/nrj, ，/w],
弘美 /nr 32	 , 骖/v, 泽弘美/nrj, ，/w],
枝梨子 /nr 29	 生/nrjb, 枝梨子/nrj, 的/ude
里中 /nr 25	 , 认识/v, 里中/nrjb, 二郎/n
桐生 /nr 25	 , ——/w, 桐生/nrjb, 枝梨子/
菊代 /nr 24	 间/nrjb, 菊代/nrjb, 。/w]
高野 /nr 24	  。/w], [高野/nr, ……/w],
一原先生 /nr 23	 w, “/w, 一原先生/nrj, ，/w],
里中二郎 /nr 21	  了/ule, 里中二郎/nrj, 的/ude
水池 /nr 21	 , 跨越/v, 水池/nrjb, 的/ud
古木律 /nr 19	 是/vshi, 古木律/nrj, 师/ng,
母亲 /nr 17	 , 不同/a, 母亲/nrjb, 所生/b
父亲 /nr 15	 的/ude1, 父亲/nrjb, ，/w]
古木 /nr 15	 的/ude1, 古木/nrjb, 却/d,
泽弘美 /nr 14	 i, 骖/v, 泽弘美/nrj, ，/w],
那是 /nr 12	  ，/w], [那是/nr, 一/m, 间
居之 /nr 12	 i, ‘/w, 居之/nr, 壹/m, ’
居之壹 /nr 10	 , [“/w, 居之壹/nr, ”/w, 正
高野刑警 /nr 10	 , [”/w, 高野刑警/nrj, 焦急/a,
纪代 /nr 9	 是/vshi, 纪代/nr, 美的/nz,
多久 /nr 9	  住院/vn, 多久/nrjb, ……/w
才对 /nr 8	 , 不懂/v, 才对/nr, 。/w], 
