石神 /nr 648	  。/w], [石神/nrjb, 看到/v
靖子 /nr 497	  。/w], [靖子/nrjb, 的/ud
汤川 /nr 453	  。/w], [汤川/nrjb, 戴/v,
工藤 /nr 204	 , [”/w, 工藤/nrjb, 仰望/v
富坚 /nr 150	 , 和/cc, 富坚/nrj, 慎/ag,
美里 /nr 139	  ？/w], [美里/nrjb, 也/d,
花冈靖子 /nr 89	 e, “/w, 花冈靖子/nrj, ”/w, 
小代子 /nr 41	 , 妻子/n, 小代子/nrj, 。/w],
是石 /nr 34	  [您/rr, 是石/nrjb, 神/n,
花冈小姐 /nr 34	 , [“/w, 花冈小姐/nrj, 。/w],
工藤先生 /nr 30	 , [“/w, 工藤先生/nrj, ，/w],
江户川 /nr 25	 , 朝/tg, 江户川/nr, 区/n, 的
间宫 /nr 23	  ，/w], [间宫/nrjb, 正在/d
富坚先生 /nr 22	 , [“/w, 富坚先生/nrj, 过世/v,
石神先生 /nr 21	  。/w], [石神先生/nrj, 。/w],
花冈 /nr 16	 是/vshi, 花冈/nrjb, 。/w]
杉村园子 /nr 15	 e, “/w, 杉村园子/nrj, ”/w, 
母亲 /nr 14	  [对于/p, 母亲/nrjb, 陪酒/v
大桥 /nr 13	 v, 新/a, 大桥/nrjb, 。/w]
和花 /nr 13	 , 他/rr, 和花/nrjb, 冈靖子/
汤川学 /nr 13	 [”/w], [汤川学/nrj, 百无聊赖/
冈靖子 /nr 12	 , “/w, 花冈靖子/nrj, ”/w, 
那你 /nr 12	 , [“/w, 那你/nr, 就/d, 自
常磐 /nr 12	 究生/nnt, 常磐/nrjb, 。/w]
玛丽安 /nr 11	 e, “/w, 玛丽安/nrf, 酒廊/nf
隅田 /nr 11	 是/vshi, 隅田/nrjb, 川/b,
物理学 /nr 11	 , 天才/n, 物理学/nrj, 家/q, 
马克杯 /nr 9	 的/ude1, 马克杯/nr, ，/w], 
森冈 /nr 9	  [而/cc, 森冈/nrjb, ，/w]
达摩 /nr 7	 是/vshi, 达摩/nrf, 石神/nr
花冈靖子小姐 /nr 7	 是/vshi, 花冈靖子小姐/nrj, 吗/y, 
那是 /nr 7	  ，/w], [那是/nr, 不/d, 可
那张 /nr 7	  ，/w], [那张/nr, 脸上/s, 
清洲 /nr 7	  。/w], [清洲/nr, 桥前/ns,
瑞江 /nr 7	 的/ude1, 瑞江/nr, 站/vi, 
黎曼 /nr 6	 p, ‘/w, 黎曼/nr, 假说/n, 
曜子 /nr 6	 b, 边/k, 曜子/nrjb, 这个/r
才会 /nr 6	  ，/w], [才会/nr, 待/vi, 
多斯 /nr 6	 i, 厄/b, 多斯/nrf, 的/ude
实香 /nr 6	 告诉他/nz, 实香/nr, 的/ude1
多久 /nr 6	 , 她/rr, 多久/nrjb, 也/d,
才对 /nr 5	 , 关系/n, 才对/nr, 。/w], 
清洲桥 /nr 5	 的/ude1, 清洲桥/nr, 开始/v, 
都是 /nr 5	 d, 也/d, 都是/nr, 这样/rzv
草薙刑警 /nr 5	  ？/w], [草薙刑警/nrj, ……/w]
明知 /nr 4	  ，/w], [明知/nrjb, 是/vs
和美 /nr 4	 , 她/rr, 和美/nrjb, 里/f,
那孩子 /nr 4	 , 去找/v, 那孩子/nr, 。/w], 
那起 /nr 4	  了/ule, 那起/nr, 命案/n, 
来过 /nr 4	 , 刚才/t, 来过/nr, 我家/n, 
川边 /nr 3	 田/nrjb, 川边/nrjb, ，/w]
刚买 /nr 3	  上个月/t, 刚买/nr, 那辆车/n,
那副 /nr 3	 , 望着/v, 那副/nr, 情景/n, 
富坚一 /nr 3	 被/pbei, 富坚一/nrj, 把/pba
父亲 /nr 3	  [没有/v, 父亲/nrjb, ，/w]
披萨 /nr 3	 v, 买/v, 披萨/nrf, ，/w],
连那 /nr 3	  我们/rr, 连那/nr, 孩子/n, 
道场 /nr 3	  [管好/v, 道场/nrjb, 的/ud
那对 /nr 3	 , 查出/v, 那对/nr, 母女/n, 
板子 /nr 3	 , 挂着/v, 板子/nrjb, 交代/v
可可 /nr 3	 , 杯/ng, 可可/nrf, 。/w],
和靖子 /nr 2	 , 此人/r, 和靖子/nrj, 很熟/a,
边说 /nr 2	 , 漫步/v, 边说/nr, 。/w], 
琦玉 /nr 2	 s, 或/c, 琦玉/nr, 的/ude1
那可 /nr 2	 , [“/w, 那可/nr, 难说/v, 
石神一 /nr 2	 [”/w], [石神一/nrj, 看/v, 
多心了 /nr 2	  自己/rr, 多心了/nrj, 。/w],
于是我 /nr 2	  。/w], [于是我/nr, 就/d, 说
成真 /nr 2	 , 果然/d, 成真/nr, ，/w], 
欧吉桑 /nr 2	 [那个/rz, 欧吉桑/nr, 也/d, 等
草薙先生 /nr 2	 是/vshi, 草薙先生/nrj, 是/vsh
阿佩尔 /nr 2	  ./w], [阿佩尔/nrf, 和/cc,
伽利略 /nr 2	  ，/w], [伽利略/nrf, 大师/nn
久等了 /nr 2	 , 你/rr, 久等了/nrj, 。/w],
都来 /nr 2	 , 每天/t, 都来/nr, 吗/y, ？
冈小姐 /nr 2	  [“/w, 花冈小姐/nrj, 。/w],
那也 /nr 2	  ，/w], [那也/nr, 无所谓/vl
男事务员 /nr 2	  ，/w], [男事务员/nr, 正在/d, 
高中教 /nr 2	 的/ude1, 高中教/nr, 数学/n, 
花冈靖子和美 /nr 2	 , ——/w, 花冈靖子和美/nrj, 里/f, 
玛莉安 /nr 2	 e, “/w, 玛莉安/nrf, ”/w, 
工藤笑了 /nr 2	 , [”/w, 工藤笑了/nrj, 。/w],
都能 /nr 2	 , 一眼/d, 都能/nr, 明察秋毫/v
那头 /nr 2	 , 他/rr, 那头/nr, 从不/d, 
当刑警 /nr 2	 [这些/rz, 当刑警/nrj, 的/ude
