芙美子 /nr 90	 , [”/w, 芙美子/nrjb, 让出/v
小村 /nr 82	 , 叫/vi, 小村/nrjb, ，/w]
利彦 /nr 70	 的/ude1, 利彦/nr, 直视/vn,
孝三 /nr 53	 着/uzhe, 孝三/nr, 的/ude1
佐智男 /nr 52	 , 丈夫/n, 佐智男/nrjb, 就职/v
阿部 /nr 49	 , 先生/n, 阿部/nr, 佐智男/nr
田宫 /nr 46	 , 前辈/n, 田宫/nrjb, 警官/n
阳助 /nr 37	  。/w], [阳助/nr, 的/ude1
玉枝 /nr 37	  ？/w], [玉枝/nr, ！/w], 
敦司 /nr 32	 ude1, 儿子敦司/nrj, 。/w],
信夫 /nr 30	 木/nrjb, 信夫/nrjb, 和/cc
的场 /nr 29	 亲/nrjb, 的场/nrjb, 阳/ag
公一 /nr 27	 /w], [真锅公一/nrj, 在/p, 
真锅 /nr 26	 是/vshi, 真锅/nrjb, 夫人/n
百合子 /nr 23	 的/ude1, 百合子/nrjb, 一/m,
真锅公一 /nr 22	  。/w], [真锅公一/nrj, 在/p, 
二郎 /nr 22	  中山/ns, 二郎/nrjb, 和/cc
妙子 /nr 18	 , 来时/t, 妙子/nrjb, 已经/d
武藤 /nr 15	 刑警/nnt, 武藤/nr, 在/p, 小
真锅先生 /nr 14	 , [“/w, 真锅先生/nrj, 没有/v,
佐藤 /nr 14	  。/w], [佐藤/nrjb, 用手掌/
笠井 /nr 13	 务员/nnt, 笠井/nrjb, 隆夫/n
古川 /nr 12	 , 叫/vi, 古川/nrjb, 昌子/n
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
父亲 /nr 9	 是/vshi, 父亲/nrjb, 的场/n
伊豆 /nr 8	 w, 到/v, 伊豆/nrjb, 去/vf
中野修 /nr 8	 , 叫/vi, 中野修/nrj, 的/ude
厚子 /nr 8	 , 叫/vi, 厚子/nrjb, 的/ud
的场妙子 /nr 8	 是/vshi, 的场妙子/nrj, 的/ude
昌子 /nr 8	 川/nrjb, 昌子/nrjb, 的/ud
母亲 /nr 5	  了/ule, 母亲/nrjb, 的/ud
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
于是我 /nr 5	  。/w], [于是我/nr, 就/d, 想
松本 /nr 4	 是/vshi, 松本/nr, ，/w], 
真纪枝 /nr 4	 , 和/cc, 真纪枝/nr, 都/d, 好
青木 /nr 4	 , 弟弟/n, 青木/nrjb, 信夫/n
那可 /nr 3	 , [“/w, 那可/nr, 不行/a, 
于是便 /nr 3	  ，/w], [于是便/nr, 在/p, 外
田中 /nr 3	 2, 向/p, 田中/nrjb, 医生/n
和秋子 /nr 3	 , 我/rr, 和秋子/nrj, 就/d, 
名刑警 /nr 3	 n, 两/m, 名刑警/nrj, 就/d, 
和行 /nr 3	 司/nrjb, 和行/nrjb, 雄/ag
山上孝 /nr 3	 [”/w], [山上孝/nrj, 三/m, 
利彦和 /nr 3	  。/w], [利彦和/nr, 百合子/nr
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
美子 /nr 2	  [”/w, 芙美子/nrjb, 让出/v
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
