拓也 /nr 853	 永/nrjb, 拓也/nrjb, 喃喃自语
佐山 /nr 354	  。/w], [佐山/nrjb, 总/b,
直树 /nr 315	 vshi, 仁科直树/nrj, 。/w],
康子 /nr 251	 v, 在/p, 康子/nrjb, 体内/s
桥本 /nr 244	 的/ude1, 桥本/nrjb, 。/w]
弓绘 /nr 187	 森/nrjb, 弓绘/nrjb, 自从/p
仁科 /nr 147	  。/w], [仁科/nrjb, 是/vs
星子 /nr 124	 , 听说/v, 星子/nrjb, 还是/c
末永 /nr 101	 , [”/w, 末永/nrjb, 拓也/n
父亲 /nr 100	 的/ude1, 父亲/nrjb, 一手/d
谷口 /nr 87	  ，/w], [谷口/nrjb, 警/ng
宗方 /nr 73	  有关/vn, 宗方/nrjb, 伸/v,
仁科直树 /nr 73	 是/vshi, 仁科直树/nrj, 。/w],
名古屋 /nr 71	 , [下/f, 名古屋/nrjb, 交流/v
敏树 /nr 53	 亲/nrjb, 敏树/nr, 是/vshi
厚木 /nr 42	 , 抵达/v, 厚木/nrjb, 吧/y,
萩原 /nr 36	 室长/nnt, 萩原/nrjb, 。/w]
雨宫康子 /nr 31	 v, 在/p, 雨宫康子/nrj, 身上/s,
星子小姐 /nr 26	  ！/w], [星子小姐/nrj, 从/p, 
仁科敏 /nr 20	  [遇见/v, 仁科敏/nrj, 树/n, 
课长 /nr 19	 m, 课/n, 课长/nrjb, 走近/v
矢野 /nr 19	 的/ude1, 矢野/nrjb, ，/w]
和仁 /nr 19	 d, 多/a, 和仁/nrjb, 科/n,
布鲁特斯 /nr 17	 
桥本先生 /nr 16	 , 关于/p, 桥本先生/nrj, 的/ude
母亲 /nr 16	 [去世/vi, 母亲/nrjb, 的/ud
中森 /nr 15	 w, “/w, 中森/nrjb, 小姐/n
那起 /nr 15	 , [“/w, 那起/nr, 意外事故/n
光井 /nr 14	 的/ude1, 光井/nrjb, 芙美子/
芙美子 /nr 13	 井/nrjb, 芙美子/nrjb, 结婚/v
笠井 /nr 13	 v, 做/v, 笠井/nrjb, 的/ud
铃木 /nr 12	 , [“/w, 铃木/nrjb, ，/w]
金井 /nr 12	 是/vshi, 金井/nr, 对/p, 直
那一天 /nr 11	  。/w], [那一天/nr, ，/w], 
荻洼 /nr 10	 , 抵达/v, 荻洼/nrjb, 的/ud
敦司 /nr 9	 本/nrjb, 敦司/nrjb, 已经/d
佐山一 /nr 9	  。/w], [佐山一/nrj, 提到/v,
东野圭吾 /nr 9	  ：/w], [东野圭吾/nrj], [//w
片平 /nr 9	  [寻找/v, 片平/nrjb, 肥胖/a
雨宫 /nr 9	 , 这位/r, 雨宫/nrjb, 小姐/n
田所 /nr 8	 的/ude1, 田所/nrjb, ，/w]
东名 /nr 8	 , [从/p, 东名/nr, 高速公路/n
当拓也 /nr 8	  ，/w], [当拓也/nrj, 在/p, 
执行 /nr 8	 , 和/cc, 执行/nrjb, 。/w]
那是 /nr 7	  ，/w], [那是/nr, 直树/nrj
宗方先生 /nr 7	 , [“/w, 宗方先生/nrj, 是/vsh
保时捷 /nr 7	 , 白色/n, 保时捷/nrf, ，/w],
仁科先生 /nr 6	  ，/w], [仁科先生/nrj, 不/d, 
那张 /nr 6	 是/vshi, 那张/nr, 联署/v, 
郎说 /nr 6	  [悟/vg, 郎说/nr, ：/w, “
那名 /nr 6	  。/w], [那名/nr, 董事/nnt
欧吉桑 /nr 5	 的/ude1, 欧吉桑/nr, 。/w], 
星子一 /nr 5	  了/ule, 星子一/nrj, 眼/n, 
沙织 /nr 5	 ude1, 长女沙织/nrj, 的/ude
名刑警 /nr 5	 z, 一/m, 名刑警/nrj, 说道/v,
谷口将 /nr 5	 [”/w], [谷口将/nrj, 平常/a,
桥本一 /nr 4	  了/ule, 桥本一/nrj, 眼/n, 
朋子 /nr 4	 ude1, 朝野朋子/nrj, 。/w],
横须贺 /nr 4	  了/ule, 横须贺/nrjb, ，/w]
雨宫小姐 /nr 4	  ，/w], [雨宫小姐/nrj, 问/v, 
酒井悟郎 /nr 4	  。/w], [酒井悟郎/nrj, 和/cc,
那封 /nr 4	 , 利用/v, 那封/nr, 匿名信/n,
末永先生 /nr 4	  ，/w], [末永先生/nrj, 是/vsh
才会 /nr 3	  ，/w], [才会/nr, 将/d, 直
佐山刑警 /nr 3	 [”/w], [佐山刑警/nrj, 说话/vi
