崇史 /nr 763	 /w], [敦贺崇史/nrj, 每周/t,
智彦 /nr 659	 /w], [三轮智彦/nrj, 身穿/v,
麻由子 /nr 472	 vshi, 津野麻由子/nrj, ”/w],
筱崎 /nr 143	 , 叫作/v, 筱崎/nrjb, 的/ud
须藤 /nr 84	 , 叫/vi, 须藤/nrjb, 的/ud
和智 /nr 62	 , 我/rr, 和智/nrjb, 彦/ng
夏江 /nr 56	  ，/w], [夏江/nrjb, 停下/v
景子 /nr 49	 叫/vi, 桐山景子/nrj, 的/ude
雅美 /nr 47	 叫/vi, 直井雅美/nrj, ，/w],
小山内 /nr 44	  [名叫/v, 小山内/nrjb, 。/w]
三轮 /nr 39	  [就是/v, 三轮/nrjb, 啊/y,
柳濑 /nr 28	 , 叫/vi, 柳濑/nrjb, 的/ud
母亲 /nr 26	 被/pbei, 母亲/nrjb, 训斥/v
伍郎 /nr 25	 , [“/w, 伍郎/nr, ？/w], 
那是 /nr 22	 [只不过/d, 那是/nr, 初级阶段/n
和麻由子 /nr 19	 彦/nrjb, 和麻由子/nrj, 紧随其后/
桐山 /nr 18	  [看到/v, 桐山/nrjb, 景子/n
广岛 /nr 18	 是/vshi, 广岛/nrjb, ，/w]
三轮智彦 /nr 16	  。/w], [三轮智彦/nrj, 身穿/v,
杉原 /nr 13	  [叫/vi, 杉原/nrjb, 。/w]
大沼 /nr 12	 次/nr], [大沼/nrjb, ”/w]
直井雅美 /nr 12	 , 叫/vi, 直井雅美/nrj, ，/w],
那你 /nr 12	 , [“/w, 那你/nr, 又/d, 怎
青地 /nr 12	 , [姓/v, 青地/nrjb, 。/w]
津野 /nr 12	  [听说/v, 津野/nrjb, 经常/d
山下 /nr 11	 , 叫/vi, 山下/nrjb, 的/ud
父亲 /nr 11	 的/ude1, 父亲/nrjb, 经营者/
津野麻由子 /nr 11	 是/vshi, 津野麻由子/nrj, ”/w],
课长 /nr 11	  了/ule, 课长/nrjb, 、/w,
静冈 /nr 9	 , [在/p, 静冈/nrjb, 的/ud
真锅 /nr 7	  走到/vf, 真锅/nrjb, 边上/f
那也 /nr 7	 , [“/w, 那也/nr, 是/vshi
京滨 /nr 7	 , 和/cc, 京滨/nr, 东北/ns,
敦贺先生 /nr 7	  ，/w], [敦贺先生/nrj, 您/rr,
才对 /nr 6	  顺利/ad, 才对/nr, 。/w], 
都是 /nr 6	 的/ude1, 都是/nr, 麻由子/nr
街道 /nr 6	  青梅/nf, 街道/nrjb, 开入/v
弗雷德 /nr 6	 , 叫/vi, 弗雷德/nrf, ……/w]
和子 /nr 5	 亲/nrjb, 和子/nrjb, 来说/u
敦贺崇史 /nr 5	  ，/w], [敦贺崇史/nrj, 每周/t,
玉号 /nr 4	 w, 小/a, 玉号/nr, ”/w, 新
来过 /nr 4	  ，/w], [来过/nr, 几/d, 次
阿佐谷 /nr 4	 , [“/w, 阿佐谷/nr, 啊/y, ”
多米诺 /nr 3	  取名为/i, 多米诺/nrf, 效果/n,
布赖恩 /nr 3	 是/vshi, 布赖恩/nrf, ?/w],
多久 /nr 3	  持续/vd, 多久/nrjb, ”/w]
和崇史 /nr 3	 , 你/rr, 和崇史/nrj, 说/v, 
那枚 /nr 3	  。/w], [那枚/nr, 蓝宝石/n,
那件 /nr 3	 的/ude1, 那件/nr, 西服/n, 
那是一 /nr 3	  。/w], [那是一/nr, 副/b, 至
那又 /nr 3	  ，/w], [那又/nr, 怎么样/ry
双眉 /nr 2	 地/ude2, 双眉/nr, 颦蹙/nz,
刚想 /nr 2	  [我/rr, 刚想/nr, 张口/vi,
望向 /nr 2	 , 转而/c, 望向/nr, 餐桌上/n,
多月了 /nr 2	 m, 个/q, 多月了/nrj, ，/w],
裘伊 /nr 2	 , 叫/vi, 裘伊/nr, ，/w], 
舒爽 /nr 2	 , 非常/d, 舒爽/nr, 呢/y, ”
谢谢你 /nr 2	  ，/w], [谢谢你/nr, ”/w], 
三轮先生 /nr 2	  ，/w], [三轮先生/nrj, 被/pbe
那张 /nr 2	 e, 指/v, 那张/nr, 留言/n, 
乘上了 /nr 2	  [我/rr, 乘上了/nrj, 和/cc,
