智美 /nr 137	  ，/w], [智美/nrjb, 一边/d
尚美 /nr 68	  了/ule, 尚美/nrjb, ，/w]
林田先生 /nr 55	 是/vshi, 林田先生/nrj, 对/p, 
片冈 /nr 48	  了/ule, 片冈/nrjb, 那家伙/
南波 /nr 42	 v, “/w, 南波/nrjb, 先生/n
佑介 /nr 42	  ，/w], [佑介/nrjb, 也/d,
宏子 /nr 41	 w, “/w, 宏子/nrjb, 是/vs
昌章 /nr 32	  ，/w], [昌章/nr, 的/ude1
课长 /nr 32	 /ulian, 课长/nrjb, 、/w,
阿升 /nr 27	  ，/w], [阿升/nr, 的/ude1
广江 /nr 25	 的/ude1, 广江/nrjb, 吧/y,
小泉 /nr 22	 t, 姓/v, 小泉/nrjb, ，/w]
樱井 /nr 15	 [那个/rz, 樱井/nrjb, 已经/d
林田 /nr 10	  。/w], [林田/nrjb, 股长/n
宫下 /nr 10	  瞒不过/v, 宫下/nrjb, 先辈/n
那可 /nr 9	 , [“/w, 那可/nr, 对/p, 不
曜子 /nr 9	 d, 在/p, 曜子/nrjb, 那儿/r
叶山 /nr 9	  。/w], [叶山/nr, 广江/nrj
那你 /nr 9	 , [“/w, 那你/nr, 昨晚/t, 
金泽 /nr 9	  了/ule, 金泽/nrjb, ，/w]
秋代 /nr 8	  。/w], [秋代/nr, 一/m, 开
阿高 /nr 7	 , 和/cc, 阿高/nr, 两/m, 个
那是 /nr 7	  ？/w], [那是/nr, 情人节/t,
格蕾丝 /nr 7	 秘书/nnt, 格蕾丝/nrf, 成天/d,
上前 /nr 7	  [我/rr, 上前/nrjb, 关了/p
母亲 /nr 7	 , 她/rr, 母亲/nrjb, 在/p,
东野 /nr 7	 的/ude1, 东野/nrjb, 凭借/p
山下 /nr 6	  了/ule, 山下/nrjb, 夫妇/n
南波胜久 /nr 5	 e, “/w, 南波胜久/nrj, ”/w, 
川岛 /nr 5	 r, 说/v, 川岛/nrjb, ，/w]
桥本 /nr 5	 , 这位/r, 桥本/nrjb, 警官/n
东野圭吾 /nr 5	  )/w], [东野圭吾/nrj], [译者/
名刑警 /nr 5	 r, 两/m, 名刑警/nrj, ，/w],
堀内秋 /nr 5	 昌章往/nr, 堀内秋/nr, 代家/ns,
盛冈 /nr 4	 , 住在/v, 盛冈/nr, ，/w], 
言中 /nr 4	 的/ude1, 言中/nr, 之意/nz,
和典子 /nr 4	 美/nrjb, 和典子/nrj, 两/m, 
父亲 /nr 4	  。/w], [父亲/nrjb, 总/b,
山下昌 /nr 4	 , 名叫/v, 山下昌/nr, 章/q, 的
五郎 /nr 4	 a, 小/a, 五郎/nrjb, ，/w]
天下一 /nr 3	 侦探/nnd, 天下一/nrj, 大/a, 
那两名 /nr 3	 n, 为/p, 那两名/nr, 强盗/n, 
伸彦 /nr 3	  ，/w], [伸彦/nr, 你/rr, 
那对 /nr 3	  [之间/f, 那对/nr, 与/cc, 
塞得 /nr 3	  塑胶袋/n, 塞得/nrf, 满满当当/
刚想 /nr 3	  [我/rr, 刚想/nr, 闪身/v, 
中道 /nr 3	 , 名叫/v, 中道/nrjb, 升/v,
回可 /nr 3	 [这/rzv, 回可/nr, 轮到/v, 
尼克 /nr 3	 , 朋友/n, 尼克/nrf, 那里/rz
那还 /nr 3	 宾馆/nis, 那还/nr, 了得/a, 
老太太 /nr 3	  那个/rz, 老太太/nrjb, 的/ud
那名 /nr 3	 , 确认/v, 那名/nr, 刑警/nnt
川岛先生 /nr 3	 , [“/w, 川岛先生/nrj, ，/w],
那就怪 /nr 2	 , [“/w, 那就怪/nr, 了/ule,
上一夜 /nr 2	 过/uguo, 上一夜/nrj, ，/w],
才会 /nr 2	 这/rzv, 回才会/nr, 被/pbei
那一种 /nr 2	 的/ude1, 那一种/nr, ，/w], 
都是 /nr 2	  那些/rz, 都是/nr, 泡沫经济/n
和智 /nr 2	  典子/nz, 和智/nrjb, 美/b,
那波 /nr 2	  ，/w], [那波/nr, 稍稍/d, 
那枚 /nr 2	 的/ude1, 那枚/nr, 圆形/n, 
那件 /nr 2	  了/ule, 那件/nr, 一直/d, 
钱也 /nr 2	 的/ude1, 钱也/nr, 抢/v, ！
林田先生可 /nr 2	  ，/w], [林田先生可/nrj, 真是/d,
佐藤 /nr 2	 q, 姓/v, 佐藤/nrjb, 的/ud
那张 /nr 2	  。/w], [那张/nr, 剪报/n, 
全无 /nr 2	  [心绪/n, 全无/nr, 。/w], 
多久 /nr 2	  了/ule, 多久/nrjb, ？/w]
与尚美 /nr 2	 v, 在/p, 与尚美/nrj, 共同/d,
普克亚 /nr 2	 , 普/ag, 普克亚/nrf, ，/w],
小泉先生 /nr 2	 , [“/w, 小泉先生/nrj, 常常/d,
山下先生 /nr 2	 d, 同/p, 山下先生/nrj, 见过面/l
回房 /nr 2	 [我们/rr, 回房/nr, 冲了/p, 
才道 /nr 2	  ，/w], [才道/nr, ：/w, “
泰德 /nr 2	  ，/w], [泰德/nrf, 。/w],
那副 /nr 2	  小时候/n, 那副/nr, 纯真无邪/i
东野先生 /nr 2	 的/ude1, 东野先生/nrj, 气质/n,
来玩 /nr 2	 , 我家/n, 来玩/nr, 。/w], 
阿丰 /nr 2	 , [“/w, 阿丰/nr, 你/rr, 
宫泽理惠子 /nr 2	 , [“/w, 宫泽理惠子/nrj, 。/w],
原地 /nr 2	 d, 在/p, 原地/nrjb, 站/vi
那又 /nr 2	  ，/w], [那又/nr, 怎么样/ry
片冈先生 /nr 2	 , [“/w, 片冈先生/nrj, 连/uli
代小姐 /nr 2	 堀内秋/nr, 代小姐/nrj, 。/w],
杰克雷蒙 /nr 2	 d, 像/v, 杰克雷蒙/nrf, 那样/rz
那一晚 /nr 2	 d, 比/p, 那一晚/nr, 更为/d, 
塔尼亚巴 /nr 2	 的/ude1, 塔尼亚巴/nrf, 先生/n,
那座 /nr 2	  ，/w], [那座/nr, 灯塔/n, 
回旅馆 /nr 2	 , 还是/c, 回旅馆/nrj, 去/vf,
起尚美 /nr 2	 , 怀疑/v, 起尚美/nrj, 来/vf,
和田 /nr 2	 p, 十/m, 和田/nrjb, 湖/n,
宫下先生 /nr 2	 的/ude1, 宫下先生/nrj, 。/w],
那也 /nr 2	 , [“/w, 那也/nr, 顺便/d, 
迪斯科 /nr 2	 i, 在/p, 迪斯科/nrf, 舞厅/ni
山田 /nr 2	 , 闯入/v, 山田/nrjb, 老人/n
