日高 /nr 480	  。/w], [日高/nrjb, 家/q,
野野口 /nr 169	 , [“/w, 野野口/nrjb, 先生/n
日高邦彦 /nr 124	 f, 往/p, 日高邦彦/nrj, 的/ude
野野口修 /nr 124	  章　/nr, 野野口修/nrj, 的/ude
初美 /nr 90	 名叫/v, 日高初美/nrj, ，/w],
加贺刑警 /nr 79	 [”/w], [加贺刑警/nrj, 看来/v,
理惠 /nr 71	 的/ude1, 理惠/nrjb, ，/w]
藤尾 /nr 55	 , [“/w, 藤尾/nrjb, 小姐/n
日高理惠 /nr 41	  ，/w], [日高理惠/nrj, 曾经/d,
日高先生 /nr 37	 那时/rzt, 日高先生/nrj, 有/vyo
藤尾美弥子 /nr 33	 ……/w], [藤尾美弥子/nrj, 吗/y, 
日高初美 /nr 29	 , 名叫/v, 日高初美/nrj, ，/w],
前野 /nr 27	 , 叫做/v, 前野/nrjb, 。/w]
滨冈 /nr 23	 v, 做/v, 滨冈/nrjb, 的/ud
章　 /nr 18	 之/uzhi, 章　/nr, 野野口修/n
大岛 /nr 17	 的/ude1, 大岛/nrjb, 。/w]
冰之 /nr 17	 r, 《/w, 冰之/nr, 扉/n, 》
和野 /nr 16	 弥子/nrj, 和野/nrjb, 野口修/
山冈 /nr 15	 , [以/p, 山冈/nrjb, 同学/n
母亲 /nr 15	 的/ude1, 母亲/nrjb, 和/cc
野野口先生 /nr 14	  ，/w], [野野口先生/nrj, ，/w],
那是 /nr 12	  。/w], [那是/nr, 一/m, 间
于是我 /nr 11	  。/w], [于是我/nr, 大略/n, 
那本 /nr 11	 的/ude1, 那本/nr, 小说/n, 
那卷 /nr 11	 的/ude1, 那卷/nr, 讲/v, 的
牧村刑警 /nr 10	 [”/w], [牧村刑警/nrj, 附和/v,
恭一郎 /nr 10	  加贺/ns, 恭一郎/nrjb, 的/ud
才对 /nr 9	 n, ”/w, 才对/nr, 。/w], 
和藤 /nr 9	  [恐怕/d, 和藤/nrjb, 尾美/n
国中时代 /nr 8	 j, 在/p, 国中时代/nrj, 遭受/v,
那所 /nr 8	 的/ude1, 那所/nr, 中学/nis
尾美 /nr 8	 藤/nrjb, 尾美/nrjb, 弥/ag
刀根 /nr 8	 , 名叫/v, 刀根/nr, 的/ude1
广辞苑 /nr 7	 z, 《/w, 广辞苑/nr, 》/w, 上
那孩子 /nr 6	  ，/w], [那孩子/nr, 好像/v, 
那件 /nr 6	  ，/w], [那件/nr, 围裙/n, 
筱田 /nr 6	 n, 姓/v, 筱田/nrjb, ，/w]
多久 /nr 6	 , 没有/v, 多久/nrjb, ，/w]
才行 /nr 6	 , 推断/v, 才行/nr, 。/w], 
那你 /nr 6	 , [“/w, 那你/nr, 把/pba,
中冢 /nr 5	  未婚夫/n, 中冢/nrjb, 忠/vg
童子社 /nr 5	 是/vshi, 童子社/nr, 的/ude1
那张 /nr 5	  ，/w], [那张/nr, 存有/v, 
都是 /nr 5	 1, 人/n, 都是/nr, 这样/rzv
父亲 /nr 5	 的/ude1, 父亲/nrjb, 早/a,
仁科 /nr 5	 画家/nnd, 仁科/nrjb, 和/cc
田警部 /nr 5	  [迫/vg, 田警部/nr, 走/v, 了
一本书 /nr 4	 , 我/rr, 一本书/nrj, 。/w],
才会 /nr 4	 [他们/rr, 才会/nr, 采取行动/n
林田 /nr 4	 , [【/w, 林田/nrjb, 顺/v,
和初美 /nr 4	  邦彦/nz, 和初美/nrj, 的/ude
校长 /nr 4	 , 只有/c, 校长/nrjb, 一/m,
都有 /nr 4	 m, 个/q, 都有/nr, 不/d, 在
全是我 /nr 4	 , 作品/n, 全是我/nr, 写/v, 的
仁科和哉 /nr 4	  调查/vn, 仁科和哉/nrj, 的/ude
那名 /nr 4	 的/ude1, 那名/nr, 女士/n, 
贝利纽 /nr 3	 r, ·/w, 贝利纽/nrf, 【/w, 
日高一 /nr 3	  [等到/v, 日高一/nrj, 进入/v,
高平 /nr 3	 i, 日/b, 高平/nr, 日/b, 调
全是 /nr 3	  ，/w], [全是/nr, 外子/n, 
时光 /nr 3	 , 因为/c, 时光/nrjb, 的/ud
那起 /nr 3	 的/ude1, 那起/nr, 意外/a, 
那可 /nr 3	 , [“/w, 那可/nr, 否/vg, 
那只 /nr 3	  ，/w], [那只/nr, 猫/n, 可
藤原 /nr 3	 老师/nnt, 藤原/nrjb, 负责/v
才是 /nr 3	  [我/rr, 才是/nr, 。/w], 
弥子 /nr 3	 w], [藤尾美弥子/nrj, 吗/y, 
都是我 /nr 3	  ，/w], [都是我/nr, 哥/n, 的
平吉 /nr 3	 n, 村/n, 平吉/nr, 的话/udh
大岛先生 /nr 3	 的/ude1, 大岛先生/nrj, 做/v, 
美丽 /nr 3	  座落在/i, 美丽/nrjb, 整齐/a
那方 /nr 3	 的/ude1, 那方/nr, 书架/n, 
一角 /nr 3	 , 书桌/n, 一角/nrjb, 的/ud
关川 /nr 2	 , [“/w, 关川/nr, ？/w], 
任谁 /nr 2	  ？/w], [任谁/nr, 都/d, 可
藤尾小姐 /nr 2	 的/ude1, 藤尾小姐/nrj, ，/w],
那就先 /nr 2	  ，/w], [那就先/nr, 这样/rzv
道场 /nr 2	 , 来到/v, 道场/nrjb, 。/w]
三本书 /nr 2	 m, 、/w, 三本书/nrj, 的/ude
张数 /nr 2	 的/ude1, 张数/nr, 。/w], 
日高邦彦先生 /nr 2	 , 认识/v, 日高邦彦先生/nrj, 对/p, 
西阵 /nr 2	 是/vshi, 西阵/nr, 织/v, 【
那也 /nr 2	 , [“/w, 那也/nr, 没有/v, 
那跟 /nr 2	  [难道/d, 那跟/nr, 案情/n, 
曾听 /nr 2	 d, 不/d, 曾听/nr, 外子/n, 
曾跟 /nr 2	  [我/rr, 曾跟/nr, 加贺刑警/n
那会 /nr 2	  ，/w], [那会/nr, 是/vshi
那两人 /nr 2	  。/w], [那两人/nr, 的/ude1
洋灯 /nr 2	 s, “/w, 洋灯/nr, ”/w, ，
那是我 /nr 2	 w, “/w, 那是我/nr, 出于/v, 
都跟你 /nr 2	  [他/rr, 都跟你/nr, 说/v, 还
静子 /nr 2	 野/nrjb, 静子/nrjb, ，/w]
都说 /nr 2	  ？/w], [都说/nr, 些/q, 什
佩斯利 /nr 2	 m, 条/q, 佩斯利/nrf, 花呢/n,
真教我 /nr 2	 [这/rzv, 真教我/nr, 意外/a, 
门孔 /nr 2	 , 透过/v, 门孔/nr, 看到/v, 
中学时代 /nr 2	 的/ude1, 中学时代/nrj, 。/w],
才好 /nr 2	 说什么/nz, 才好/nr, 。/w], 
加贺刑警将 /nr 2	 , [”/w, 加贺刑警将/nrj, 身体/n,
于是你 /nr 2	  。/w], [于是你/nr, 决定/v, 
