美和 /nr 11	  了/ule, 美和/nrjb, 子/ng
那粒 /nr 2	 的/ude1, 那粒/nr, ，/w], 
有准子 /nr 2	 所/usuo, 有准子/nrj, 动过手脚/
浪冈准子 /nr 2	 t, ：/w, 浪冈准子/nrj, 被/pbe
西口 /nr 2	 , ——/w, 西口/nrjb, ——/w
高在 /nr 1	 t, 穗/b, 高在/nr, 美和/nrj
东野圭吾 /nr 1	 是/vshi, 东野圭吾/nrj, 的/ude
向教授 /nr 1	 , 我/rr, 向教授/nr, 您/rr, 
那两人 /nr 1	 , 剩下/v, 那两人/nr, 就/d, 无
筋了 /nr 1	 v, 脑/n, 筋了/nrj, 。/w],
弘在 /nr 1	 z, 贵/a, 弘在/nr, 婚礼/n, 
副教授了 /nr 1	 , 升到/v, 副教授了/nrj, 啊/y, 
那封 /nr 1	 的/ude1, 那封/nr, 威胁/vn,
那你先 /nr 1	  ！/w], [那你先/nr, 说说看/nz
弘也 /nr 1	 z, 贵/a, 弘也/nr, 把/pba,
弘并 /nr 1	 z, 贵/a, 弘并/nr, 没有/v, 
