沙都子 /nr 540	  。/w], [沙都子/nrj, 正面/b,
藤堂 /nr 243	  。/w], [藤堂/nrjb, ，/w]
祥子 /nr 228	 w, “/w, 祥子/nrjb, 怎么/r
若生 /nr 206	 的/ude1, 若生/nrjb, 勇/ag
佐山 /nr 54	 v, 姓/v, 佐山/nrjb, ，/w]
父亲 /nr 46	 的/ude1, 父亲/nrjb, 相原/n
三岛亮子 /nr 39	 的/ude1, 三岛亮子/nrj, 。/w],
矢口 /nr 37	 , [“/w, 矢口/nrjb, 吗/y,
森田 /nr 34	 n, 姓/v, 森田/nrjb, ，/w]
和波 /nr 26	 都子/nrj, 和波/nrjb, 香/a,
南泽雅子 /nr 25	 着/uzhe, 南泽雅子/nrj, 用/p, 
白鹭庄 /nr 24	 v, “/w, 白鹭庄/nr, ”/w, 。
和藤 /nr 20	 子/nrjb, 和藤/nrjb, 堂/ng
广次 /nr 17	  。/w], [广次/nr, 本来/d, 
三岛 /nr 16	 , [“/w, 三岛/nrjb, 攻击/v
南泽 /nr 14	 , 去找/v, 南泽/nrjb, 老师/n
秋川 /nr 13	 的/ude1, 秋川/nrjb, 义孝/n
金井波 /nr 13	 是/vshi, 金井波/nr, 香/a, 在
达也 /nr 12	 , 和/cc, 达也/nrjb, 的/ud
和祥子 /nr 12	 n, 香/a, 和祥子/nrj, 住/vi,
相原 /nr 11	 亲/nrjb, 相原/nrjb, 广/a,
那是 /nr 11	  。/w], [那是/nr, 一/m, 支
牧村小姐 /nr 11	 是/vshi, 牧村小姐/nrj, 的/ude
道场 /nr 11	 的/ude1, 道场/nrjb, 练剑/n
练剑 /nr 11	  [不再/d, 练剑/nr, ，/w], 
都子 /nr 9	 。/w], [沙都子/nrj, 正面/b,
才对 /nr 9	 , 放弃/v, 才对/nr, 。/w], 
金井小姐 /nr 9	 w, “/w, 金井小姐/nrj, ，/w],
佐山刑警 /nr 9	  了/ule, 佐山刑警/nrj, 的/ude
恭一郎 /nr 9	 [加贺/ns, 恭一郎/nrjb, 得到/v
高中时 /nr 9	  [和/cc, 高中时/nr, 一模一样/a
加贺一 /nr 8	 [”/w], [加贺一/nrj, 听/v, 
古川 /nr 8	 的/ude1, 古川/nrjb, 智子/n
母亲 /nr 8	  [亲生/b, 母亲/nrjb, 生下/n
清水 /nr 8	 的/ude1, 清水/nrjb, 在/p,
沙都子一 /nr 8	  。/w], [沙都子一/nrj, 走近/v,
和沙 /nr 8	 n, 香/a, 和沙/nrjb, 都子/n
波香 /nr 7	 j, 向/p, 波香/nr, 笑着/vi,
加贺将 /nr 6	 , [”/w, 加贺将/nrj, 簿子/n,
金井 /nr 6	 的/ude1, 金井/nr, 波/n, 香
泽雅 /nr 6	 z, 南/b, 泽雅/nrf, 子/ng,
斋藤 /nr 6	 , 叫/vi, 斋藤/nrjb, 。/w]
那件 /nr 5	 的/ude1, 那件/nr, “/w, 白
正彦 /nr 5	 叫/vi, 藤堂正彦/nrj, ，/w],
伊泽 /nr 4	 , 和/cc, 伊泽/nr, 华江/ns,
工学系 /nr 4	 , 机械/n, 工学系/nrj, 、/w, 
都是 /nr 4	  ，/w], [都是/nr, 在/p, 这
花和 /nr 4	  拿着/vf, 花和/nr, 月/n, 牌
儿玉 /nr 4	 的/ude1, 儿玉/nr, 。/w], 
依波 /nr 4	  [众人/n, 依波/nrf, 香/a, 
初花 /nr 4	 v, “/w, 初花/nr, ”/w, 。
登纪子 /nr 4	 村/nrjb, 登纪子/nrjb, 大步/d
雪铁龙 /nr 4	 , 红色/n, 雪铁龙/nrf, 进入/v,
牧村祥子 /nr 4	 [以及/cc, 牧村祥子/nrj, 都/d, 
常去 /nr 4	 , 还是/c, 常去/nr, 她家/r, 
沙都子知道 /nr 3	  。/w], [沙都子知道/nrj, ，/w],
相上段 /nr 3	 的/ude1, 相上段/nr, 对峙/vi,
藤堂正彦 /nr 3	 , 叫/vi, 藤堂正彦/nrj, ，/w],
可可 /nr 3	 , 杯/ng, 可可/nrf, 。/w],
沙都子将 /nr 3	 [”/w], [沙都子将/nrj, 自己/rr
本部 /nr 3	  ，/w], [本部/nrjb, 就/d,
沙都子等 /nr 3	  。/w], [沙都子等/nrj, 六/m, 
那名 /nr 3	  [和/cc, 那名/nr, 陌生/a, 
执行 /nr 3	 q, 人/n, 执行/nrjb, 。/w]
向你 /nr 3	 c, 在/p, 向你/nr, 求婚/vi,
加贺望 /nr 3	  。/w], [加贺望/nrj, 着/uzh
那名女 /nr 2	  。/w], [那名女/nr, 社员/nnt
门和 /nr 2	 q, 纸/n, 门和/nr, 起居室/n,
双掌 /nr 2	  ，/w], [双掌/nr, 交/v, 握
松原 /nr 2	 是/vshi, 松原/nrjb, 教授/n
张数 /nr 2	 把/pba, 那张数/nr, 字牌/nz,
开祥子 /nr 2	 v, 打/v, 开祥子/nrj, 的/ude
才说 /nr 2	 一会儿/mq, 才说/nr, ：/w, “
香小姐 /nr 2	 金井波/nr, 香小姐/nrj, 喝/vg,
那中年 /nr 2	  。/w], [那中年/nr, 的/ude1
上前 /nr 2	 n, 香/a, 上前/nrjb, 拿/v,
为祥子 /nr 2	 , 去/vf, 为祥子/nrj, 祈祷/v,
那张 /nr 2	 [把/pba, 那张/nr, 替换/v, 
年约 /nr 2	  一个/mq, 年约/nr, 三十五/m,
