未绪 /nr 519	  。/w], [未绪/nrjb, 紧握着/
尾田 /nr 233	 , 传来/v, 尾田/nrjb, 康城/n
太田 /nr 215	 , 叫/vi, 太田/nrjb, 的/ud
柳生 /nr 169	  ，/w], [柳生/nrjb, 讲/v,
亚希子 /nr 160	 , [“/w, 亚希子/nrjb, 呢/y,
靖子 /nr 158	 /ule, 森井靖子/nrj, 的/ude
富井 /nr 90	 , 上司/n, 富井/nrjb, 警官/n
风间 /nr 89	 , 叫/vi, 风间/nrjb, 利/n,
妙子 /nr 70	  中野/ns, 妙子/nrjb, 朝/tg
高柳 /nr 54	  。/w], [高柳/nrjb, 芭蕾舞团
绀野 /nr 51	 , [“/w, 绀野/nrjb, 健彦/n
青木 /nr 44	 v, ‘/w, 青木/nrjb, 不动产/
小林 /nr 41	 t, 、/w, 小林/nrjb, 副/b,
森井靖子 /nr 40	  了/ule, 森井靖子/nrj, 的/ude
石神 /nr 28	 , 天/qt, 石神/nrjb, 井/n,
父亲 /nr 26	 [”/w], [父亲/nrjb, 政/ng
高柳静子 /nr 26	  ，/w], [高柳静子/nrj, 抬起/v,
浅冈 /nr 24	 是/vshi, 浅冈/nrjb, 未绪/n
静子 /nr 23	 /w], [高柳静子/nrj, 抬起/v,
奥罗拉 /nr 22	 的/ude1, 奥罗拉/nrf, 公主/nn
森林 /nr 20	 的/ude1, 森林/nrjb], [第一
孝志 /nr 18	 w, “/w, 孝志/nr, 就/d, 我
齐藤叶 /nr 17	  。/w], [齐藤叶/nr, 琉/n, 子
和叶 /nr 14	 , 我/rr, 和叶/nrjb, 琉/n,
坂木 /nr 12	 的/ude1, 坂木/nrjb, 和高/n
齐藤 /nr 12	 的/ude1, 齐藤/nr, 芭蕾/n, 
托马斯 /nr 11	 /vn, 约翰·托马斯/nrf, 也/d, 
和夫 /nr 11	 木/nrjb, 和夫/nrjb, 在/p,
青木一 /nr 11	  [叫/vi, 青木一/nrj, 弘/nz,
和高 /nr 10	  [我/rr, 和高/nrjb, 柳/ng
弗洛丽娜 /nr 10	 是/vshi, 弗洛丽娜/nrf, 公主/nn
康成 /nr 9	 田/nrjb, 康成/nr, 拍/v, 了
和亚希子 /nr 8	 绪/nrjb, 和亚希子/nrj, 。/w],
健彦 /nr 8	 野/nrjb, 健彦/nr, ，/w], 
才对 /nr 7	 的/ude1, 才对/nr, 。/w], 
森井 /nr 7	 , [“/w, 森井/nrjb, ……/w
那是 /nr 7	  。/w], [那是/nr, 一个/mq,
卡拉 /nr 7	 , 妖怪/n, 卡拉/nrf, 波斯/ns
洛桑 /nr 6	 , [“/w, 洛桑/nrf, 芭蕾/n,
广江 /nr 6	 亲/nrjb, 广江/nrjb, 不住/d
利之 /nr 5	 n, 间/f, 利之/nr, 之间/f, 
真想 /nr 5	 , [“/w, 真想/nr, 拌/v, 蛋
中野妙子 /nr 4	 教练/nnt, 中野妙子/nrj, 。/w],
那件 /nr 4	 , 一下/m, 那件/nr, 衬衫/n, 
和未绪 /nr 4	  。/w], [和未绪/nrj, 在/p, 
菅原 /nr 4	 , 名叫/v, 菅原/nrjb, ，/w]
那张 /nr 4	 的/ude1, 那张/nr, 芭蕾舞/n,
都说 /nr 4	  。/w], [都说/nr, 为了/p, 
弗洛丽娅 /nr 4	 , 和/cc, 弗洛丽娅/nrf, 公主/nn
横滨 /nr 4	 的/ude1, 横滨/nrjb, 公演/v
美丽 /nr 4	  。/w], [美丽/nrjb, 的/ud
本间 /nr 4	 , 叫/vi, 本间/nrjb, 的/ud
母亲 /nr 3	  ，/w], [母亲/nrjb, 广江/n
迪吉瑞 /nr 3	 , 和/cc, 迪吉瑞/nrf, 王子/ns
加贺一 /nr 3	 , [”/w, 加贺一/nrj, 问/v, 
余光 /nr 3	 v, 用/p, 余光/nr, 环顾/v, 
贵子 /nr 3	 , [“/w, 贵子/nrjb, ，/w]
加贺先生 /nr 3	 v, “/w, 加贺先生/nrj, ”/w, 
小薰 /nr 2	 , 和/cc, 小薰/nrj, 在/p, 
谢谢啦 /nr 2	 v, “/w, 谢谢啦/nr, ”/w, ，
谢谢你 /nr 2	 [”/w], [谢谢你/nr, ，/w], 
那起 /nr 2	 , 发生/v, 那起/nr, 正当防卫/n
多久 /nr 2	  能活/nz, 多久/nrjb, 了/ul
华尔兹 /nr 2	 , 跳起/v, 华尔兹/nrf, 的/ude
那两人 /nr 2	 , [“/w, 那两人/nr, 是/vshi
恭一郎 /nr 2	 是/vshi, 恭一郎/nrjb, 。/w]
安藤 /nr 2	 的/ude1, 安藤/nrjb, 副教授/
街道 /nr 2	 的/ude1, 街道/nrjb, 上/f,
康城 /nr 2	 田/nrjb, 康城/nr, 那/rzv,
代代木 /nr 2	 n, 在/p, 代代木/nrf, 公园/n,
那又 /nr 2	 , [“/w, 那又/nr, 没有/v, 
和中 /nr 2	 [加贺/ns, 和中/nrjb, 野妙子/
为了学 /nr 2	  ，/w], [为了学/nrj, 绘画/n,
伦敦 /nr 2	 , 还有/v, 伦敦/nrf, 。/w],
宫本清美 /nr 2	 , 叫/vi, 宫本清美/nrj, ，/w],
金丝边 /nr 2	 , 框/ng, 金丝边/nr, 眼镜/n, 
浅冈未绪 /nr 2	 是/vshi, 浅冈未绪/nrj, ，/w],
