慎介 /nr 1458	 n, 村/n, 慎介/nr, 丧失/v, 
木内 /nr 270	 , [“/w, 木内/nrjb, 春/tg
成美 /nr 193	 是/vshi, 成美/nrjb, 来/vf
瑠璃 /nr 144	 , [“/w, 瑠璃/nrjb, 色/ng
岸中 /nr 82	  。/w], [岸中/nrjb, 死/v,
美菜 /nr 68	 /w], [岸中美菜/nrj, 绘/v, 
千都 /nr 65	 妈妈桑/nz, 千都/nrjb, 子/ng
由佳 /nr 64	 r, 送/v, 由佳/nrjb, 回家/v
岸中玲 /nr 57	 , 与/cc, 岸中玲/nrj, 二/m, 
岸中美菜 /nr 43	  ，/w], [岸中美菜/nrj, 绘/v, 
樫本 /nr 35	 是/vshi, 樫本/nrjb, 干/v,
茗荷 /nr 33	 i, ‘/w, 茗荷/nrjb, ’/w,
江岛先生 /nr 28	 , [“/w, 江岛先生/nrj, 今天/t,
和木 /nr 16	  任何/rz, 和木/nrjb, 内/f,
小慎 /nr 15	 , [“/w, 小慎/nr, ！/w], 
朋美 /nr 14	  ，/w], [朋美/nrjb, 小姐/n
慎介点 /nr 14	 , [”/w, 慎介点/nr, 了/ule,
秋山 /nr 13	 , [”/w, 秋山/nrjb, 警官/n
父亲 /nr 13	  。/w], [父亲/nrjb, 那时/r
汤口 /nr 12	 [”/w], [汤口/nrjb, 律师/n
法拉利 /nr 12	 , 红色/n, 法拉利/nrf, 。/w],
坂卷 /nr 11	 , 叫做/v, 坂卷/nrjb, 的/ud
马克杯 /nr 11	 m, 个/q, 马克杯/nr, ，/w], 
高桥 /nr 11	 , [”/w, 高桥/nrjb, 问/v,
滨町 /nr 11	 s, 桥/n, 滨町/nrjb, ……/w
那是 /nr 9	  。/w], [那是/nr, 一/m, 辆
村先生 /nr 9	 w, 雨/n, 村先生/nrj, ，/w],
是木 /nr 9	 d, 都/d, 是木/nrjb, 内/f,
爱梨 /nr 9	 , 叫做/v, 爱梨/nrjb, 的/ud
慎介摇 /nr 9	 , [”/w, 慎介摇/nr, 了/ule,
才对 /nr 8	 , 时候/n, 才对/nr, 。/w], 
奇特 /nr 8	 c, 太/d, 奇特/nrf, 少见/a,
堀田纯一 /nr 8	 是/vshi, 堀田纯一/nrj, 同学/n,
慎介没 /nr 7	  。/w], [慎介没/nr, 办法/n, 
多久 /nr 7	 , 不知/v, 多久/nrjb, 没有/v
慎介一 /nr 7	  ？/w], [慎介一/nr, 把/pba,
莱姆 /nr 6	 m, 口/n, 莱姆/nrf, 伏特加/n
岸中先生 /nr 6	 是/vshi, 岸中先生/nrj, 的/ude
慎介正 /nr 6	 这时/rzt, 慎介正/nr, 打算/v, 
母亲 /nr 6	 v, 做/v, 母亲/nrjb, 的/ud
慎介并 /nr 5	  [其实/d, 慎介并/nr, 不是/c, 
那名 /nr 5	  。/w], [那名/nr, 客人/n, 
那你 /nr 5	  ，/w], [那你/nr, 现在/t, 
马丁尼 /nr 4	  辛口/nr, 马丁尼/nrf, 。/w],
才会 /nr 4	  ，/w], [才会/nr, 拼了命/l,
久等了 /nr 4	 , 您/rr, 久等了/nrj, 。/w],
成岸 /nr 4	  变身/nz, 成岸/nr, 中美/n, 
清洲桥 /nr 4	 , 抵达/v, 清洲桥/nr, 道/qv, 
那件 /nr 4	  不论是/c, 那件/nr, 长/a, 下
慎介来 /nr 4	 的/ude1, 慎介来/nr, 说/v, ，
向慎介 /nr 4	 , 塚/nz, 向慎介/nr, 确认/v, 
卡拉 /nr 4	 f, 唱/v, 卡拉/nrf, OK/nx
亚历山大 /nr 4	 , 叫/vi, 亚历山大/nrf, 。/w],
门后 /nr 4	 i, 在/p, 门后/nr, 。/w], 
那是一 /nr 4	  。/w], [那是一/nr, 抹/v, 自
轩尼诗 /nr 3	 来一杯/nr, 轩尼诗/nrf, 吗/y, 
慎介边 /nr 3	  。/w], [慎介边/nr, 解开/v, 
与瑠璃子 /nr 3	 r, 想/v, 与瑠璃子/nrj, 更/d, 
于是我 /nr 3	  ，/w], [于是我/nr, 就/d, 来
施力 /nr 3	 , 可以/v, 施力/nr, 旋转/vi,
那支 /nr 3	 a, 让/v, 那支/nr, 手机/n, 
慎介才 /nr 3	  ，/w], [慎介才/nr, 注意到/v,
和美 /nr 3	 r, 没/d, 和美/nrjb, 菜/n,
纯一 /nr 3	  ，/w], [纯一/nrjb, ，/w]
板子 /nr 3	 的/ude1, 板子/nrjb, 。/w]
慎介和 /nr 3	 [”/w], [慎介和/nr, 警官/nnt
那道 /nr 3	  。/w], [那道/nr, 黑影/n, 
慎介先 /nr 3	 , [请/v, 慎介先/nr, 帮/v, 她
慎你 /nr 3	 w, 小/a, 慎你/nr, 啊/y, …
原地 /nr 3	 z, 在/p, 原地/nrjb, 的/ud
慎介答 /nr 3	 , [”/w, 慎介答/nr, 。/w], 
那是你 /nr 3	  。/w], [那是你/nr, 的/ude1
汤口先生 /nr 2	 ……/w], [汤口先生/nrj, 吧/y, 
沙龙 /nr 2	  美容/vn, 沙龙/nrf, 用/p, 
慎介会 /nr 2	 , 担心/v, 慎介会/nr, 来/vf, 
小成 /nr 2	 , 好友/n, 小成/nr, ，/w], 
边说 /nr 2	 , 准备/v, 边说/nr, 。/w], 
钱藏 /nr 2	 [把/pba, 钱藏/nr, 在/p, 这
朝瑠璃子 /nr 2	  [不断/d, 朝瑠璃子/nrj, 的/ude
时光 /nr 2	 的/ude1, 时光/nrjb, ，/w]
那家人 /nr 2	  [最近/t, 那家人/nr, 的/ude1
于是慎 /nr 2	  。/w], [于是慎/nr, 介在/v, 
门就 /nr 2	  ，/w], [门就/nr, 交给/v, 
那张 /nr 2	 , 看过/v, 那张/nr, 长得/v, 
朝慎介 /nr 2	  [女人/n, 朝慎介/nr, 呼出/v, 
方也 /nr 2	 d, 对/p, 方也/nr, 注意到/v,
慎介仍 /nr 2	 , [当/p, 慎介仍/nr, 处于/v, 
闻言 /nr 2	 刑警/nnt, 闻言/nr, 脸色/n, 
向后 /nr 2	 [慎介/nr, 向后/nrjb, 靠/v,
都有 /nr 2	 学院/nis, 都有/nr, 。/w], 
辛口 /nr 2	 , [“/w, 辛口/nr, 马丁尼/nr
真清楚 /nr 2	 v, 还/d, 真清楚/nr, 。/w], 
拉门 /nr 2	 u, 扇/q, 拉门/nrf, 。/w],
永代 /nr 2	 w, 走/v, 永代/nr, 通/v, 可
一口凉 /nr 2	  了/ule, 一口凉/nrj, 气/n, 
永代桥 /nr 2	 的/ude1, 永代桥/nr, 。/w], 
双眉 /nr 2	 , 起/vf, 双眉/nr, 。/w], 
慎介直 /nr 2	  感觉到/v, 慎介直/nr, 盯着/v, 
金泽 /nr 2	 s, 县/n, 金泽/nrjb, 。/w]
都能 /nr 2	  [他/rr, 都能/nr, 自由行动/n
