菜穗子 /nr 766	  ，/w], [菜穗子/nrjb, 的/ud
真琴 /nr 509	 [”/w], [真琴/nrjb, 回答/v
高濑 /nr 190	 , 叫/vi, 高濑/nrjb, ，/w]
上条 /nr 131	 , [“/w, 上条/nrjb, 先生/n
江波 /nr 119	  ，/w], [江波/nr, 也好/y, 
村政 /nr 110	 b, 在/p, 村政/nr, 的/ude1
久留美 /nr 102	  [名叫/v, 久留美/nrjb, 。/w]
公一 /nr 82	 i, ‘/w, 公一/nrjb, ’/w,
之歌 /nr 66	 , 妈妈/n, 之歌/nrjb, 》/w,
石桥 /nr 42	 的/ude1, 石桥/nrjb, ，/w]
玛丽亚 /nr 41	 , [‘/w, 玛丽亚/nrf, 何时/ry
中村 /nr 40	 n, 姓/v, 中村/nrjb, ，/w]
川崎 /nr 38	  了/ule, 川崎/nrjb, 的/ud
佐纪 /nr 29	  [妻子/n, 佐纪/nrjb, 子/ng
板子 /nr 22	 的/ude1, 板子/nrjb, 。/w]
那件 /nr 20	 的/ude1, 那件/nr, 案子/n, 
那孩子 /nr 19	 , 留给/v, 那孩子/nr, 的/ude1
古川 /nr 19	 d, 姓/v, 古川/nrjb, 。/w]
吉尔 /nr 17	 , 与/cc, 吉尔/nrf, ’/w, 
杰克 /nr 17	 w, ‘/w, 杰克/nrf, 与/cc,
江波先生 /nr 17	 是/vshi, 江波先生/nrj, 。/w],
和高 /nr 15	 大夫/nnt, 和高/nrjb, 濑/ng
老鹅 /nr 14	 c, “/w, 老鹅/nr, 妈妈/n, 
保罗 /nr 13	 g, ·/w, 保罗/nrf, ’/w, 
原先生 /nr 13	 , 发现/v, 原先生/nrj, 的/ude
那张 /nr 11	 , 她/rr, 那张/nr, 一/m, 脸
山谷 /nr 11	 的/ude1, 山谷/nrjb, 中/f,
原公一先生 /nr 10	 , 那位/r, 原公一先生/nrj, 的/ude
桥下 /nr 10	 , 一眼/d, 桥下/nrjb, ，/w]
名刑警 /nr 10	  这/rzv, 名刑警/nrj, 与/cc,
回房 /nr 9	 , 之后/f, 回房/nr, 的/ude1
那副 /nr 7	 , 当时/t, 那副/nr, 光景/n, 
那女 /nr 7	  。/w], [那女/nr, 的/ude1
那事 /nr 7	 的/ude1, 那事/nr, ，/w], 
多久 /nr 6	 , 不了/v, 多久/nrjb, 你们/r
和菜穗子 /nr 5	 经理/nnt, 和菜穗子/nrj, 二/m, 
归家 /nr 5	 何时/ryt, 归家/nr, ……/w],
那是 /nr 5	  。/w], [那是/nr, 这间/r, 
那也 /nr 5	 , [“/w, 那也/nr, 就/d, 没
川崎一夫 /nr 5	 i, “/w, 川崎一夫/nrj, ”/w, 
启一 /nr 4	 , [“/w, 启一/nrjb, ，/w]
谢谢你 /nr 4	 , [“/w, 谢谢你/nr, 。/w], 
高濑先生 /nr 4	  ，/w], [高濑先生/nrj, 。/w],
夫太太 /nr 4	 c, 大/a, 夫太太/nrj, 交谈/vi
