汤川 /nr 695	 , 名叫/v, 汤川/nrjb, 的/ud
成实 /nr 582	 , [”/w, 成实/nr, 回答/v, 
西口 /nr 250	 i, 比/p, 西口/nrjb, 大/a,
冢原先生 /nr 120	 , 那位/r, 冢原先生/nrj, 吧/y, 
内海薰 /nr 109	 [”/w], [内海薰/nrj, 靠/v, 
矶部 /nr 97	 , 名叫/v, 矶部/nrjb, 的/ud
敬一 /nr 60	 亲/nrjb, 敬一/nr, 抿/v, 了
三宅伸子 /nr 56	 , 名叫/v, 三宅伸子/nrj, ，/w],
父亲 /nr 51	 , [”/w, 父亲/nrjb, 敬一/n
岩石 /nr 47	 q, 用/p, 岩石/nrjb, 做成/v
玲子 /nr 46	 [小关/nz, 玲子/nrjb, 睁大/v
穗积 /nr 36	  。/w], [穗积/nrjb, 一头/d
本部 /nr 31	 , 警/ng, 本部/nrjb, 也/d,
母亲 /nr 31	  ，/w], [母亲/nrjb, 由/p,
冢原太太 /nr 31	 w, 听/v, 冢原太太/nrj, 说/v, 
冢原正次 /nr 31	  。/w], [冢原正次/nrj, 。/w],
野野 /nr 30	 的/ude1, 野野/nr, 垣/ng, 
原先生 /nr 25	  那位/r, 冢原先生/nrj, 吧/y, 
野垣 /nr 23	 n, 野/b, 野垣/nr, 似乎/d, 
那是 /nr 21	  。/w], [那是/nr, 一/m, 种
安西 /nr 21	 e, “/w, 安西/nrjb, ”/w,
桑野 /nr 18	 的/ude1, 桑野/nr, ，/w], 
课长 /nr 17	  技术课/n, 课长/nrjb, 先为/d
川畑重治 /nr 16	 , 姑父/n, 川畑重治/nrj, 。/w],
仙波先生 /nr 16	  [当时/t, 仙波先生/nrj, 做事/vi
柴本 /nr 16	 v, “/w, 柴本/nr, 综合医院/n
那你 /nr 15	  ？/w], [那你/nr, 也/d, 没
间宫 /nr 14	 股长/nnt, 间宫/nrjb, 正/d,
和川 /nr 14	  自己/rr, 和川/nrjb, 畑/w,
那只 /nr 13	 的/ude1, 那只/nr, 塑料袋/n,
理惠 /nr 12	  ，/w], [理惠/nrjb, 就/d,
那张 /nr 12	 n, 里/f, 那张/nr, 包饭/v, 
山本 /nr 12	 , 叫/vi, 山本/nrjb, 。/w]
那件 /nr 11	 v, 对/p, 那件/nr, 案子/n, 
才对 /nr 10	 的/ude1, 才对/nr, 啊/y, 。
泽村一 /nr 10	  ，/w], [泽村一/nrj, 边/k, 
美丽 /nr 10	 v, 片/q, 美丽/nrjb, 的/ud
仙波 /nr 10	 /vyou, 关仙波/nr, 的/ude1
浦去 /nr 9	 , 玻璃/n, 浦去/nr, 了/ule,
川畑先生 /nr 9	  ，/w], [川畑先生/nrj, 的/ude
仙波一 /nr 9	  了/ule, 仙波一/nrj, 通/v, 
才会 /nr 8	  ，/w], [才会/nr, 放心/v, 
汤川先生 /nr 8	  。/w], [汤川先生/nrj, ，/w],
拉门 /nr 8	 的/ude1, 拉门/nrf, ，/w],
名古屋 /nr 8	  隶属于/v, 名古屋/nrjb, 分公司/
畑重治 /nr 8	  姑父/n, 川畑重治/nrj, 。/w],
田中 /nr 7	 , 自称/v, 田中/nrjb, 。/w]
川畑节子 /nr 7	 r, 让/v, 川畑节子/nrj, 带着/vn
关仙波 /nr 7	 有/vyou, 关仙波/nr, 的/ude1
原地 /nr 7	 i, 在/p, 原地/nrjb, 。/w]
西口心 /nr 7	  。/w], [西口心/nrj, 想/v, 
川畑太太 /nr 6	 , 住着/v, 川畑太太/nrj, 和/cc,
野野垣一 /nr 6	  。/w], [野野垣一/nrj, 脸/n, 
那处 /nr 6	 的/ude1, 那处/nr, 废墟/n, 
开发课长 /nr 6	 [4/m], [开发课长/nrj, 站/vi,
关川 /nr 5	 有/vyou, 关川/nr, 畑重治/nr
明知 /nr 5	 是/vshi, 明知/nrjb, 如此/r
成实心 /nr 5	  ，/w], [成实心/nrj, 想/v, 
内海 /nr 5	  。/w], [内海/nrjb, 也/d,
那孩子 /nr 5	 3, 找/v, 那孩子/nr, 询问/v, 
那画 /nr 5	  ，/w], [那画/nr, 就/d, 已
西口一 /nr 5	 d, 像/v, 西口一/nrj, 样/ng,
帕杰罗 /nr 5	 的/ude1, 帕杰罗/nrf, 。/w],
名刑警 /nr 5	 , 这位/r, 名刑警/nrj, 。/w],
那鱼 /nr 4	 , [“/w, 那鱼/nr, 叫/vi, 
浅草 /nr 4	 d, 往/p, 浅草/nrjb, 那边/r
谢谢你 /nr 4	  ？/w], [谢谢你/nr, 。/w], 
上野 /nr 4	 v, 到/v, 上野/nrjb, 公园/n
山谷 /nr 4	 r, 在/p, 山谷/nrjb, 下车/v
久等了 /nr 4	 , 你/rr, 久等了/nrj, 。/w],
成实一 /nr 4	 , [”/w, 成实一/nrj, 边/k, 
冢原先生一 /nr 4	  ，/w], [冢原先生一/nrj, 直/d, 
多多良管理官 /nr 4	 是/vshi, 多多良管理官/nrj, 吧/y, 
仙波了 /nr 4	 , 找到/v, 仙波了/nrj, ——/w,
多久 /nr 4	 , 不了/v, 多久/nrjb, 那位/r
浦来 /nr 4	 , 玻璃/n, 浦来/nr, 的/ude1
敬一一 /nr 4	  ，/w], [敬一一/nr, 边/k, 站
向成实 /nr 4	 , 似乎/d, 向成实/nr, 点头/vi,
指恭平 /nr 4	  了/ule, 指恭平/nrj, 的/ude
那可 /nr 3	  ，/w], [那可/nr, 就/d, 麻
那家人 /nr 3	 的/ude1, 那家人/nr, 在/p, 八
那户 /nr 3	  。/w], [那户/nr, 人家/n, 
畑小姐 /nr 3	  记得/v, 川畑小姐/nrj, 吗/y, 
内海薰一 /nr 3	  。/w], [内海薰一/nrj, 身/ng,
那所 /nr 3	 的/ude1, 那所/nr, 私立中学/n
向节子 /nr 3	  [他/rr, 向节子/nrj, 提议/v,
披萨 /nr 3	 的/ude1, 披萨/nrf, 店里/n,
冢原正次先生 /nr 3	  被害者/n, 冢原正次先生/nrj, 是/vsh
于是便 /nr 3	  ，/w], [于是便/nr, 在/p, 自
那本 /nr 3	 , 确定/v, 那本/nr, 电话簿/n,
浦港 /nr 3	 , 玻璃/n, 浦港/nr, 。/w], 
多多良一 /nr 3	  ，/w], [多多良一/nrj, 个人/n,
川畑小姐 /nr 3	 , 记得/v, 川畑小姐/nrj, 吗/y, 
物理学 /nr 3	 , [“/w, 物理学/nrj, 家/q, 
门后 /nr 3	  。/w], [门后/nr, 传来/v, 
那番 /nr 3	 的/ude1, 那番/nr, 证词/n, 
