葛原 /nr 75	 是/vshi, 葛原/nr, 。/w], 
门马 /nr 71	  。/w], [门马/nr, 重/a, 看
远藤 /nr 55	 , 看到/v, 远藤/nrjb, 苍白/a
滨崎 /nr 51	 老板/nnt, 滨崎/nr, 五郎/nrj
高屋 /nr 41	  》/w], [高屋/nr, 敷/v, 秀
金潮 /nr 30	 , 小说/n, 金潮/nr, 》/w, 月
樱木 /nr 29	 是/vshi, 樱木/nrjb, 。/w]
樱木弘子 /nr 17	 秘书/nnt, 樱木弘子/nrj, ，/w],
友引 /nr 16	  ，/w], [友引/nr, 传/v, 介
哈伯 /nr 14	 , 解释/v, 哈伯/nrf, 定律/n,
恩田 /nr 13	 所长/nnt, 恩田/nrf, 博士/nn
梅田房 /nr 12	 , [”/w, 梅田房/nr, 江/n, 微
青足河 /nr 11	 1, 《/w, 青足河/nr, 童/ng, 
金潮社 /nr 11	  ，/w], [金潮社/nr, 文艺/n, 
葛原先生 /nr 10	  [倒是/d, 葛原先生/nrj, ，/w],
要太郎 /nr 9	 木/nrjb, 要太郎/nrj, 的/ude
邸介 /nr 9	 q, 川/b, 邸介/nr, 书展/n, 
那是 /nr 8	 , [但/c, 那是/nr, 不锈钢/n,
爱因斯坦 /nr 8	  ，/w], [爱因斯坦/nrf, 错/v, 
次郎 /nr 8	  松岛/nz, 次郎/nrjb, 、/w,
文福 /nr 8	 r, 在/p, 文福/nr, 出版社/ni
一郎 /nr 8	 , 银/ng, 一郎/nrjb, 的/ud
金教授 /nr 8	 n, 法/n, 金教授/nr, 的/ude1
康正 /nr 8	 g, 见/v, 康正/nr, 肯定/v, 
曲球 /nr 7	 , [《/w, 曲球/nr, 》/w], 
真智子 /nr 7	  [杀死/v, 真智子/nrj, 的/ude
冰街 /nr 7	 , [《/w, 冰街/nr, 杀人/vi,
赤颜鬼 /nr 7	 p, 《/w, 赤颜鬼/nr, 》/w, 获
山庄 /nr 6	 , 白雪/n, 山庄/nrjb, 资产/n
昭和 /nr 6	 i, 在/p, 昭和/nrjb, 十/m,
清水 /nr 6	 t, 姓/v, 清水/nrjb, 。/w]
竹中 /nr 6	 , 喝/vg, 竹中/nr, 小姐/n, 
元木刑警 /nr 5	 , [”/w, 元木刑警/nrj, 问道/vi
田小文 /nr 5	  [猿/ng, 田小文/nr, 吾/rr, 
卡拉 /nr 5	 , 买了/v, 卡拉/nrf, OK/nx
江本 /nr 5	 的/ude1, 江本/nr, 。/w], 
贺和 /nr 5	  [芳/ag, 贺和/nr, 静香/nz,
那一段 /nr 4	 的/ude1, 那一段/nr, 。/w], 
沙龙 /nr 4	  美容/vn, 沙龙/nrf, 的/ude
竹中加世子 /nr 4	 b, 、/w, 竹中加世子/nrj, 的/ude
曼尼 /nr 4	 v, 亚/b, 曼尼/nrf, 的/ude
才会 /nr 4	 , 现在/t, 才会/nr, 这样/rzv
杉山 /nr 4	 , 名叫/v, 杉山/nr, 卓也/nrj
一本书 /nr 4	 , 每/rz, 一本书/nrj, 都/d, 
葛原万太郎 /nr 4	  ）/w], [葛原万太郎/nrj, 看着/v,
金子 /nr 4	 , 白色/n, 金子/nrjb, ”/w,
牟田 /nr 4	  》/w], [牟田/nrjb, 高志/n
大森 /nr 4	 编辑/nnt, 大森/nrf, 啦/y, 
母亲 /nr 4	 的/ude1, 母亲/nrjb, ，/w]
卓也 /nr 4	  杉山/nr, 卓也/nrjb, 的/ud
边说 /nr 3	  开门/vi, 边说/nr, 。/w], 
坂东先生 /nr 3	 d, 像/v, 坂东先生/nrj, 说/v, 
森林 /nr 3	 的/ude1, 森林/nrjb, 里/f,
松井家 /nr 3	 , 打到/v, 松井家/nr, ，/w], 
台小姐 /nr 3	 , 柜/ng, 台小姐/nrj, 。/w],
梅田 /nr 3	  。/w], [梅田/nr, 夫妇/n, 
芳贺将 /nr 3	  [昨晚/t, 芳贺将/nrj, 那/rzv
那一页 /nr 3	 的/ude1, 那一页/nr, 。/w], 
步下 /nr 3	  ，/w], [步下/nr, 楼梯/n, 
迈森 /nr 3	 的/ude1, 迈森/nrf, （/w, 
久等了 /nr 3	  你们/rr, 久等了/nrj, 、/w, 
爱伦坡 /nr 3	 是/vshi, 爱伦坡/nrf, 喔/o, 
岩石 /nr 3	 , 拍打/v, 岩石/nrjb, 的/ud
门马先生 /nr 3	  ，/w], [门马先生/nrj, 看过/v,
那也 /nr 3	  ，/w], [那也/nr, 要用/v, 
梅田健介 /nr 3	 , 听到/v, 梅田健介/nrj, 这么/rz
名刑警 /nr 3	 j, 两/m, 名刑警/nrj, 进屋/vi
房江 /nr 3	 的/ude1, 房江/nr, 还/d, 来
成一册 /nr 2	 d, 做/v, 成一册/nr, 。/w], 
友引和 /nr 2	  ，/w], [友引和/nr, 大安/n, 
来读 /nr 2	 g, 》/w, 来读/nr, ，/w], 
和夫 /nr 2	  竹中/nr, 和夫/nrjb, 也/d,
民宿 /nr 2	 , 西式/b, 民宿/nrjb, 而/cc
五郎 /nr 2	  滨崎/nr, 五郎/nrjb, 是/vs
于大正 /nr 2	  比赛/vn, 于大正/nr, 四/m, 年
达文西 /nr 2	  [宛如/v, 达文西/nrf, 笔下/n,
时曾 /nr 2	  喝醉/vi, 时曾/nr, 口齿不清/n
和贺先生 /nr 2	 , [”/w, 和贺先生/nrj, 向/p, 
川先生 /nr 2	 w, 颚/n, 川先生/nrj, 你们/rr
那是书 /nr 2	 , 知道/v, 那是书/nr, 的/ude1
那条 /nr 2	 , 松开/v, 那条/nr, 『/w, 鹈
千叶一 /nr 2	 , [”/w, 千叶一/nrj, 点/qt,
弓川姬子 /nr 2	 女舞者/nz, 弓川姬子/nrj, 时/qt,
摩里 /nr 2	 /v, 迈克生·摩里/nrf, 实验/vn
蒙娜丽莎 /nr 2	 的/ude1, 蒙娜丽莎/nrf, 般/uyy
村里望 /nr 2	 是/vshi, 村里望/nrj, 族/ng,
田家 /nr 2	 , 恩/ng, 田家/nrjb, 的/ud
岛袋一 /nr 2	 , [”/w, 岛袋一/nrj, 脸/n, 
田之仓伸 /nr 2	 的/ude1, 田之仓伸/nrj, 介/vg,
千叶将 /nr 2	 , [”/w, 千叶将/nrj, 脱下来/v
高屋敷先生 /nr 2	 侦探/nnd, 高屋敷先生/nrj, 吗/y, 
松井将 /nr 2	 , [”/w, 松井将/nrj, 冰淇淋/n
葛尔曼 /nr 2	 j, 家/q, 葛尔曼/nr, <Murra
文子 /nr 2	 1, 大/a, 文子/nr, 烧/vi, 
贺站 /nr 2	 , 芳/ag, 贺站/nr, 在/p, 旭
贺以 /nr 2	  [和/cc, 贺以/nr, 低沉/a, 
都是你 /nr 2	 , [“/w, 都是你/nr, 的/ude1
松井来 /nr 2	  ，/w], [松井来/nr, 通知/n, 
松井让 /nr 2	 [”/w], [松井让/nrj, 两/m, 
田谷 /nr 2	 , 世/ng, 田谷/nrjb, 区/n,
