汤川 /nr 302	 , 去/vf, 汤川/nrjb, 老师/n
直树 /nr 88	  。/w], [直树/nrjb, 对/p,
峰村 /nr 66	 , [”/w, 峰村/nrjb, 解释/v
细谷 /nr 64	  ，/w], [细谷/nrjb, 忠/vg
坂本 /nr 54	  [——/w, 坂本/nrjb, 信彦/n
弥生 /nr 39	 崎/nrjb, 弥生/nrjb, 。/w]
富由子 /nr 35	  ，/w], [富由子/nrj, 。/w],
牧田 /nr 32	 的/ude1, 牧田/nrjb, 偷/v,
矢岛 /nr 32	  被害者/n, 矢岛/nrjb, 忠/vg
由美子 /nr 32	 , 叫/vi, 由美子/nrjb, ，/w]
贵子 /nr 30	  。/w], [贵子/nrjb, 一/m,
菅原 /nr 27	 是/vshi, 菅原/nrjb, 的/ud
高野 /nr 27	  那个/rz, 高野/nr, 家/q, ，
森崎礼 /nr 26	 c, “/w, 森崎礼/nrj, 美/b, 
静子 /nr 25	  。/w], [静子/nrjb, 很少/a
长井清美 /nr 21	 [1/m], [长井清美/nrj, 穿着/n,
山下 /nr 19	 是/vshi, 山下/nrjb, 啊/y,
濑户 /nr 19	 [2/m], [濑户/nrjb, 富由子/
秋穗 /nr 19	 v, 给/p, 秋穗/nrjb, 买/v,
森崎 /nr 19	 d, ‘/w, 森崎/nrjb, ’/w,
信彦 /nr 18	 本/nrjb, 信彦/nrjb, ”/w,
坂井 /nr 18	  ，/w], [坂井/nrjb, 面朝/n
中本 /nr 16	 是/vshi, 中本/nrjb, 先生/n
樱井 /nr 16	 , 名叫/v, 樱井/nrjb, 真子/n
父亲 /nr 15	  美的/nz, 父亲/nrjb, 。/w]
朋子 /nr 13	 , 塚/nz, 朋子/nrjb, ，/w]
不二子 /nr 13	 vshi, 织田不二子/nrj, 的/ude
百合 /nr 12	 g, 下/f, 百合/nrjb, 打来/v
母亲 /nr 12	 , 她/rr, 母亲/nrjb, 起/vf
神崎 /nr 12	 , 名叫/v, 神崎/nrjb, 弥生/n
富子 /nr 11	 亲/nrjb, 富子/nrjb, 在/p,
铃木 /nr 10	 , [”/w, 铃木/nrjb, 和/cc
高野秀 /nr 10	 e, “/w, 高野秀/nr, ”/w, ，
那是 /nr 8	  ，/w], [那是/nr, 一/m, 种
物理学 /nr 8	  ，/w], [物理学/nrj, 家/q, 
真子 /nr 8	 井/nrjb, 真子/nrjb, ，/w]
那你 /nr 8	 , [“/w, 那你/nr, 有/vyou
矢岛贵子 /nr 7	 [4/m], [矢岛贵子/nrj, 突然/ad
老太太 /nr 7	 , 单身/n, 老太太/nrjb, 关系/n
田中 /nr 7	 是/vshi, 田中/nrjb, 次郎/n
千晶 /nr 7	 , 前田/n, 千晶/nrjb, ，/w]
和高 /nr 6	 , 您/rr, 和高/nrjb, 野/b,
近藤 /nr 6	  ，/w], [近藤/nrjb, 也/d,
