美国 /ns 56	 , 设在/v, 美国/nsf, 的/ude
敦贺 /ns 40	 , 就是/v, 敦贺/ns, 崇史/nrj
东京 /ns 27	 是/vshi, 东京/nsf, 迪斯尼乐园
洛杉矶 /ns 22	 , 正在/d, 洛杉矶/nsf, 的/ude
东北 /ns 10	  京滨/nr, 东北/ns, 线/n, 就
高田 /ns 6	 , 住在/v, 高田/ns, 马场/nis
日本 /ns 5	 r, 找/v, 日本/ns, 研究员/nn
新进 /ns 4	 , 只有/c, 新进/ns, 员工/n, 
伊势 /ns 4	 , 宿/vg, 伊势/ns, 丹/b, 附
意大利 /ns 4	 f, 吃/v, 意大利/nsf, 料理/v,
夏威夷 /ns 4	 , 具有/v, 夏威夷/nsf, 风情/n,
三明 /ns 3	 着/uzhe, 三明/ns, 治/v, 。
三津 /ns 3	 s, “/w, 三津/ns, 轮/qv, 
吐舌头 /ns 3	  了/ule, 吐舌头/ns, 。/w], 
夏天 /ns 2	 , 去年/t, 夏天/ns, 举行/v, 
底朝天 /ns 2	 e, 个/q, 底朝天/ns, 。/w], 
蒙上 /ns 2	 , 上面/f, 蒙上/ns, 了/ule,
上站 /ns 2	 , 椅子/n, 上站/ns, 了/ule,
上都 /ns 2	  [脖子/n, 上都/ns, 是/vshi
马尾 /ns 2	  了/ule, 马尾/ns, 。/w], 
天台 /ns 2	 r, 到/v, 天台/ns, 上去/vf,
汉堡 /ns 2	  了/ule, 汉堡/nsf, 套餐/n,
亚美 /ns 1	 p, 在/p, 亚美/ns, 身后/f, 
夸下海口 /ns 1	 d, 会/v, 夸下海口/ns, ，/w], 
太高兴 /ns 1	 v, 不/d, 太高兴/ns, ，/w], 
上涂 /ns 1	  面包/nf, 上涂/ns, 了/ule,
后很 /ns 1	 , 看到/v, 后很/ns, 意外/a, 
印第安 /ns 1	 v, ‘/w, 印第安/nsf, ’/w, 
格后 /ns 1	 e, 一/m, 格后/ns, 她/rr, 
小茂 /ns 1	 , 叫/vi, 小茂/ns, 的/ude1
后所 /ns 1	 , 招牌/n, 后所/ns, 萌生/v, 
达拉斯 /ns 1	 , 出现/v, 达拉斯/nsf, 小牛/n,
孔里 /ns 1	 p, 门/n, 孔里/ns, 观察/v, 
纽约 /ns 1	 t, 在/p, 纽约/nsf, 呢/y, 
东西连 /ns 1	 的/ude1, 东西连/ns, 到/v, 了
新桥 /ns 1	 , 位于/v, 新桥/ns, 的/ude1
加拿大 /ns 1	 , [由/p, 加拿大/nsf, 的/ude
美人归 /ns 1	 得/ude3, 美人归/ns, 的/ude1
太旧 /ns 1	  这个/rz, 太旧/ns, 了/ule,
新泻 /ns 1	 是/vshi, 新泻/ns, ？/w], 
上曾 /ns 1	 , 本书/r, 上曾/ns, 写道/v, 
白跑 /ns 1	 , 你/rr, 白跑/ns, 一/m, 次
长田镇 /ns 1	 , 坐到/v, 长田镇/ns, ，/w], 
新开 /ns 1	 , 年前/t, 新开/ns, 了/ule,
张店 /ns 1	 v, 一/m, 张店/ns, 内/f, 宣
亚马孙 /ns 1	 的/ude1, 亚马孙/ns, 大/a, 树
