加贺 /ns 674	 , [”/w, 加贺/ns, 注视/v, 
华江 /ns 148	  伊泽/nr, 华江/ns, ，/w], 
不晓得 /ns 14	  [实在/d, 不晓得/ns, 祥子/nrj
东京 /ns 11	 s, 在/p, 东京/nsf, ，/w],
将门 /ns 8	 堂/nrjb, 将门/ns, 上/f, 的
日本 /ns 7	 , 走进/v, 日本/ns, 武道馆/nr
夏天 /ns 6	 , 今年/t, 夏天/ns, ，/w], 
香都 /ns 5	 波/nrjb, 香都/ns, 念/v, 文
上完 /ns 4	  [她/rr, 上完/ns, 第二/mq,
新进 /ns 3	 , 及/cc, 新进/ns, 社员/nnt
天都 /ns 2	 v, 几/d, 天都/ns, 好累/v, 
北京 /ns 2	 i, “/w, 北京/ns, 屋/n, ”
面旗子 /ns 2	 v, 三/m, 面旗子/ns, 。/w], 
上香 /ns 2	 , 等待/v, 上香/ns, 。/w], 
蓝山 /ns 2	 , 杯/ng, 蓝山/ns, 。/w], 
东北 /ns 2	 , 去/vf, 东北/ns, 地方/n, 
法国 /ns 2	 , [由/p, 法国/nsf, 人/n, 
九州 /ns 2	 是/vshi, 九州/ns, 的/ude1
大山 /ns 1	  [A/nx, 大山/ns, 内/f, 的
北海道 /ns 1	 是/vshi, 北海道/nsf, 呢/y, 
上沙 /ns 1	 , 电车/n, 上沙/ns, 都子/nrj
太高兴 /ns 1	 n, 不/d, 太高兴/ns, 。/w], 
中三 /ns 1	  个人赛/n, 中三/ns, 岛/n, 亮
远超过 /ns 1	  [或许/d, 远超过/ns, 自己/rr,
日和 /ns 1	 t, 三/m, 日和/ns, 四/m, 日
美国 /ns 1	  带我去/n, 美国/nsf, 参加/v,
大前 /ns 1	 , T/nx, 大前/ns, ”/w, ，
米店 /ns 1	 的/ude1, 米店/ns, 借来/v, 
下都 /ns 1	  连坐/nz, 下都/ns, 忘了/v, 
大理 /ns 1	  [T/nx, 大理/ns, 工学院/ni
大阪 /ns 1	 /ulian, 大阪/nsf, 的/ude
