日本 /ns 10	 , 取悦/v, 日本/ns, 女性/n, 
东京 /ns 7	 , 回到/v, 东京/nsf, 的/ude
银座 /ns 5	 s, 逛/v, 银座/ns, 的/ude1
美国 /ns 5	 , 派到/v, 美国/nsf, 分公司/n
不晓得 /ns 4	 n, 都/d, 不晓得/ns, 的/ude1
太高兴 /ns 3	 , [不/d, 太高兴/ns, 地/ude2
仙台 /ns 3	 i, 在/p, 仙台/ns, 的/ude1
上香 /ns 3	 , 及/cc, 上香/ns, ，/w], 
斯德哥尔摩 /ns 3	 , [“/w, 斯德哥尔摩/nsf, 症候群/n
江户 /ns 3	 z, 到/v, 江户/ns, 桥/n, 还
大道 /ns 3	 z, 堤/n, 大道/ns, 南下/vn,
将门 /ns 2	  [我/rr, 将门/ns, 稍稍/d, 
不存在 /ns 2	 d, 像/v, 不存在/ns, 一样/uyy
英国 /ns 2	 是/vshi, 英国/ns, 腔/ng, 
上站 /ns 2	 , 椅子/n, 上站/ns, 起来/vf,
在里 /ns 2	 , 疑问/n, 在里/ns, 打转/vi,
意大利 /ns 2	 的/ude1, 意大利/nsf, 红酒/nf
长葛 /ns 2	 b, 社/n, 长葛/ns, 城/n, 先
澳洲 /ns 2	 v, 在/p, 澳洲/ns, 或/c, 加
要前 /ns 1	 , 时/qt, 要前/ns, 监制/vi,
半藏 /ns 1	 , 地铁/n, 半藏/ns, 门/n, 线
向山区 /ns 1	 , 小路/n, 向山区/ns, 开去/v, 
等上 /ns 1	  ，/w], [等上/ns, 肉/n, 的
中原街道 /ns 1	  了/ule, 中原街道/ns, 。/w], 
德国 /ns 1	 是/vshi, 德国/nsf, 某种/rz
二厅 /ns 1	  一房/nz, 二厅/ns, 一/m, 厨
太行 /ns 1	 c, 不/d, 太行/ns, 。/w], 
瑞典 /ns 1	 的/ude1, 瑞典/nsf, 制/v, 
三明 /ns 1	  [可能/v, 三明/ns, 治/v, 这
西藏 /ns 1	 a, 东/f, 西藏/ns, 在/p, 那
苏格兰 /ns 1	 f, 、/w, 苏格兰/nsf, 威士忌/n
上都 /ns 1	 , 大致/d, 上都/ns, 听/v, 他
加州 /ns 1	 s, 或/c, 加州/ns, 的/ude1
高村 /ns 1	 , 地区/n, 高村/ns, 修道院/ni
山西 /ns 1	  ，/w], [山西/ns, 握着/v, 
那大 /ns 1	 , 她/rr, 那大/ns, 大/a, 的
大名 /ns 1	 , 请教/v, 大名/ns, 和/cc, 
法国 /ns 1	 , 去/vf, 法国/nsf, 的/ude
马赛 /ns 1	 有/vyou, 马赛/ns, 克/q, 的
