中野 /ns 11	 是/vshi, 中野/ns, ”/w, 她
东京 /ns 6	 v, 回/v, 东京/nsf, 之后/f,
上站 /ns 4	 , 沙发/n, 上站/ns, 起身/vi,
天都 /ns 3	 r, 一/m, 天都/ns, 没有/v, 
美国 /ns 3	 , 去/vf, 美国/nsf, 出差/vi
法国 /ns 2	 的/ude1, 法国/nsf, 料理/v,
三明 /ns 2	 , 和/cc, 三明/ns, 治/v, ，
上都 /ns 2	 , 一栏/d, 上都/ns, 没有/v, 
西南 /ns 2	 , [“/w, 西南/ns, ……/w],
天连 /ns 1	 v, 一/m, 天连/ns, 一通/v, 
日本 /ns 1	 , 正在/d, 日本/ns, 蔓延/vi,
夏天 /ns 1	 是/vshi, 夏天/ns, 或者/c, 
小海 /ns 1	  [穿过/v, 小海/ns, 线/n, 铁
再下 /ns 1	 [我们/rr, 再下/ns, 楼/n, ”
不存在 /ns 1	 , 断言/v, 不存在/ns, 那种/r, 
地球 /ns 1	 v, 从/p, 地球/ns, 上/f, 观
小海镇 /ns 1	 b, 县/n, 小海镇/ns, ……/w],
上曾 /ns 1	 , 世界/n, 上曾/ns, 生活/vn,
我拐 /ns 1	  ，/w], [我拐/ns, 向/p, 了
都安 /ns 1	 , 两边/f, 都安/ns, 了/ule,
神奈川县 /ns 1	 v, ‘/w, 神奈川县/ns, 警/ng],
希腊 /ns 1	 , 标有/v, 希腊/ns, 数字/n, 
望都 /ns 1	 , 期/qv, 望都/ns, 转移/v, 
真如 /ns 1	 , 如果/c, 真如/ns, 你/rr, 
老屋里 /ns 1	  那个/rz, 老屋里/ns, 会/v, 存
王子 /ns 1	 乞丐/nnd, 王子/ns, ”/w, 。
海口镇 /ns 1	  [穿过/v, 海口镇/ns, 大约/d, 
丁字路口 /ns 1	 m, 条/q, 丁字路口/ns, ，/w], 
天黑 /ns 1	 v, 在/p, 天黑/ns, 之前/f, 
