现在 /t 171	 k, 到/v, 现在/t, 还是/c, 
当时 /t 112	 , [“/w, 当时/t, 的/ude1
刚才 /t 71	 v, 从/p, 刚才/t, 就/d, 一
今天 /t 54	  ，/w], [今天/t, 也/d, 缺
从前 /t 48	 , 和/cc, 从前/t, 的/ude1
目前 /t 40	  [他/rr, 目前/t, 任职/v, 
最近 /t 29	 , 就是/v, 最近/t, 。/w], 
圣诞 /t 28	 , 传来/v, 圣诞/t, 歌声/n, 
朝 /t 25	 , 开始/v, 朝/tg, 他/rr,
明天 /t 22	 的话/udh, 明天/t, ，/w], 
昨天 /t 19	  。/w], [昨天/t, 深夜/t, 
晚上 /t 19	  星期五/t, 晚上/t, 七/m, 点
今年 /t 17	  ，/w], [今年/t, 四十二/m,
后来 /t 16	  ，/w], [后来/t, 的/ude1
昨晚 /t 13	  [我/rr, 昨晚/t, 几乎/d, 
去年 /t 10	  ，/w], [去年/t, 那家伙/nz
新年 /t 10	 , 年/qt, 新年/t, ，/w], 
今后 /t 10	  。/w], [今后/t, 如果/c, 
下午 /t 9	  日/b], [下午/t, 三/m, 点
早上 /t 9	  [那天/r, 早上/t, ，/w], 
每天 /t 9	 a, 香/a, 每天/t, 都/d, 生
当年 /t 9	 , 和/cc, 当年/t, 打球/vi,
年前 /t 9	 v, 三/m, 年前/t, 通过/p, 
今晚 /t 8	 仓/nrjb, 今晚/t, 也/d, 要
上次 /t 8	 , 我/rr, 上次/t, 看/v, 到
白天 /t 8	 , [“/w, 白天/t, ，/w], 
凌晨 /t 7	  。/w], [凌晨/t, 三/m, 点
当天 /t 7	  ，/w], [当天/t, 就/d, 上
深夜 /t 6	  [昨天/t, 深夜/t, ，/w], 
当初 /t 6	  我们/rr, 当初/t, 不是/c, 
十一月 /t 6	 是/vshi, 十一月/t, 的/ude1
每年 /t 6	 1, 人/n, 每年/t, 聚会/vi,
来时 /t 6	 , 出/vf, 来时/t, 的/ude1
傍晚 /t 5	  ）/w], [傍晚/t, 六/m, 点
先前 /t 5	  [拿出/v, 先前/t, 的/ude1
冬 /t 5	 川/nrjb, 冬/tg, 纪/ng,
晚 /t 5	 /nrjb, 今晚/t, 也/d, 要
星期五 /t 5	 m, 个/q, 星期五/t, 。/w], 
半夜 /t 5	 r, 在/p, 半夜/t, 随意/ad,
未来 /t 4	  考虑到/v, 未来/t, 的/ude1
下次 /t 4	  ，/w], [下次/t, 如果/c, 
夜 /t 4	 [昨天/t, 深夜/t, ，/w], 
五月 /t 3	 , 那年/r, 五月/t, ，/w], 
圣诞节 /t 3	 , 接近/v, 圣诞节/t, ，/w], 
往后 /t 3	 , 她/rr, 往后/t, 退/v, 。
冬天 /t 3	 的/ude1, 冬天/t, ，/w], 
上个月 /t 3	 , [“/w, 上个月/t, 七/m, 号
明年 /t 3	 , 他/rr, 明年/t, 想/v, 出
夜里 /t 2	  [某天/r, 夜里/t, ，/w], 
星期日 /t 2	 d, 在/p, 星期日/t, 不见/v, 
除夕 /t 2	  。/w], [除夕/t, 傍晚/t, 
星期六 /t 2	  [因为/c, 星期六/t, 的/ude1
清晨 /t 2	 c, 到/v, 清晨/t, 才/d, 回
往常 /t 2	 m, 如/v, 往常/t, 的/ude1
时下 /t 2	  了/ule, 时下/t, 罕见/a, 
以往 /t 2	  。/w], [以往/t, 他们/rr,
近期 /t 2	 , 我/rr, 近期/t, 内/f, 会
往昔 /t 2	  [与/cc, 往昔/t, 判若两人/v
上午 /t 2	 i, 在/p, 上午/t, 没什么/vl
年关 /t 2	 , 感到/v, 年关/t, 将近/d, 
黎明 /t 2	 n, 在/p, 黎明/t, 之前/f, 
夏季 /t 2	 , 和/cc, 夏季/t, 问候/vn,
现 /t 1	  [一发/d, 现/tg, 里面/f,
新春 /t 1	 , 采访/v, 新春/t, 大阪/nsf
事前 /t 1	 , 朗/ag, 事前/t, 打电话/vi
刹那 /t 1	 的/ude1, 刹那/t, ，/w], 
午夜 /t 1	 , 指着/v, 午夜/t, 十二/m, 
三月 /t 1	  [今年/t, 三月/t, 之前/f, 
一月 /t 1	 /vshi, 十一月/t, 的/ude1
中午 /t 1	 [我们/rr, 中午/t, 要/v, 出
生前 /t 1	 b, 在/p, 生前/t, 应该/v, 
四月 /t 1	 , 那年/r, 四月/t, 。/w], 
今生 /t 1	 , 她/rr, 今生/t, 无缘/vi,
雨季 /t 1	 , 梅/ng, 雨季/t, ，/w], 
转眼间 /t 1	 , 空气/n, 转眼间/t, 变得/vi,
课后 /t 1	 n, 下/f, 课后/t, 就/d, 先
一大早 /t 1	 , 明天/t, 一大早/t, 去/vf, 
昔日 /t 1	 , 与/cc, 昔日/t, 女/b, 球
将来 /t 1	 的/ude1, 将来/t, 。/w], 
月终 /t 1	 w, 美/b, 月终/t, 于/p, 发
夜深 /t 1	  。/w], [夜深/t, 了/ule,
秋天 /t 1	 , 那年/r, 秋天/t, 结婚/vi,
午前 /t 1	 t, 中/f, 午前/t, 回电/n, 
上星期 /t 1	 是/vshi, 上星期/t, 。/w], 
前年 /t 1	  [自从/p, 前年/t, 的/ude1
会后 /t 1	  你们/rr, 会后/t, 悔/vg, 
星期一 /t 1	 r, 休/v, 星期一/t, 吗/y, ？
